study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,use_code
a001186,oliver,2020-04-23,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No direct link to dataset, only general landing pages on OSF and Sagepub. Dataset could possibly be found if you manually searched title on Sagepub - however, beyond remit of UoM student account",NA
a001268,kongmanas,2020-04-20,yes,NA,yes,NA,yes,NA,1,1,osf.io/cky7g,yes,NA,https://osf.io/cky7g/,yes,NA,OSF,yes,NA,yes,NA,The URL link to data repositary was in the reference section,NA
a001268,michelle,2020-05-12,yes,NA,no,NA,yes,NA,1,1,https://osf.io/cky7g/,yes,NA,https://osf.io/cky7g/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA
a001268,sophia,2020-04-16,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The statement says that the raw data is available on the Open Science Framework but no links are provided.,NA
a001420,evelyn,2020-04-10,yes,NA,no,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No link to the data available,NA
a001420,oliver,2020-04-28,yes,NA,yes,NA,yes,NA,1,1,doi.org/10.1016/j.jesp.2019.03.009,yes,NA,https://www.sciencedirect.com/science/article/abs/pii/S0022103118305997?via%3Dihub,yes,NA,Science Direct,no,NA,NA,NA,NA,NA
a001420,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.1016/j.jesp.2019.03.009,yes,NA,https://www.sciencedirect.com/science/article/pii/S0022103118305997?via%3Dihub,no,NA,NA,yes,NA,yes,NA,"Straightforward, no issues",NA
a001463,evelyn,2020-04-10,yes,NA,yes,NA,other,DOI provided,1,1,DOI 10.17605/OSF.IO/KZ483,other,OSF respository appears in google search,https://osf.io/kz483/,yes,NA,OSF,yes,NA,yes,NA,DOI link provided. OSF repository with the data files appear when using the DOI link for a google search,NA
a001463,oliver,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,osf.io/KZ483/,yes,NA,https://osf.io/KZ483/,yes,NA,OSF,yes,NA,yes,NA,NA,NA
a001475,kongmanas,2020-04-23,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/PB8X8P,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/PB8X8P,yes,NA,Harvard Dataverse,yes,NA,yes,NA,I didn't have any problems with this article,NA
a001475,matthew,2020-04-17,yes,NA,yes,NA,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mentions an availability to data in the online version of the article, but no access to data in the document itself",NA
a001475,steve,2020-08-09,yes,NA,yes,NA,yes,NA,1,1,https://doi.org/10.7910/DVN/PB8X8P,yes,NA,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/PB8X8P,yes,NA,Harvard Dataverse,yes,NA,yes,NA,"Straightforward, no issues",NA
a001506,michelle,2020-04-08,yes,NA,yes,NA,other,"2 links but they essentially are the same website, text contains both https://osf.io/zg2su/files/ and https://osf.io/zg2su/",1,1,https://osf.io/zg2su/files/,yes,NA,https://osf.io/zg2su/files/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA
a001506,sophia,2020-04-24,yes,NA,yes,NA,yes,NA,1,1,https://osf.io/zg2su/files/,yes,NA,https://osf.io/zg2su/files/,yes,NA,OSF,yes,NA,yes,NA,I didn't have any problems with this article,NA
