study_id,coder,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_url,link_number,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,corrected_link_url,link_url_for_cleaning,link_url_cleaned,corrected_resolved_url,resolved_url_for_cleaning,resolved_url_cleaned,review_coding,review_note
a001215,steve,2020-08-27,yes,NA,yes,NA,yes,NA,2,http://www.iris-database.org,2,other,"link works, but is to the generic homepage. Searching required to find actual data","https://www.iris-database.org/iris/app/home/detail?id=york:932759, https://www.iris-database.org/iris/app/home/detail?id=york:932760, https://www.iris-database.org/iris/app/home/detail?id=york:932690",yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"There are three data sets associated with this article on IRIS, but only a single link to the IRIS homepage in the article PDF",http://www.iris-database.org,http://www.iris-database.org,iris-database.org,"https://www.iris-database.org/iris/app/home/detail?id=york:932759, https://www.iris-database.org/iris/app/home/detail?id=york:932760, https://www.iris-database.org/iris/app/home/detail?id=york:932690","https://www.iris-database.org/iris/app/home/detail?id=york:932759, https://www.iris-database.org/iris/app/home/detail?id=york:932760, https://www.iris-database.org/iris/app/home/detail?id=york:932690","www.iris-database.org/iris/app/home/detail?id=york:932759, https://www.iris-database.org/iris/app/home/detail?id=york:932760, https://www.iris-database.org/iris/app/home/detail?id=york:932690",FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a001247,steve,2020-08-27,yes,NA,yes,NA,yes,NA,1,https://iris-database.org,1,other,"link works, but is to the generic homepage. Searching required to find actual data","https://iris-database.org/iris/app/home/detail?id=york:936419, https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0",other,IRIS repo just links to files hosted on Dropbox,IRIS/Dropbox,other,"Registration form required before data can be downloaded. Files were actually hosted on Dropbox: https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0",yes,NA,IRIS repo just links to files hosted on Dropbox,https://iris-database.org,https://iris-database.org,iris-database.org,"https://iris-database.org/iris/app/home/detail?id=york:936419, https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0","https://iris-database.org/iris/app/home/detail?id=york:936419, https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0","iris-database.org/iris/app/home/detail?id=york:936419, https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0",FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a001250,steve,2020-09-02,yes,NA,yes,NA,yes,NA,2,https://dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,1,other,"As presented, link does not work, but searching from the gesis home page does locate the correct dataset",https://search.gesis.org/research_data/ZA6701,yes,NA,GESIS,other,Application required to access data,other,Was able to download metadata documents but no actual data,"Original link did not work but dataset locateable, need to apply to access data set",https://dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,https://dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701,NA,https://search.gesis.org/research_data/ZA6701,search.gesis.org/research_data/ZA6701,FALSE,"iter01: steve coded, issue is that one needs to apply to access the data"
a001285,steve,2020-09-02,yes,NA,yes,NA,yes,NA,3,https://www.iris-database.org,2,other,"link works, but is to the generic homepage. Searching required to find actual data","https://www.iris-database.org/iris/app/home/detail?id=york:935317, https://github.com/izeh/i, https://github.com/rnorouzian/i/blob/master/i.r",other,IRIS repo just links to files hosted on Github,IRIS/Github,other,Registration form required before data can be downloaded,yes,NA,IRIS repo just links to files hosted on Github,https://www.iris-database.org,https://www.iris-database.org,iris-database.org,"https://www.iris-database.org/iris/app/home/detail?id=york:935317, https://github.com/izeh/i, https://github.com/rnorouzian/i/blob/master/i.r","https://www.iris-database.org/iris/app/home/detail?id=york:935317, https://github.com/izeh/i, https://github.com/rnorouzian/i/blob/master/i.r","www.iris-database.org/iris/app/home/detail?id=york:935317, https://github.com/izeh/i, https://github.com/rnorouzian/i/blob/master/i.r",FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a001296,steve,2020-09-02,yes,NA,yes,NA,yes,NA,1,https://iris-database.org,1,other,"link works, but is to the generic homepage. Searching required to find actual data","https://iris-database.org/iris/app/home/detail?id=york:936622, https://iris-database.org/iris/app/home/detail?id=york:936623, https://iris-database.org/iris/app/home/detail?id=york:936624, https://iris-database.org/iris/app/home/detail?id=york:936625, https://iris-database.org/iris/app/home/detail?id=york:936626",yes,NA,IRIS,other,Registration form required before data can be downloaded,yes,NA,"There are five data/materials sets associated with this article on IRIS, but no indication of this in article or elsewhere",NA,https://iris-database.org,iris-database.org,"https://iris-database.org/iris/app/home/detail?id=york:936622, https://iris-database.org/iris/app/home/detail?id=york:936623, https://iris-database.org/iris/app/home/detail?id=york:936624, https://iris-database.org/iris/app/home/detail?id=york:936625, https://iris-database.org/iris/app/home/detail?id=york:936626","https://iris-database.org/iris/app/home/detail?id=york:936622, https://iris-database.org/iris/app/home/detail?id=york:936623, https://iris-database.org/iris/app/home/detail?id=york:936624, https://iris-database.org/iris/app/home/detail?id=york:936625, https://iris-database.org/iris/app/home/detail?id=york:936626","iris-database.org/iris/app/home/detail?id=york:936622, https://iris-database.org/iris/app/home/detail?id=york:936623, https://iris-database.org/iris/app/home/detail?id=york:936624, https://iris-database.org/iris/app/home/detail?id=york:936625, https://iris-database.org/iris/app/home/detail?id=york:936626",FALSE,"iter01: steve coded, IRIS repo requires declaration but no account"
a001476,steve,2020-08-29,yes,NA,yes,NA,yes,NA,3,http://forscenter.ch/en/our-surveys/swiss-household-panel/,2,other,"Link as provided results in a 404 error, but the links on the website make it very easy to find the updated location of the data (link via https://forscenter.ch/projects/swiss-household-panel/)",https://forsbase.unil.ch/project/study-public-overview/16970/0/,yes,NA,FORSbase,other,Files require an account login to access,no,NA,Access to data controlled by the FORSbase staff (see https://forsbase.unil.ch/base/faqs/#1.2 - not guaranteed that data can be accessed),http://forscenter.ch/en/our-surveys/swiss-household-panel/,http://forscenter.ch/en/our-surveys/swiss-household-panel/,forscenter.ch/en/our-surveys/swiss-household-panel,NA,https://forsbase.unil.ch/project/study-public-overview/16970/0/,forsbase.unil.ch/project/study-public-overview/16970/0,FALSE,"iter01: steve coded, issue is that account registration required"
a001493,michelle,2020-04-22,yes,NA,yes,NA,yes,NA,3,https://hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,2,yes,NA,https://hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,yes,NA,HRS,other,Redirects to the 'Documentation' page - no specific data seems available pertaining to the article,no,NA,Link doesn't seem to direct to where specific data can be found,https://hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,https://hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,NA,https://hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,FALSE,"iter01: steve coded, issue is that this link is data documentation, which isn't data per se but still counts"
a001493,steve,2020-08-29,yes,NA,yes,NA,yes,NA,3,https://hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,2,yes,NA,https://hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,other,"It is a dedicated project website, so kind of",NA,other,This is an explicit metadata/data documentation resource,partial,"Many files here, two PDFs downloaded to check","This is a dedicated data documentation site, it should technically count for this study's purpose",https://hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,https://hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,NA,https://hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,FALSE,"iter01: steve coded, issue is that this link is data documentation, which isn't data per se but still counts"
a001545,michelle,2020-04-16,yes,NA,yes,NA,yes,NA,2,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/00233,1,yes,NA,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/00233,yes,NA,ICPSR,other,"Text in the article mentions: Our data-use agreement prevented us from posting these data online, but the data set is available on request from the ICPSR website - so cannot seem to access open data",no,NA,Cannot seem to access open data as need to request it from ICPSR,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/00233,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/00233,www.icpsr.umich.edu/icpsrweb/ICPSR/series/00233,https://www.icpsr.umich.edu/web/ICPSR/series/00233,https://www.icpsr.umich.edu/web/ICPSR/series/00233,www.icpsr.umich.edu/web/ICPSR/series/00233,FALSE,"iter01: steve coded, issue is that account registration required"
a001545,steve,2020-07-27,yes,NA,yes,NA,yes,NA,3,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/00233,1,yes,NA,https://www.icpsr.umich.edu/web/ICPSR/series/00233,yes,NA,ICPSR,other,Permission required to access data files,no,NA,Permission required to access data files,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/00233,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/00233,www.icpsr.umich.edu/icpsrweb/ICPSR/series/00233,https://www.icpsr.umich.edu/web/ICPSR/series/00233,https://www.icpsr.umich.edu/web/ICPSR/series/00233,www.icpsr.umich.edu/web/ICPSR/series/00233,FALSE,"iter01: steve coded, issue is that account registration required"
