"study_id","has_data_badge","has_data_badge_other","data_availability_statement","data_availability_statement_other","article_has_links","article_has_links_other","link_url_cleaned","link_work","link_work_noother","resolved_url_cleaned","files_exist","files_exist_other","download_success","download_success_other","is_repository","repository_name","all_notes","Publication Year","Author","Title","Publication Title","ISSN","DOI","Pages","Issue","Volume","OpenDataBadge","OpenMaterialsBadge","PreregisteredBadge","ErratumTag","effective_year","PROpenData","PRPreregistered","PROpenMaterials","DEPreregistered","TCPreregistered","PreregisteredPlus","final_data_avail_statement","final_art_has_links","final_link_works","final_files_exist","flag_credentials_required","final_download_success","final_download_success2"
"a000935","yes",,"yes",,"yes",,"osf.io/pg9ca","yes",,"accounts.osf.io/login?service=https://osf.io/pg9ca","yes",,"other","an account was required to download","yes","Open Science Framework","adrian: Could not access as login needed; phuong: (no note made)",2019,"Guyll, Max; Yang, Yueran; Madon, Stephanie; Smalarz, Laura; Lannin, Daniel G.","Mobilization and resistance in response to interrogation threat.","Law and Human Behavior","1573-661X, 0147-7307","10.1037/lhb0000337","307-318","4",43,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a000948","yes",,"yes",,"yes",,"osf.io/677jr","other","Link leads to a list of different OSF projects for the first author, need to select the relevant OSF project for the article","osf.io/37g64","other","Repo only contains a PDF of the article, no auxiliary data files","no",,"yes","Open Science Framework","aniruddah: Link does not redirect to data directly, but rather have to open another link to get to the data files.; oliver: (no note made); sophia: The data file was a pdf with graphs but no raw data. Other than that, I didn't have any problems with this article.; steve: Links to a list of projects, not specific project, and then closest match only had a preprint document no data",2019,"Everaert, Jonas; Joormann, Jutta","Emotion Regulation Difficulties Related to Depression and Anxiety: A Network Approach to Model Relations Among Symptoms, Positive Reappraisal, and Repetitive Negative Thinking","Clinical Psychological Science","2167-7026","10.1177/2167702619859342","1304-1318","6",7,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a000965","yes",,"yes",,"yes",,"osf.io/b6n8t","yes",,"osf.io/b6n8t","other","OSF account and permission needed to view project","no",,"yes","Open Science Framework","sophia: required an account; steve: OSF account and permission needed to view project; steve: OSF account and permission needed to view project; steve: Straightforward, no issues; steve: Straightforward, no issues; steve: Straightforward, no issues; steve: Straightforward, no issues",2019,"Charles, Sarah J.; Bartlett, James E.; Messick, Kyle J.; III, Thomas J. Coleman; Uzdavines, Alex","Researcher Degrees of Freedom in the Psychology of Religion","The International Journal for the Psychology of Religion","1050-8619","10.1080/10508619.2019.1660573","230-245","4",29,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a000965","yes",,"yes",,"yes",,"osf.io/fs67k","yes",,"osf.io/fs67k","other","OSF account and permission needed to view project","no",,"yes","Open Science Framework","sophia: required an account; steve: OSF account and permission needed to view project; steve: OSF account and permission needed to view project; steve: Straightforward, no issues; steve: Straightforward, no issues; steve: Straightforward, no issues; steve: Straightforward, no issues",2019,"Charles, Sarah J.; Bartlett, James E.; Messick, Kyle J.; III, Thomas J. Coleman; Uzdavines, Alex","Researcher Degrees of Freedom in the Psychology of Religion","The International Journal for the Psychology of Religion","1050-8619","10.1080/10508619.2019.1660573","230-245","4",29,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a000980","yes",,"no",,"no",,,,,,,,,,,,"evelyn: No data availability statement or data link available, despite the paper receiving data badges; sophia: couldn't find any reference to open data",2019,"Perez Neider, Dylan; Fuse, Megumi; Suri, Gaurav","Cockroaches, performance, and an audience: Reexamining social facilitation 50 years later","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2019.103851","103851",,85,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no","no",,,"no",,
"a001027","yes",,"yes",,"yes",,"doi.org/10.3886/ICPSR04652.v6","yes",,"www.icpsr.umich.edu/web/NACDA/studies/4652/versions/V6","other","The v6 of the files is no longer available, superceded by v7. v6 may be available upon request for replication purposes according to note on page.","no",,"yes","ICPSR","adrian: 2 links were given, but one (http://midus.colectica.org/) required a login so was ignored. Downloaded data was for updated study (V7) done in 2017; aniruddah: Two links were provided in this article, but both lead to the same data repository - ICPSR - and hence only one link is chosen here.; evelyn: Login required to access and download files; evelyn: The following message appears: ""These data have been updated since their release as https://doi.org/10.3886/ICPSR04652.v6, which you used to locate the data. If you need access to a previous version of the data (e.g., to replicate results in an article or report), you can contact ICPSR User Support to find out if a prior version is available.""; kongmanas: The registration is needed to access to the link destination; kongmanas: The registration is needed to download the data file; matthew: Link did not lead to data; matthew: Link required login; michelle: I am not sure if the second link is related to Open Data, as the links were put together as data and materials available under the two links; michelle: I have put in the Document Only download in the data file, but other remaining ones could not be done; nguyenlam: - The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment. - Notes in ''download_success""; nguyenlam: - The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment. - Notes in ''download_success"" and ""is_repository_other"" columns.; oliver: (no note made); phuong: (no note made); phuong: (no note made); sophia: needed a login; sophia: the data was updated in the archive since use within the article.; steve: Straight up login page, with no indication of what might be behind the login page (whether data, materials, other things).; steve: There was a v7 of the data (behind a login), but v6 does not seem to be available, need to contact ICPSR)",2014,"Hill, Patrick L.; Turiano, Nicholas A.","Purpose in Life as a Predictor of Mortality Across                     Adulthood","Psychological Science","0956-7976","10.1177/0956797614531799","1482-1486","7",25,TRUE,TRUE,FALSE,FALSE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a001027","yes",,"yes",,"yes",,"midus.colectica.org","yes",,"midus.colectica.org/Account/Login","other","Login required, no indication of whether files available","no",,"no",,"adrian: 2 links were given, but one (http://midus.colectica.org/) required a login so was ignored. Downloaded data was for updated study (V7) done in 2017; aniruddah: Two links were provided in this article, but both lead to the same data repository - ICPSR - and hence only one link is chosen here.; evelyn: Login required to access and download files; evelyn: The following message appears: ""These data have been updated since their release as https://doi.org/10.3886/ICPSR04652.v6, which you used to locate the data. If you need access to a previous version of the data (e.g., to replicate results in an article or report), you can contact ICPSR User Support to find out if a prior version is available.""; kongmanas: The registration is needed to access to the link destination; kongmanas: The registration is needed to download the data file; matthew: Link did not lead to data; matthew: Link required login; michelle: I am not sure if the second link is related to Open Data, as the links were put together as data and materials available under the two links; michelle: I have put in the Document Only download in the data file, but other remaining ones could not be done; nguyenlam: - The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment. - Notes in ''download_success""; nguyenlam: - The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment. - Notes in ''download_success"" and ""is_repository_other"" columns.; oliver: (no note made); phuong: (no note made); phuong: (no note made); sophia: needed a login; sophia: the data was updated in the archive since use within the article.; steve: Straight up login page, with no indication of what might be behind the login page (whether data, materials, other things).; steve: There was a v7 of the data (behind a login), but v6 does not seem to be available, need to contact ICPSR)",2014,"Hill, Patrick L.; Turiano, Nicholas A.","Purpose in Life as a Predictor of Mortality Across                     Adulthood","Psychological Science","0956-7976","10.1177/0956797614531799","1482-1486","7",25,TRUE,TRUE,FALSE,FALSE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a001051","yes",,"no",,"no",,,,,,,,,,,,"evelyn: I didn't have any problems with this article; michelle: No explit statement or link to open data. Supplementary data link however: at https://doi.org/10.1016/j.jesp.2019.03.007; sophia: The link to supplementary data leads to a short article, which didn't link to any other sites that seemed to contain data.; steve: No reference to data in PDF or on journal web page, but online search reveals possible open data - https://osf.io/hszyq/",2019,"Scholl, Annika; Sassenberg, Kai; Pfattheicher, Stefan","Pressured to be excellent? Social identification prevents negative affect from high university excellence norms","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2019.03.007","103796",,84,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no","no",,,"no",,
"a001121","yes",,"yes",,"yes",,"iris-database.org","other","link works, but is to the generic homepage. Searching required to find actual data","www.iris-database.org/iris/app/home/detail?id=york:936152","other","Registration form required before data can be downloaded","yes",,"yes","IRIS","evelyn: I didn't have any problems with this article; phuong: (no note made); phuong: (no note made); steve: Straightforward, no issues; steve: Straightforward, no issues",2019,"Nagle, Charles; Trofimovich, Pavel; Bergeron, Annie","TOWARD A DYNAMIC VIEW OF SECOND LANGUAGE COMPREHENSIBILITY","Studies in Second Language Acquisition","0272-2631, 1470-1545","10.1017/S0272263119000044","647-672","4",41,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a001154","yes",,"yes",,"no",,,,,,,,,,,,"nguyenlam: Note in ""article has link"": The article does not have link; sophia: no links",2017,"Kartik, Navin; Weelden, Richard Van; Wolton, Stephane","Electoral Ambiguity and Political Representation","American Journal of Political Science","1540-5907","10.1111/ajps.12310","958-970","4",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","no",,,"no",,
"a001186","yes",,"yes",,"yes",,"midus.colectica.org","yes",,"midus.colectica.org/Account/Login","other","Login required, no indication of whether files available","no",,"no",,"adrian: Link led to login page which required login. Could not access any files.; evelyn: Login required; oliver: No direct link to dataset, only general landing pages on OSF and Sagepub. Dataset could possibly be found if you manually searched title on Sagepub - however, beyond remit of UoM student account; steve: Straight up login page, with no indication of what might be behind the login page (whether data, materials, other things).",2015,"Slatcher, Richard B.; Selcuk, Emre; Ong, Anthony D.","Perceived Partner Responsiveness Predicts Diurnal Cortisol Profiles 10 Years Later","Psychological Science","0956-7976","10.1177/0956797615575022","972-982","7",26,TRUE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a001215","yes",,"yes",,"yes",,"iris-database.org","other","link works, but is to the generic homepage. Searching required to find actual data","www.iris-database.org/iris/app/home/detail?id=york:932759, https://www.iris-database.org/iris/app/home/detail?id=york:932760, https://www.iris-database.org/iris/app/home/detail?id=york:932690","other","Registration form required before data can be downloaded","yes",,"yes","IRIS","adrian: Ok; evelyn: I didn't have any problems with this article; sophia: I didn't have any problems with this article; sophia: links to the general IRIS homepage; steve: Straightforward, no issues; steve: There are three data sets associated with this article on IRIS, but only a single link to the IRIS homepage in the article PDF",2017,"Dang Thi Ngoc Yen; Coxhead Averil; Webb Stuart","The Academic Spoken Word List","Language Learning","0023-8333","10.1111/lang.12253","959-997","4",67,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a001221","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/BAG0DS","other","DOI not found; data found by searching Harvard Dataverse by author name","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HIQ4BV","yes",,"yes",,"yes","Harvard Dataverse","sophia: (no note made); steve: Original link did not work, DOI does not exist",2018,"Renshon, Jonathan; Dafoe, Allan; Huth, Paul","Leader Influence and Reputation Formation in World Politics","American Journal of Political Science","1540-5907","10.1111/ajps.12335","325-339","2",62,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no",,"no",,
"a001247","yes",,"yes",,"yes",,"iris-database.org","other","link works, but is to the generic homepage. Searching required to find actual data","iris-database.org/iris/app/home/detail?id=york:936419, https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0","other","Registration form required before data can be downloaded. Files were actually hosted on Dropbox: https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0","yes",,"yes","IRIS","kongmanas: The registration is needed to download the data file; oliver: (no note made); steve: IRIS repo just links to files hosted on Dropbox",2019,"Nakata, Tatsuya; Suzuki, Yuichi","Mixing Grammar Exercises Facilitates Long-Term Retention: Effects of Blocking, Interleaving, and Increasing Practice","The Modern Language Journal","1540-4781","10.1111/modl.12581","629-647","3",103,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a001250","yes",,"yes",,"yes",,"dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701","other","As presented, link does not work, but searching from the gesis home page does locate the correct dataset","search.gesis.org/research_data/ZA6701","other","Application required to access data","other","Was able to download metadata documents but no actual data","yes","GESIS (Leibniz Institute for the Social Sciences)","adrian: Article had 2 links - This URL not found; adrian: Article had 2 links - This link ok; sophia: I didn't have any problems with this article; sophia: (no note made); steve: Original link did not work but dataset locateable, need to apply to access data set; steve: Straightforward, no issues - link contained code for processing data",2019,"Kandler, Christian; Waaktaar, Trine; Mõttus, René; Riemann, Rainer; Torgersen, Svenn","Unravelling the Interplay Between Genetic and Environmental Contributions in the Unfolding of Personality Differences from Early Adolescence to Young Adulthood","European Journal of Personality","1099-0984","10.1002/per.2189","221-244","3",33,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no",,"yes",,
"a001285","yes",,"yes",,"yes",,"iris-database.org","other","link works, but is to the generic homepage. Searching required to find actual data","www.iris-database.org/iris/app/home/detail?id=york:935317, https://github.com/izeh/i, https://github.com/rnorouzian/i/blob/master/i.r","other","Registration form required before data can be downloaded","yes",,"yes","IRIS","adrian: Downloaded file was an R program; adrian: No file found. Page was long wall of text (Looks like an R program); adrian: This was the general Iris welcome page. No files found.; evelyn: I didn't have any problems with this article; evelyn: I didn't have any problems with this article; evelyn: Login needed to access and download files; michelle: Cannot see how to download the coding from the website; michelle: I didn't have any problems with this link; michelle: The link directs to the Irisdata base homepage, not to specific data pertaining to the article; steve: IRIS repo just links to files hosted on Github; steve: Straightforward, no issues - link contained code; steve: This link looks redundant - already linked to via IRIS link (although no way to see that ahead of time)",2018,"Norouzian, Reza; de Miranda, Michael; Plonsky, Luke","The Bayesian Revolution in Second Language Research: An Applied Approach","Language Learning","0023-8333","10.1111/lang.12310","1032-1075","4",68,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a001293","yes",,"yes",,"yes",,"doi.org/10.14284/PANGAEA.329","no","Invalid DOI",,,,,,,,"andy: More recent data files also available with differenct DOI, also successfully downloaded; andy: Very similar to resolved URL; steve: More recent versions were available, in addition to the dataset explicitly linked to (different versions had different DOIs); steve: This might be a drafting error? DOI is very similar to the one that works",2019,"Mortelmans, Jonas; Goossens, Jolien; Martínez, Luz Amadei; Deneudt, Klaas; Cattrijsse, André; Hernandez, Francisco","LifeWatch observatory data: Zooplankton observations in the Belgian part of the North Sea","Geoscience Data Journal","2049-6060","10.1002/gdj3.68","76-84","2",6,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no",,"no",,
"a001296","yes",,"yes",,"yes",,"iris-database.org","other","link works, but is to the generic homepage. Searching required to find actual data","iris-database.org/iris/app/home/detail?id=york:936622, https://iris-database.org/iris/app/home/detail?id=york:936623, https://iris-database.org/iris/app/home/detail?id=york:936624, https://iris-database.org/iris/app/home/detail?id=york:936625, https://iris-database.org/iris/app/home/detail?id=york:936626","other","Registration form required before data can be downloaded","yes",,"yes","IRIS","evelyn: Require to search the article for the files with the provided link; matthew: The link lead to the homepage of the repository, which made the user manually find the data to the document, also, to download, they collected information of the downloader.; sophia: I didn't have any problems with this article; steve: There are five data/materials sets associated with this article on IRIS, but no indication of this in article or elsewhere",2019,"Kasprowicz, Rowena E.; Marsden, Emma; Sephton, Nick","Investigating Distribution of Practice Effects for the Learning of Foreign Language Verb Morphology in the Young Learner Classroom","The Modern Language Journal","1540-4781","10.1111/modl.12586","580-606","3",103,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a001359","yes",,"yes",,"no",,,,,,,,,,,,"adrian: There is a statement but no link. Full statement reads ""The data, code, and any additional materials required to replicate all analyses in this article are available on the American Journal ofPolitical Science Dataverse within the Harvard Dataverse Network, at:""; evelyn: Article does not have links despite containing a data availability statement",2018,"Ashworth, Scott; Mesquita, Ethan Bueno de; Friedenberg, Amanda","Learning about Voter Rationality","American Journal of Political Science","1540-5907","10.1111/ajps.12334","37-54","1",62,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","no",,,"no",,
"a001429","yes",,"yes",,"yes",,"www.tessexperiments.org/data/ferrer825.html","other","link results in a page not found error message, but straightforward to follow links and find correct data location (replace ""data"" with ""study"" in url). Correct page leads to an OSF project","osf.io/a42yg","yes",,"yes",,"yes","Open Science Framework","michelle: I didn't have any problems with this article; oliver: (no note made); steve: Once figuring out how to navigate the custom group website, was straightforward",2018,"Ferrer, Rebecca A.; Orehek, Edward; Padgett, Lynne S.","Goal conflict when making decisions for others","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2018.05.008","93-103",,78,TRUE,TRUE,TRUE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no",,"no",,
"a001430","yes",,"yes",,"yes",,"data.mendeley.com/submissions/evise/edit/rh22h25sw7?submission_id=S0022-1031(17)30623-6&token=3639d213-5e0d-437d-af76-0023d5b2081a","other","Had to edit URL to remove non-alpha characters around the ""&"" in the string. Also, this is a link to the upload page for the authors - it is not for public use!!!","data.mendeley.com/submissions/evise/edit/rh22h25sw7?submission_id=S0022-1031(17)30623-6&token=3639d213-5e0d-437d-af76-0023d5b2081a","other","There are files listed for upload, but they are not accessible","no",,"yes","Mendeley","kongmanas: Something went wrong and data files cannot be downloaded. The data files cannot be downloaded, but there is a link to ""supplementary data"" stated in the article; kongmanas: The registration is needed to download the data file; michelle: Need to login to access data, and there was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.jesp.2018.01.007; steve: Had to go to the journal webpage, then follow link to Mendeley from there. Otherwise, straightforward; steve: This is a problematic error - it seems to allow any user to mess with the upload of data to the authors' repository???",2018,"Welsh, David T.; Mai, Ke Michael; Ellis, Aleksander P. J.; Christian, Michael S.","Overcoming the effects of sleep deprivation on unethical behavior: An extension of integrated self-control theory","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2018.01.007","142-154",,76,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a001476","yes",,"yes",,"yes",,"forscenter.ch/en/our-surveys/swiss-household-panel","other","Link as provided results in a 404 error, but the links on the website make it very easy to find the updated location of the data (link via https://forscenter.ch/projects/swiss-household-panel/)","forsbase.unil.ch/project/study-public-overview/16970/0","other","Files require an account login to access","no",,"yes","FORSbase","evelyn: I didn't have any problems with this article; sophia: links to the general homepage for the repository; sophia: (no note made); steve: Access to data controlled by the FORSbase staff (see https://forsbase.unil.ch/base/faqs/#1.2 - not guaranteed that data can be accessed); steve: It looks like data is quite easily potentially available, with only a small amount of gatekeeping; steve: Straightforward, no issues",2018,"Sommet, Nicolas; Morselli, Davide; Spini, Dario","Income Inequality Affects the Psychological Health of Only the People Facing Scarcity","Psychological Science","0956-7976, 1467-9280","10.1177/0956797618798620","1911-1921","12",29,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no",,"yes",,
"a001490","yes",,"yes",,"yes",,"osf.io","other","It looks like the unique ID was left out of the url (possibly an editing error) - however, looking at the declaration reveals the intended link to data","osf.io/m75da","yes",,"yes",,"yes","Open Science Framework","michelle: Link is not specified - directs to OSF homepage; sophia: I didn't have any problems with this article; steve: A unique issue with the url being incomplete, but locatable via other means",2017,"Nosofsky, Robert M.; Sanders, Craig A.; Gerdom, Alex; Douglas, Bruce J.; McDaniel, Mark A.","On Learning Natural-Science Categories That Violate the Family-Resemblance Principle","Psychological Science","0956-7976","10.1177/0956797616675636","104-114","1",28,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","no",,
"a001501","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/DEMP8Q","other","DOI not found; data found by searching Harvard Dataverse by author name","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/NMJ4W9","yes",,"yes",,"yes","Harvard Dataverse","adrian: Error: DOI not found; steve: Original link did not work, DOI does not exist",2017,"Hemker, Johannes; Rink, Anselm","Multiple Dimensions of Bureaucratic Discrimination: Evidence from German Welfare Offices","American Journal of Political Science","1540-5907","10.1111/ajps.12312","786-803","4",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no",,"no",,
"a001548","yes",,"yes",,"yes",,"doi.org/10.11922/sciencedb.642","no","Redirect loop",,,,,,,,"andy: (no note made); steve: Link resolved to http://www.sciencedb.cn/dataSet/handle/642, but server returned 500 error. Can't find data by searching on scidb.cn, either.",2019,"Sun, Zhigang; Ouyang, Zhu; Zhang, Xubo; Ren, Wei","A new global dataset of phase synchronization of temperature and precipitation: Its climatology and contribution to global vegetation productivity","Geoscience Data Journal","2049-6060","10.1002/gdj3.76","126-136","2",6,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no",,"no",,
"a001614","yes",,"yes",,"yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MVGYWG","no","Asks for a login",,,,,,"yes","Harvard Dataverse","andy: Login required. DOI and author search return no results; steve: DOI could not be found, either - searching by author on dataverse does not return this study",2018,"Spaniel, William; Poznansky, Michael","Credible Commitment in Covert Affairs","American Journal of Political Science","1540-5907","10.1111/ajps.12363","668-681","3",62,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no",,"no",,
"a001634","yes",,"yes",,"yes",,"hrsonline.isr.umich.edu","yes",,"hrsonline.isr.umich.edu","other","Registration is required to access files","no",,"yes","Health and Retirement Study Data Portal (University of Michigan)","evelyn: Requires login to download and access files; evelyn: Requires login to download and access files; sophia: (no note made); sophia: (no note made); steve: Login required; steve: Login required",2015,"Sutin, Angelina R.; Stephan, Yannick; Terracciano, Antonio","Weight Discrimination and Risk of Mortality","Psychological Science","0956-7976","10.1177/0956797615601103","1803-1811","11",26,TRUE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a001634","yes",,"yes",,"yes",,"midus.colectica.org","yes",,"midus.colectica.org/Account/Login","other","Login required, no indication of whether files available","no",,"no",,"evelyn: Requires login to download and access files; evelyn: Requires login to download and access files; sophia: (no note made); sophia: (no note made); steve: Login required; steve: Login required",2015,"Sutin, Angelina R.; Stephan, Yannick; Terracciano, Antonio","Weight Discrimination and Risk of Mortality","Psychological Science","0956-7976","10.1177/0956797615601103","1803-1811","11",26,TRUE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no","yes",,
"a000026","yes",,"no",,"no",,,,,,,,,,,,"aniruddah: This article has cited several webpages from where it referenced data, but these weren't necessarily data repositories, so were not considered.; michelle: No data availability statement or open data links; sophia: (no note made)",2018,"Nili, Shmuel","Injustice Abroad, Authority at Home? Democracy, Systemic Effects, and Global Wrongs","American Journal of Political Science","1540-5907","10.1111/ajps.12321","72-83","1",62,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no","no",,,"no",,
"a000685","yes",,"yes",,"other","The statement clearly says data is legally restricted to those who meet criteria to view the confidential data and is (potentially) available upon request from the authors. There is a link provided for materials and code only.",,,,,,,,,,,"evelyn: I didn't have any problems with this article; michelle: Only contains links for the code and materials required to replicate the analyses in the article. Access to data can be made available upon request via contacting the corresponding author",2018,"Hjortskov, Morten; Andersen, Simon Calmar; Jakobsen, Morten","Encouraging Political Voices of Underrepresented Citizens through Coproduction: Evidence from a Randomized Field Trial","American Journal of Political Science","1540-5907","10.1111/ajps.12360","597-609","3",62,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","no",,,"no",,
"a000839","yes",,"no",,"no",,,,,,,,,,,,"andy: Theoretical paper; steve: This is a theoretical paper; techinically all data and materials are supplied in the text?",2018,"Luo, Zhaotian; Rozenas, Arturas","The Election Monitor's Curse","American Journal of Political Science","1540-5907","10.1111/ajps.12320","148-160","1",62,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no","no",,,"no",,
"a001130","yes",,"no",,"no",,,,,,,,,,,,"aniruddah: This article has no mention of open practices or data availability, rather the author has quoted several websites from which he referenced the data used in his article.; michelle: No data availability statement or open data links",2017,"Ting, Michael M.","Politics and Administration","American Journal of Political Science","1540-5907","10.1111/ajps.12273","305-319","2",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no","no",,,"no",,
"a001526","yes",,"yes",,"no",,,,,,,,,,,,"aniruddah: Article mentions data files available in Harvard Dataverse, but no link to repository.; oliver: (no note made); phuong: (no note made)",2017,"Dumas, Marion","Taking the Law to Court: Citizen Suits and the Legislative Process","American Journal of Political Science","1540-5907","10.1111/ajps.12302","944-957","4",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","no",,,"no",,
"a001600","yes",,"no",,"no",,,,,,,,,,,,"evelyn: Article did not have data availability statement or link; phuong: There weren't data statement and link",2017,"Buisseret, Peter; Bernhardt, Dan","Dynamics of Policymaking: Stepping Back to Leap Forward, Stepping Forward to Keep Back","American Journal of Political Science","1540-5907","10.1111/ajps.12301","820-835","4",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"no","no",,,"no",,
