"study_id","final_files_exist","final_files_exist_failure_note","link_url_cleaned","resolved_url_cleaned","files_exist","files_exist_other","all_notes","has_data_badge","has_data_badge_other","data_availability_statement","data_availability_statement_other","article_has_links","article_has_links_other","link_work","link_work_noother","download_success","download_success_other","is_repository","repository_name","Publication Year","Author","Title","Publication Title","ISSN","DOI","Pages","Issue","Volume","OpenDataBadge","OpenMaterialsBadge","PreregisteredBadge","ErratumTag","effective_year","PROpenData","PRPreregistered","PROpenMaterials","DEPreregistered","TCPreregistered","PreregisteredPlus","final_data_avail_statement","final_art_has_links","final_link_works","flag_credentials_required","final_download_success","final_download_success2","article_has_links_logical","link_works_logical","link_success","n_links","link_category","files_exist_logical","files_exist_success"
"a001027","no","Link led to opaque login page","midus.colectica.org","midus.colectica.org/Account/Login","other","Login required, no indication of whether files available","adrian: 2 links were given, but one (http://midus.colectica.org/) required a login so was ignored. Downloaded data was for updated study (V7) done in 2017; aniruddah: Two links were provided in this article, but both lead to the same data repository - ICPSR - and hence only one link is chosen here.; evelyn: Login required to access and download files; evelyn: The following message appears: ""These data have been updated since their release as https://doi.org/10.3886/ICPSR04652.v6, which you used to locate the data. If you need access to a previous version of the data (e.g., to replicate results in an article or report), you can contact ICPSR User Support to find out if a prior version is available.""; kongmanas: The registration is needed to access to the link destination; kongmanas: The registration is needed to download the data file; matthew: Link did not lead to data; matthew: Link required login; michelle: I am not sure if the second link is related to Open Data, as the links were put together as data and materials available under the two links; michelle: I have put in the Document Only download in the data file, but other remaining ones could not be done; nguyenlam: - The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment. - Notes in ''download_success""; nguyenlam: - The data for this study is from a national survey ( Midlife in the United States (MIDUS), not from auhtors' experiment. - Notes in ''download_success"" and ""is_repository_other"" columns.; oliver: (no note made); phuong: (no note made); phuong: (no note made); sophia: needed a login; sophia: the data was updated in the archive since use within the article.; steve: Straight up login page, with no indication of what might be behind the login page (whether data, materials, other things).; steve: There was a v7 of the data (behind a login), but v6 does not seem to be available, need to contact ICPSR)","yes",,"yes",,"yes",,"yes",,"no",,"no",,2014,"Hill, Patrick L.; Turiano, Nicholas A.","Purpose in Life as a Predictor of Mortality Across                     Adulthood","Psychological Science","0956-7976","10.1177/0956797614531799","1482-1486","7",25,TRUE,TRUE,FALSE,FALSE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes",,,TRUE,TRUE,1,2,"2",FALSE,0
"a001121","no","Link led to main page of repository (IRIS)","iris-database.org","www.iris-database.org/iris/app/home/detail?id=york:936152","other","Registration form required before data can be downloaded","evelyn: I didn't have any problems with this article; phuong: (no note made); phuong: (no note made); steve: Straightforward, no issues; steve: Straightforward, no issues","yes",,"yes",,"yes",,"other","link works, but is to the generic homepage. Searching required to find actual data","yes",,"yes","IRIS",2019,"Nagle, Charles; Trofimovich, Pavel; Bergeron, Annie","TOWARD A DYNAMIC VIEW OF SECOND LANGUAGE COMPREHENSIBILITY","Studies in Second Language Acquisition","0272-2631, 1470-1545","10.1017/S0272263119000044","647-672","4",41,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,2,"2",FALSE,0.5
"a001186","no","Link led to opaque login page","midus.colectica.org","midus.colectica.org/Account/Login","other","Login required, no indication of whether files available","adrian: Link led to login page which required login. Could not access any files.; evelyn: Login required; oliver: No direct link to dataset, only general landing pages on OSF and Sagepub. Dataset could possibly be found if you manually searched title on Sagepub - however, beyond remit of UoM student account; steve: Straight up login page, with no indication of what might be behind the login page (whether data, materials, other things).","yes",,"yes",,"yes",,"yes",,"no",,"no",,2015,"Slatcher, Richard B.; Selcuk, Emre; Ong, Anthony D.","Perceived Partner Responsiveness Predicts Diurnal Cortisol Profiles 10 Years Later","Psychological Science","0956-7976","10.1177/0956797615575022","972-982","7",26,TRUE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes",,,TRUE,TRUE,1,1,"1",FALSE,0
"a001215","no","Link led to main page of repository (IRIS)","iris-database.org","www.iris-database.org/iris/app/home/detail?id=york:932759, https://www.iris-database.org/iris/app/home/detail?id=york:932760, https://www.iris-database.org/iris/app/home/detail?id=york:932690","other","Registration form required before data can be downloaded","adrian: Ok; evelyn: I didn't have any problems with this article; sophia: I didn't have any problems with this article; sophia: links to the general IRIS homepage; steve: Straightforward, no issues; steve: There are three data sets associated with this article on IRIS, but only a single link to the IRIS homepage in the article PDF","yes",,"yes",,"yes",,"other","link works, but is to the generic homepage. Searching required to find actual data","yes",,"yes","IRIS",2017,"Dang Thi Ngoc Yen; Coxhead Averil; Webb Stuart","The Academic Spoken Word List","Language Learning","0023-8333","10.1111/lang.12253","959-997","4",67,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,2,"2",FALSE,0.5
"a001247","no","Link led to main page of repository (IRIS)","iris-database.org","iris-database.org/iris/app/home/detail?id=york:936419, https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0","other","Registration form required before data can be downloaded. Files were actually hosted on Dropbox: https://www.dropbox.com/s/59czjr4u0nm1gsn/data.xlsx?dl=0, https://www.dropbox.com/s/7gqxg9spe2dx9n4/Grammar.exe?dl=0, https://www.dropbox.com/s/uasmo5werd5ebl1/Delayed.exe?dl=0","kongmanas: The registration is needed to download the data file; oliver: (no note made); steve: IRIS repo just links to files hosted on Dropbox","yes",,"yes",,"yes",,"other","link works, but is to the generic homepage. Searching required to find actual data","yes",,"yes","IRIS",2019,"Nakata, Tatsuya; Suzuki, Yuichi","Mixing Grammar Exercises Facilitates Long-Term Retention: Effects of Blocking, Interleaving, and Increasing Practice","The Modern Language Journal","1540-4781","10.1111/modl.12581","629-647","3",103,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a001285","no","Link led to main page of repository (IRIS)","iris-database.org","www.iris-database.org/iris/app/home/detail?id=york:935317, https://github.com/izeh/i, https://github.com/rnorouzian/i/blob/master/i.r","other","Registration form required before data can be downloaded","adrian: Downloaded file was an R program; adrian: No file found. Page was long wall of text (Looks like an R program); adrian: This was the general Iris welcome page. No files found.; evelyn: I didn't have any problems with this article; evelyn: I didn't have any problems with this article; evelyn: Login needed to access and download files; michelle: Cannot see how to download the coding from the website; michelle: I didn't have any problems with this link; michelle: The link directs to the Irisdata base homepage, not to specific data pertaining to the article; steve: IRIS repo just links to files hosted on Github; steve: Straightforward, no issues - link contained code; steve: This link looks redundant - already linked to via IRIS link (although no way to see that ahead of time)","yes",,"yes",,"yes",,"other","link works, but is to the generic homepage. Searching required to find actual data","yes",,"yes","IRIS",2018,"Norouzian, Reza; de Miranda, Michael; Plonsky, Luke","The Bayesian Revolution in Second Language Research: An Applied Approach","Language Learning","0023-8333","10.1111/lang.12310","1032-1075","4",68,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,3,"3+",FALSE,0.6666666666666666
"a001296","no","Link led to main page of repository (IRIS)","iris-database.org","iris-database.org/iris/app/home/detail?id=york:936622, https://iris-database.org/iris/app/home/detail?id=york:936623, https://iris-database.org/iris/app/home/detail?id=york:936624, https://iris-database.org/iris/app/home/detail?id=york:936625, https://iris-database.org/iris/app/home/detail?id=york:936626","other","Registration form required before data can be downloaded","evelyn: Require to search the article for the files with the provided link; matthew: The link lead to the homepage of the repository, which made the user manually find the data to the document, also, to download, they collected information of the downloader.; sophia: I didn't have any problems with this article; steve: There are five data/materials sets associated with this article on IRIS, but no indication of this in article or elsewhere","yes",,"yes",,"yes",,"other","link works, but is to the generic homepage. Searching required to find actual data","yes",,"yes","IRIS",2019,"Kasprowicz, Rowena E.; Marsden, Emma; Sephton, Nick","Investigating Distribution of Practice Effects for the Learning of Foreign Language Verb Morphology in the Young Learner Classroom","The Modern Language Journal","1540-4781","10.1111/modl.12586","580-606","3",103,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a001430","no","Link led to a page for file submission to repository","data.mendeley.com/submissions/evise/edit/rh22h25sw7?submission_id=S0022-1031(17)30623-6&token=3639d213-5e0d-437d-af76-0023d5b2081a","data.mendeley.com/submissions/evise/edit/rh22h25sw7?submission_id=S0022-1031(17)30623-6&token=3639d213-5e0d-437d-af76-0023d5b2081a","other","There are files listed for upload, but they are not accessible","kongmanas: Something went wrong and data files cannot be downloaded. The data files cannot be downloaded, but there is a link to ""supplementary data"" stated in the article; kongmanas: The registration is needed to download the data file; michelle: Need to login to access data, and there was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data. Supplementary data link: https://doi.org/10.1016/j.jesp.2018.01.007; steve: Had to go to the journal webpage, then follow link to Mendeley from there. Otherwise, straightforward; steve: This is a problematic error - it seems to allow any user to mess with the upload of data to the authors' repository???","yes",,"yes",,"yes",,"other","Had to edit URL to remove non-alpha characters around the ""&"" in the string. Also, this is a link to the upload page for the authors - it is not for public use!!!","no",,"yes","Mendeley",2018,"Welsh, David T.; Mai, Ke Michael; Ellis, Aleksander P. J.; Christian, Michael S.","Overcoming the effects of sleep deprivation on unethical behavior: An extension of integrated self-control theory","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2018.01.007","142-154",,76,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes",,,TRUE,TRUE,1,2,"2",FALSE,0.5
"a001490","no","Link led to main page of repository (other)","osf.io","osf.io/m75da","yes",,"michelle: Link is not specified - directs to OSF homepage; sophia: I didn't have any problems with this article; steve: A unique issue with the url being incomplete, but locatable via other means","yes",,"yes",,"yes",,"other","It looks like the unique ID was left out of the url (possibly an editing error) - however, looking at the declaration reveals the intended link to data","yes",,"yes","Open Science Framework",2017,"Nosofsky, Robert M.; Sanders, Craig A.; Gerdom, Alex; Douglas, Bruce J.; McDaniel, Mark A.","On Learning Natural-Science Categories That Violate the Family-Resemblance Principle","Psychological Science","0956-7976","10.1177/0956797616675636","104-114","1",28,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","no",,,TRUE,TRUE,1,1,"1",FALSE,0
"a001634","no","Link led to main page of repository (other)","hrsonline.isr.umich.edu","hrsonline.isr.umich.edu","other","Registration is required to access files","evelyn: Requires login to download and access files; evelyn: Requires login to download and access files; sophia: (no note made); sophia: (no note made); steve: Login required; steve: Login required","yes",,"yes",,"yes",,"yes",,"no",,"yes","Health and Retirement Study Data Portal (University of Michigan)",2015,"Sutin, Angelina R.; Stephan, Yannick; Terracciano, Antonio","Weight Discrimination and Risk of Mortality","Psychological Science","0956-7976","10.1177/0956797615601103","1803-1811","11",26,TRUE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes",,,TRUE,TRUE,1,2,"2",FALSE,0
"a001634","no","Link led to opaque login page","midus.colectica.org","midus.colectica.org/Account/Login","other","Login required, no indication of whether files available","evelyn: Requires login to download and access files; evelyn: Requires login to download and access files; sophia: (no note made); sophia: (no note made); steve: Login required; steve: Login required","yes",,"yes",,"yes",,"yes",,"no",,"no",,2015,"Sutin, Angelina R.; Stephan, Yannick; Terracciano, Antonio","Weight Discrimination and Risk of Mortality","Psychological Science","0956-7976","10.1177/0956797615601103","1803-1811","11",26,TRUE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","yes","yes",,,TRUE,TRUE,1,2,"2",FALSE,0
"a000367",,"Link coded as not working","doi.org/10.7910/DVN/YM4LDG","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BRRZSK","yes",,"evelyn: Doi cannot be found; kongmanas: The provided link didn't work; sophia: (no note made); steve: Link provided did not work, had to search for correct repo","yes",,"yes",,"yes",,"other","Link provided does not work but searching on Harvard Dataverse located the data repository","yes",,"yes","Harvard Dataverse",2018,"Campbell, David E.; Layman, Geoffrey C.; Green, John C.; Sumaktoyo, Nathanael G.","Putting Politics First: The Impact of Politics on American Religious and Secular Orientations","American Journal of Political Science","1540-5907","10.1111/ajps.12365","551-565","3",62,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no","no",,,TRUE,FALSE,0,1,"1",FALSE,0
"a000777",,"Link coded as not working","dx.doi.org/10.7910/DVN/LWED0F","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DSDNX6","yes",,"oliver: (no note made); sophia: (no note made); steve: Link provided did not work, had to search for correct repo","yes",,"yes",,"yes",,"other","Link provided does not work but searching on Harvard Dataverse located the data repository","yes",,"yes","Harvard Dataverse",2017,"Christenson, Dino P.; Kriner, Douglas L.","Constitutional Qualms or Politics as Usual? The Factors Shaping Public Support for Unilateral Action","American Journal of Political Science","1540-5907","10.1111/ajps.12262","335-349","2",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no","no",,,TRUE,FALSE,0,1,"1",FALSE,0
"a000849",,"Link coded as not working","dx.doi.org/10.7910/DVN/NQOWDE","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KL7J6Z","yes",,"kongmanas: The provided link didn't work; michelle: Redirected to homepage, no data pertaining to article to download; steve: Link provided did not work, had to search for correct repo","yes",,"yes",,"yes",,"other","Link leads to https://ezid.cdlib.org/ with a ""No such identifier."" message - searching Harvard Dataverse locates the correct data repo","yes",,"yes","Harvard Dataverse",2017,"Alt, James; Iversen, Torben","Inequality, Labor Market Segmentation, and Preferences for Redistribution","American Journal of Political Science","1540-5907","10.1111/ajps.12264","21-36","1",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no","no",,,TRUE,FALSE,0,1,"1",FALSE,0
"a000880",,"Link coded as not working","pisa2006.acer.edu.au/downloads.php",,,,"adrian: Link did not work; aniruddah: The data repo link listed in the open practices disclosure pdf under the supplementary materials page for this article in SAGE journals is the same as this link, and hence, no other explicity link seems to indicate to the data.; evelyn: Upon opening link, the following error message occurs: ""Site can't be reached/IP address unable to be found""; kongmanas: The provided link didn't work; matthew: The link provided does not work; michelle: Main issue here is that the link did not work; nguyenlam: Note in ""link_work"" column: The link does not work; oliver: (no note made); phuong: (no note made); sophia: There was link to ""supplementary data"" at the journal's website - this link was ignored, as there was an explicit link to the open data","yes",,"yes",,"yes",,"no","Site can' be reached",,,,,2014,"Tucker-Drob, Elliot M.; Cheung, Amanda K.; Briley, Daniel A.","Gross Domestic Product, Science Interest, and Science Achievement: A Person × Nation Interaction","Psychological Science","0956-7976","10.1177/0956797614548726","2047-2057","11",25,TRUE,TRUE,FALSE,FALSE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no","no",,,TRUE,FALSE,0,1,"1",FALSE,0
"a001221",,"Link coded as not working","doi.org/10.7910/DVN/BAG0DS","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HIQ4BV","yes",,"sophia: (no note made); steve: Original link did not work, DOI does not exist","yes",,"yes",,"yes",,"other","DOI not found; data found by searching Harvard Dataverse by author name","yes",,"yes","Harvard Dataverse",2018,"Renshon, Jonathan; Dafoe, Allan; Huth, Paul","Leader Influence and Reputation Formation in World Politics","American Journal of Political Science","1540-5907","10.1111/ajps.12335","325-339","2",62,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no","no",,,TRUE,FALSE,0,1,"1",FALSE,0
"a001250",,"Link coded as not working","dbk.gesis.org/DBKSearch/SDesc2.asp?no=6701","search.gesis.org/research_data/ZA6701","other","Application required to access data","adrian: Article had 2 links - This URL not found; adrian: Article had 2 links - This link ok; sophia: I didn't have any problems with this article; sophia: (no note made); steve: Original link did not work but dataset locateable, need to apply to access data set; steve: Straightforward, no issues - link contained code for processing data","yes",,"yes",,"yes",,"other","As presented, link does not work, but searching from the gesis home page does locate the correct dataset","other","Was able to download metadata documents but no actual data","yes","GESIS (Leibniz Institute for the Social Sciences)",2019,"Kandler, Christian; Waaktaar, Trine; Mõttus, René; Riemann, Rainer; Torgersen, Svenn","Unravelling the Interplay Between Genetic and Environmental Contributions in the Unfolding of Personality Differences from Early Adolescence to Young Adulthood","European Journal of Personality","1099-0984","10.1002/per.2189","221-244","3",33,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no","yes",,,TRUE,FALSE,0.5,2,"2",FALSE,0.5
"a001293",,"Link coded as not working","doi.org/10.14284/PANGAEA.329",,,,"andy: More recent data files also available with differenct DOI, also successfully downloaded; andy: Very similar to resolved URL; steve: More recent versions were available, in addition to the dataset explicitly linked to (different versions had different DOIs); steve: This might be a drafting error? DOI is very similar to the one that works","yes",,"yes",,"yes",,"no","Invalid DOI",,,,,2019,"Mortelmans, Jonas; Goossens, Jolien; Martínez, Luz Amadei; Deneudt, Klaas; Cattrijsse, André; Hernandez, Francisco","LifeWatch observatory data: Zooplankton observations in the Belgian part of the North Sea","Geoscience Data Journal","2049-6060","10.1002/gdj3.68","76-84","2",6,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no","no",,,TRUE,FALSE,0.5,2,"2",FALSE,0.5
"a001429",,"Link coded as not working","www.tessexperiments.org/data/ferrer825.html","osf.io/a42yg","yes",,"michelle: I didn't have any problems with this article; oliver: (no note made); steve: Once figuring out how to navigate the custom group website, was straightforward","yes",,"yes",,"yes",,"other","link results in a page not found error message, but straightforward to follow links and find correct data location (replace ""data"" with ""study"" in url). Correct page leads to an OSF project","yes",,"yes","Open Science Framework",2018,"Ferrer, Rebecca A.; Orehek, Edward; Padgett, Lynne S.","Goal conflict when making decisions for others","Journal of Experimental Social Psychology","0022-1031","10.1016/j.jesp.2018.05.008","93-103",,78,TRUE,TRUE,TRUE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no","no",,,TRUE,FALSE,0,1,"1",FALSE,0
"a001476",,"Link coded as not working","forscenter.ch/en/our-surveys/swiss-household-panel","forsbase.unil.ch/project/study-public-overview/16970/0","other","Files require an account login to access","evelyn: I didn't have any problems with this article; sophia: links to the general homepage for the repository; sophia: (no note made); steve: Access to data controlled by the FORSbase staff (see https://forsbase.unil.ch/base/faqs/#1.2 - not guaranteed that data can be accessed); steve: It looks like data is quite easily potentially available, with only a small amount of gatekeeping; steve: Straightforward, no issues","yes",,"yes",,"yes",,"other","Link as provided results in a 404 error, but the links on the website make it very easy to find the updated location of the data (link via https://forscenter.ch/projects/swiss-household-panel/)","no",,"yes","FORSbase",2018,"Sommet, Nicolas; Morselli, Davide; Spini, Dario","Income Inequality Affects the Psychological Health of Only the People Facing Scarcity","Psychological Science","0956-7976, 1467-9280","10.1177/0956797618798620","1911-1921","12",29,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no","yes",,,TRUE,FALSE,0.6666666666666666,3,"3+",FALSE,0.6666666666666666
"a001501",,"Link coded as not working","dx.doi.org/10.7910/DVN/DEMP8Q","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/NMJ4W9","yes",,"adrian: Error: DOI not found; steve: Original link did not work, DOI does not exist","yes",,"yes",,"yes",,"other","DOI not found; data found by searching Harvard Dataverse by author name","yes",,"yes","Harvard Dataverse",2017,"Hemker, Johannes; Rink, Anselm","Multiple Dimensions of Bureaucratic Discrimination: Evidence from German Welfare Offices","American Journal of Political Science","1540-5907","10.1111/ajps.12312","786-803","4",61,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no","no",,,TRUE,FALSE,0,1,"1",FALSE,0
"a001548",,"Link coded as not working","doi.org/10.11922/sciencedb.642",,,,"andy: (no note made); steve: Link resolved to http://www.sciencedb.cn/dataSet/handle/642, but server returned 500 error. Can't find data by searching on scidb.cn, either.","yes",,"yes",,"yes",,"no","Redirect loop",,,,,2019,"Sun, Zhigang; Ouyang, Zhu; Zhang, Xubo; Ren, Wei","A new global dataset of phase synchronization of temperature and precipitation: Its climatology and contribution to global vegetation productivity","Geoscience Data Journal","2049-6060","10.1002/gdj3.76","126-136","2",6,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no","no",,,TRUE,FALSE,0,1,"1",FALSE,0
"a001614",,"Link coded as not working","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/MVGYWG",,,,"andy: Login required. DOI and author search return no results; steve: DOI could not be found, either - searching by author on dataverse does not return this study","yes",,"yes",,"yes",,"no","Asks for a login",,,"yes","Harvard Dataverse",2018,"Spaniel, William; Poznansky, Michael","Credible Commitment in Covert Affairs","American Journal of Political Science","1540-5907","10.1111/ajps.12363","668-681","3",62,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"yes","yes","no","no",,,TRUE,FALSE,0,1,"1",FALSE,0
