Key,Item Type,Publication Year,Author,Title,Publication Title,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Issue,Volume,Journal Abbreviation,Short Title,Series,Language,Rights,Library Catalog,Extra,Notes,file_att1,file_att2,file_att3,Automatic Tags,OpenDataBadge,OpenMaterialsBadge,PreregisteredBadge,ErratumTag,effective_year,PROpenData,PRPreregistered,PROpenMaterials,DEPreregistered,TCPreregistered,PreregisteredPlus,study_id,pdf_to_copy,allowed_in_pool
N5INSDTI,journalArticle,2018,"Gross, Courtney D.; Mendoza, Albee Therese O.",Exposure to Media on Perceptions of Violence as a Function of Trait Aggression and Athletic Status,Psi Chi Journal of Psychological Research,23257342,10.24839/2325-7342.JN23.2.147,https://www.psichi.org/page/232JNSpecialIssue18,NA,2018,2019-04-06T17:17:56Z,2019-04-06T17:18:09Z,2019-04-06T17:17:56Z,147-156,2,23,NA,NA,NA,en,NA,Crossref,NA,NA,C:\Users\Steve\Zotero\storage\YQ8H4DU4\Gross en Mendoza - 2018 - Exposure to Media on Perceptions of Violence as a .pdf,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001052,C:\Users\Steve\Zotero\storage\YQ8H4DU4\Gross en Mendoza - 2018 - Exposure to Media on Perceptions of Violence as a .pdf,TRUE
N5L7NJ8N,journalArticle,2019,"Box‐Steffensmeier, Janet M.; Christenson, Dino P.; Craig, Alison W.",Cue-Taking in Congress: Interest Group Signals from Dear Colleague Letters,American Journal of Political Science,1540-5907,10.1111/ajps.12399,https://onlinelibrary.wiley.com/doi/abs/10.1111/ajps.12399,"Why do some pieces of legislation move forward while others languish? We address this fundamental question by examining the role of interest groups in Congress, specifically the effect of their legislative endorsements in Dear Colleague letters. These letters provide insights into the information that members use to both influence and make policy decisions. We demonstrate that endorsements from particularly well-connected interest groups are a strong cue for members with limited information early in the legislative process and help grow the list of bill cosponsors. As bills progress, such groups have less direct weight, while legislation supported by a larger number of organizations and a larger number of cosponsors is more likely to pass. Thus, we illuminate the usage of Dear Colleague letters in Congress, demonstrate how members use interest groups in the legislative process, and shed new light on the varying impact of groups on public policy.",2019,2019-03-20T11:57:45Z,2019-03-20T11:58:04Z,2019-03-20T11:57:45Z,163-180,1,63,NA,Cue-Taking in Congress,NA,en,"©2018, Midwest Political Science Association",Wiley Online Library,NA,NA,C:\Users\Steve\Zotero\storage\6R3VZBKK\Box‐Steffensmeier e.a. - 2019 - Cue-Taking in Congress Interest Group Signals fro.pdf, C:\Users\Steve\Zotero\storage\SPDNIQIL\ajps.html,NA,NA,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001053,C:\Users\Steve\Zotero\storage\6R3VZBKK\Box‐Steffensmeier e.a. - 2019 - Cue-Taking in Congress Interest Group Signals fro.pdf,TRUE
N64PZY8B,journalArticle,2019,"McDonald, Melissa M.; Brindley, Samantha; Halperin, Eran; Saguy, Tamar",Promoting intergroup openness and support for equality in a new cultural context: Replicating the effects of internal criticism,The Journal of Social Psychology,0022-4545,10.1080/00224545.2018.1491470,https://doi.org/10.1080/00224545.2018.1491470,"Exposure to an outgroup member voicing criticism of his or her own group fosters greater openness to the outgroup’s perspective. Research suggests that this effect owes its influence to a serial process in which participants’ perception of the risk involved in voicing internal criticism leads to an increase in the perceived credibility of the speaker. The credibility makes it possible for the speaker to be viewed as open-minded, which subsequently inspires greater hope. This process culminates in an increased openness to the outgroup. These findings have been restricted to the Israeli-Palestinian conflict, but here we examine their generalizability to racial conflict in the United States. Results reveal that White Americans exposed to internal criticism expressed by a Black authority figure express greater openness to African-American perspectives on race relations and are more willing to support policies of racial equality. Replicating past research, this effect is serially mediated by risk, credibility, and hope.",2019-05-04,2020-02-04T06:34:18Z,2020-02-04T06:34:37Z,2020-02-04T06:34:18Z,349-356,3,159,NA,Promoting intergroup openness and support for equality in a new cultural context,NA,NA,NA,Taylor and Francis+NEJM,PMID: 30001191,NA,C:\Users\Steve\Zotero\storage\VDJFUJG3\McDonald et al. - 2019 - Promoting intergroup openness and support for equa.pdf, C:\Users\Steve\Zotero\storage\IPJEGF9I\00224545.2018.html,NA,prejudice; culture; intervention; Correction; Credibility; criticism; hope; intergroup relations; openness; risk,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001055,C:\Users\Steve\Zotero\storage\VDJFUJG3\McDonald et al. - 2019 - Promoting intergroup openness and support for equa.pdf,TRUE
N7FLSD6A,journalArticle,2019,"Cao, Jack; Kleiman-Weiner, Max; Banaji, Mahzarin R.",People Make the Same Bayesian Judgment They Criticize in Others,Psychological Science,"0956-7976, 1467-9280",10.1177/0956797618805750,http://journals.sagepub.com/doi/10.1177/0956797618805750,"When two individuals from different social groups exhibit identical behavior, egalitarian codes of conduct call for equal judgments of both individuals. However, this moral imperative is at odds with the statistical imperative to consider priors based on group membership. Insofar as these priors differ, Bayesian rationality calls for unequal judgments of both individuals. We show that participants criticized the morality and intellect of someone else who made a Bayesian judgment, shared less money with this person, and incurred financial costs to punish this person. However, participants made unequal judgments as a Bayesian statistician would, thereby rendering the same judgment that they found repugnant when offered by someone else. This inconsistency, which can be reconciled by differences in which base rate is attended to, suggests that participants use group membership in a way that reflects the savvy of a Bayesian and the disrepute of someone they consider to be a bigot.",2019-01,2019-04-06T18:41:43Z,2019-04-06T18:42:01Z,2019-04-06T18:41:43Z,20-31,1,30,NA,NA,NA,en,NA,Crossref,NA,NA,C:\Users\Steve\Zotero\storage\PNU6VFIT\Cao e.a. - 2019 - People Make the Same Bayesian Judgment They Critic.pdf,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001056,C:\Users\Steve\Zotero\storage\PNU6VFIT\Cao e.a. - 2019 - People Make the Same Bayesian Judgment They Critic.pdf,TRUE
N7GDNJSU,journalArticle,2017,"King, Gary; Lam, Patrick; Roberts, Margaret E.",Computer‐Assisted Keyword and Document Set Discovery from Unstructured Text,American Journal of Political Science,1540-5907,10.1111/ajps.12291,https://onlinelibrary-wiley-com.ezp.lib.unimelb.edu.au/doi/abs/10.1111/ajps.12291,NA,2017-10-01,2018-04-04T00:55:31Z,2018-04-04T00:55:38Z,2018-04-04T00:55:31Z,971-988,4,61,NA,NA,NA,en,NA,onlinelibrary-wiley-com.ezp.lib.unimelb.edu.au,NA,NA,C:\Users\Steve\Zotero\storage\Y4QE4PAS\King et al. - 2017 - Computer‐Assisted Keyword and Document Set Discove.pdf, C:\Users\Steve\Zotero\storage\7M8BL2EI\ajps.html,NA,NA,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001057,C:\Users\Steve\Zotero\storage\Y4QE4PAS\King et al. - 2017 - Computer‐Assisted Keyword and Document Set Discove.pdf,TRUE
N8K239MU,journalArticle,2017,"Driessche, Charlotte Van den; Bastian, Mikaël; Peyre, Hugo; Stordeur, Coline; Acquaviva, Éric; Bahadori, Sara; Delorme, Richard; Sackur, Jérôme",Attentional Lapses in Attention-Deficit/Hyperactivity Disorder: Blank Rather Than Wandering Thoughts,Psychological Science,0956-7976,10.1177/0956797617708234,https://doi.org/10.1177/0956797617708234,"People with attention-deficit/hyperactivity disorder (ADHD) have difficulties sustaining their attention on external tasks. Such attentional lapses have often been characterized as the simple opposite of external sustained attention, but the different types of attentional lapses, and the subjective experiences to which they correspond, remain unspecified. In this study, we showed that unmedicated children (ages 6–12) with ADHD, when probed during a standard go/no-go task, reported more mind blanking (a mental state characterized by the absence of reportable content) than did control participants. This increase in mind blanking happened at the expense of both focused and wandering thoughts. We also found that methylphenidate reverted the level of mind blanking to baseline (i.e., the level of mind blanking reported by control children without ADHD). However, this restoration led to mind wandering more than to focused attention. In a second experiment, we extended these findings to adults who had subclinical ADHD. These results suggest that executive functions impaired in ADHD are required not only to sustain external attention but also to maintain an internal train of thought.",2017-10-01,2018-03-19T23:59:46Z,2018-03-19T23:59:57Z,2018-03-19T23:59:46Z,1375-1386,10,28,Psychol Sci,Attentional Lapses in Attention-Deficit/Hyperactivity Disorder,NA,en,NA,SAGE Journals,NA,NA,C:\Users\Steve\Zotero\storage\JQ9PVI88\Driessche et al. - 2017 - Attentional Lapses in Attention-DeficitHyperactiv.pdf,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001058,C:\Users\Steve\Zotero\storage\JQ9PVI88\Driessche et al. - 2017 - Attentional Lapses in Attention-DeficitHyperactiv.pdf,TRUE
NB56WCQT,journalArticle,2019,"Block, Katharina; Croft, Alyssa; De Souza, Lucy; Schmader, Toni",Do people care if men don't care about caring? The asymmetry in support for changing gender roles,Journal of Experimental Social Psychology,0022-1031,10.1016/j.jesp.2019.03.013,http://www.sciencedirect.com/science/article/pii/S0022103118304633,"Not all instances of gender inequality are equally concerning. An emphasis on women's underrepresentation in Science, Technology, Engineering, and Math roles (STEM) has not been matched by a similar concern about men's underrepresentation in Healthcare, Early Education, and Domestic roles (HEED). The current research investigates whether and why people perceive gender imbalances in male-dominated careers (STEM and leadership) as more problematic than gender imbalances in female-dominated, caregiving careers (HEED). Results from four studies (total N = 754) document a tendency to more strongly support the inclusion of women in male-dominated careers, compared to the inclusion of men in female-dominated careers. This asymmetry in support for social action towards change is predicted by beliefs about what the ideal gender representation should be and the perceived causes of gender imbalances in each career type. Notably, gender representation in careers (and not salary) is the key factor underlying discrepant support for change (Study 4).",2019-07-01,2020-02-06T01:36:51Z,2020-02-10T11:49:20Z,2020-02-06T01:36:51Z,112-131,NA,83,Journal of Experimental Social Psychology,Do people care if men don't care about caring?,NA,en,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\ZSRGBHZT\Block et al. - 2019 - Do people care if men don't care about caring The.pdf, C:\Users\Steve\Zotero\storage\IQ73Y8DI\S0022103118304633.html,NA,Motivation; Gender equality; Gender roles; Gender stereotypes; Social change,TRUE,TRUE,TRUE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001059,C:\Users\Steve\Zotero\storage\ZSRGBHZT\Block et al. - 2019 - Do people care if men don't care about caring The.pdf,TRUE
NCQ3F6SR,journalArticle,2019,"Cucarián, Jaison D.; Berrío, Jenny P.; Rodrigues, Cristiano; Zancan, Mariana; Wink, Márcia R.; Oliveira, Alcyr de",Physical exercise and human adipose-derived mesenchymal stem cells ameliorate motor disturbances in a male rat model of Parkinson's disease,Journal of Neuroscience Research,1097-4547,10.1002/jnr.24442,http://onlinelibrary.wiley.com/doi/abs/10.1002/jnr.24442,"Parkinson's disease (PD) is a disabling and highly costly neurodegenerative condition with worldwide prevalence. Despite advances in treatments that slow progression and minimize locomotor impairments, its clinical management is still a challenge. Previous preclinical studies, using mesenchymal stem cell (MSC) transplantation and isolated physical exercise (EX), reported beneficial results for treatment of PD. Therefore, this experimental randomized study aimed to elucidate the therapeutic potential of combined therapy using adipose-derived human MSCs (ADSCs) grafted into the striatum in conjunction with aerobic treadmill training, specifically in terms of locomotor performance in a unilateral PD rat model induced by 6-hydroxydopamine (6-OHDA). Forty-one male Wistar rats were categorized into five groups in accordance with the type of treatment to which they were subjected (Sham, 6-OHDA − injury, 6-OHDA + exercise, 6-OHDA + cells, and 6-OHDA + combined). Subsequently, dopaminergic depletion was assessed by the methylphenidate challenge and the specified therapeutic intervention was conducted in each group. The foot fault task was performed at the end of the experiment to serve as an assessment of motor skills. The results showed that despite disturbances in motor balance and coordination, locomotor dysfunction was ameliorated in all treatment categories in comparison to the injury group (sign test, p < 0.001, effect size: 0.71). The exercise alone and combined groups were the categories that exhibited the best recovery in terms of movement performance (p < 0.001). Overall, this study confirms that exercise is a powerful option to improve motor function and a promising adjuvant intervention for stem cell transplantation in the treatment of PD motor symptoms. Open Practices This article has been awarded Open Data. All materials and data are publicly accessible at https://figshare.com/s/18a543c101a17a1d5560. Learn more about the Open Practices badges from the Center for Open Science: https://osf.io/tvyxz/wiki.",2019,2020-02-05T08:22:53Z,2020-02-05T08:23:18Z,2020-02-05T08:22:53Z,1095-1109,9,97,NA,NA,NA,en,"© 2019 Wiley Periodicals, Inc.",Wiley Online Library,NA,NA,C:\Users\Steve\Zotero\storage\ZL4J7WI2\Cucarián et al. - 2019 - Physical exercise and human adipose-derived mesenc.pdf, C:\Users\Steve\Zotero\storage\SL2YXVZF\jnr.html,NA,cell-based therapy; disease-modifying therapies; motor skills; neuroplasticity; RRID:AB_10372512; RRID:AB_10373109; RRID:AB_10375163; RRID:AB_10392382; RRID:AB_1072177; RRID:AB_2336789; RRID:AB_2539844; RRID:AB_2636996; RRID:RGD_13508588; RRID:SCR_002798; RRID:SCR_002865; RRID:SCR_006369; RRID:SCR_014483,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001060,C:\Users\Steve\Zotero\storage\ZL4J7WI2\Cucarián et al. - 2019 - Physical exercise and human adipose-derived mesenc.pdf,TRUE
NE786XHJ,journalArticle,2015,"Cohen, Sheldon; Janicki-Deverts, Denise; Turner, Ronald B.; Doyle, William J.",Does Hugging Provide Stress-Buffering Social Support? A Study of Susceptibility to Upper Respiratory Infection and Illness,Psychological Science,0956-7976,10.1177/0956797614559284,https://doi.org/10.1177/0956797614559284,"Perceived social support has been hypothesized to protect against the pathogenic effects of stress. How such protection might be conferred, however, is not well understood. Using a sample of 404 healthy adults, we examined the roles of perceived social support and received hugs in buffering against interpersonal stress-induced susceptibility to infectious disease. Perceived support was assessed by questionnaire, and daily interpersonal conflict and receipt of hugs were assessed by telephone interviews on 14 consecutive evenings. Subsequently, participants were exposed to a virus that causes a common cold and were monitored in quarantine to assess infection and illness signs. Perceived support protected against the rise in infection risk associated with increasing frequency of conflict. A similar stress-buffering effect emerged for hugging, which explained 32% of the attenuating effect of support. Among infected participants, greater perceived support and more-frequent hugs each predicted less-severe illness signs. These data suggest that hugging may effectively convey social support.",2015-02-01,2018-03-20T05:02:45Z,2018-03-20T05:02:52Z,2018-03-20T05:02:45Z,135-147,2,26,Psychol Sci,Does Hugging Provide Stress-Buffering Social Support?,NA,en,NA,SAGE Journals,NA,NA,C:\Users\Steve\Zotero\storage\D69CKK88\Cohen et al. - 2015 - Does Hugging Provide Stress-Buffering Social Suppo.pdf,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001062,C:\Users\Steve\Zotero\storage\D69CKK88\Cohen et al. - 2015 - Does Hugging Provide Stress-Buffering Social Suppo.pdf,TRUE
NEZUK6QM,journalArticle,2019,"Patty, John W.; Schibber, Constanza F.; Penn, Elizabeth Maggie; Crisp, Brian F.","Valence, Elections, and Legislative Institutions",American Journal of Political Science,1540-5907,10.1111/ajps.12429,http://onlinelibrary.wiley.com/doi/abs/10.1111/ajps.12429,"To the degree that voters care about competence, expertise, and other valence characteristics of their representatives and political parties care about winning elections, parties have an incentive to signal that their legislators have such characteristics. We construct a model of parties, motivated by both reelection and by policy, that attempt to signal individual incumbents' valences to voters through the assignment of these members to positions of authority. The model illustrates how electorally motivated party leaders will have an incentive to promote less competent incumbents than they would if voters did not make inferences from promotion decisions. We derive the model's empirical implications and test them with original data on the careers of Chilean senators serving between 1998 and 2013. In support of the model's insights, we find that promotion to a leadership position is an effective signal to voters only if the promoted incumbent has extreme views relative to the party.",2019,2020-01-29T00:50:32Z,2020-01-29T01:57:57Z,2020-01-29T00:50:32Z,563-576,3,63,NA,NA,NA,en,"©2019, Midwest Political Science Association",Wiley Online Library,NA,NA,"C:\Users\Steve\Zotero\storage\A3LF9UFS\Patty et al. - 2019 - Valence, Elections, and Legislative Institutions.pdf", C:\Users\Steve\Zotero\storage\BZQG3WXW\ajps.html,NA,NA,TRUE,TRUE,FALSE,FALSE,2019,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,a001063,"C:\Users\Steve\Zotero\storage\A3LF9UFS\Patty et al. - 2019 - Valence, Elections, and Legislative Institutions.pdf",TRUE
NGQMW3UB,journalArticle,2019,"Rathbone, Clare J.; Ellis, Judi A.; Ahmed, Samrah; Moulin, Chris J. A.; Ernst, Alexandra; Butler, Chris R.",Using memories to support the self in Alzheimer's disease,Cortex,0010-9452,10.1016/j.cortex.2019.09.007,http://www.sciencedirect.com/science/article/pii/S0010945219303272,"The impact of memory loss on the self in Alzheimer's disease (AD) is poorly understood. Previous research is mixed on whether episodic or semantic memories are most important for supporting identity. The present study examined autobiographical memories cued by self-images (e.g., I am a father) and non-self-related cues in 16 AD patients and 29 healthy older adults. The AD group generated fewer self-images and memories compared to controls, but demonstrated similar temporal organization of self-cued memories. In both groups, self-images were supported by semantic memories that were temporally clustered around times of identity-formation. These self-supporting memories are proposed to form a scaffold to support the self and may persist the longest in AD, as opposed to memories from early adulthood per se. In both AD and control groups, self-images cued more semantic memories than non-self-relevant cues, further suggesting that semantic autobiographical memories play a fundamental role in supporting the self. These findings demonstrate that the self remains largely intact in AD, in spite of severe episodic memory deficits and global cognitive decline. In later stages of the disease, these self-supporting memories could provide effective tools for reminiscence therapy.",2019-12-01,2020-01-30T08:09:33Z,2020-01-30T12:00:39Z,2020-01-30T08:09:31Z,332-346,NA,121,Cortex,NA,NA,en,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\3EQHEZAF\Rathbone et al. - 2019 - Using memories to support the self in Alzheimer's .pdf, C:\Users\Steve\Zotero\storage\XB5S8HN6\S0010945219303272.html,NA,Identity; Semantic; Autobiographical memory; Dementia; Episodic,TRUE,FALSE,FALSE,FALSE,2019,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001066,C:\Users\Steve\Zotero\storage\3EQHEZAF\Rathbone et al. - 2019 - Using memories to support the self in Alzheimer's .pdf,TRUE
NGWIL42H,journalArticle,2018,"Everett, Jim A. C.; Faber, Nadira S.; Savulescu, Julian; Crockett, Molly J.",The costs of being consequentialist: Social inference from instrumental harm and impartial beneficence,Journal of Experimental Social Psychology,0022-1031,10.1016/j.jesp.2018.07.004,http://www.sciencedirect.com/science/article/pii/S0022103117308181,"Previous work has demonstrated that people are more likely to trust “deontological” agents who reject harming one person to save many others than “consequentialist” agents who endorse such instrumental harms, which could explain the higher prevalence of non-consequentialist moral intuitions. Yet consequentialism involves endorsing not just instrumental harm, but also impartial beneficence, treating the well-being of every individual as equally important. In four studies (total N = 2086), we investigated preferences for consequentialist vs. non-consequentialist social partners endorsing instrumental harm or impartial beneficence and examined how such preferences varied across different types of social relationships. Our results demonstrate robust preferences for non-consequentialist over consequentialist agents in the domain of instrumental harm, and weaker – but still evident – preferences in the domain of impartial beneficence. In the domain of instrumental harm, non-consequentialist agents were consistently viewed as more moral and trustworthy, preferred for a range of social roles, and entrusted with more money in economic exchanges. In the domain of impartial beneficence, preferences for non-consequentialist agents were observed for close interpersonal relationships requiring direct interaction (friend, spouse) but not for more distant roles with little-to-no personal interaction (political leader). Collectively our findings demonstrate that preferences for non-consequentialist agents are sensitive to the different dimensions of consequentialist thinking and the relational context.",2018-11-01,2019-03-30T17:00:11Z,2019-03-30T17:00:25Z,2019-03-30T17:00:11Z,200-216,NA,79,Journal of Experimental Social Psychology,The costs of being consequentialist,NA,NA,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\UCYR77DM\Everett e.a. - 2018 - The costs of being consequentialist Social infere.pdf, C:\Users\Steve\Zotero\storage\7ZXT4UQU\S0022103117308181.html,NA,Morality; Person perception; Trust; Consequentialism; Deontology; Helping; Impartiality; Partner choice; Prosociality; Utilitarianism,TRUE,TRUE,TRUE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,a001067,C:\Users\Steve\Zotero\storage\UCYR77DM\Everett e.a. - 2018 - The costs of being consequentialist Social infere.pdf,TRUE
NI6RK6Y3,journalArticle,2017,"Ding, Xiaowei; Gao, Zaifeng; Shen, Mowei",Two Equals One: Two Human Actions During Social Interaction Are Grouped as One Unit in Working Memory,Psychological Science,0956-7976,10.1177/0956797617707318,https://doi.org/10.1177/0956797617707318,"Every day, people perceive other people performing interactive actions. Retaining these actions of human agents in working memory (WM) plays a pivotal role in a normal social life. However, whether the semantic knowledge embedded in the interactive actions has a pervasive impact on the storage of the actions in WM remains unknown. In the current study, we investigated two opposing hypotheses: (a) that WM stores the interactions individually (the individual-storage hypothesis) and (b) that WM stores the interactions as chunks (the chunk-storage hypothesis). We required participants to memorize a set of individual actions while ignoring the underlying social interactions. We found that although the social-interaction aspect was task irrelevant, the interactive actions were stored in WM as chunks that were not affected by memory load (Experiments 1 and 2); however, inverting the human actions vertically abolished this chunking effect (Experiment 3). These results suggest that WM automatically and efficiently used semantic knowledge about interactive actions to store them and support the chunk-storage hypothesis.",2017-09-01,2018-03-20T00:10:45Z,2018-03-20T00:11:09Z,2018-03-20T00:10:45Z,1311-1320,9,28,Psychol Sci,Two Equals One,NA,en,NA,SAGE Journals,NA,NA,C:\Users\Steve\Zotero\storage\U57AYFR2\Ding et al. - 2017 - Two Equals One Two Human Actions During Social In.pdf,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2017,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001068,C:\Users\Steve\Zotero\storage\U57AYFR2\Ding et al. - 2017 - Two Equals One Two Human Actions During Social In.pdf,TRUE
NIJK7BUU,journalArticle,2016,"Powell, Georgie; Meredith, Zoe; McMillin, Rebecca; Freeman, Tom C. A.",Bayesian Models of Individual Differences: Combining Autistic Traits and Sensory Thresholds to Predict Motion Perception,Psychological Science,0956-7976,10.1177/0956797616665351,https://doi.org/10.1177/0956797616665351,"According to Bayesian models, perception and cognition depend on the optimal combination of noisy incoming evidence with prior knowledge of the world. Individual differences in perception should therefore be jointly determined by a person’s sensitivity to incoming evidence and his or her prior expectations. It has been proposed that individuals with autism have flatter prior distributions than do nonautistic individuals, which suggests that prior variance is linked to the degree of autistic traits in the general population. We tested this idea by studying how perceived speed changes during pursuit eye movement and at low contrast. We found that individual differences in these two motion phenomena were predicted by differences in thresholds and autistic traits when combined in a quantitative Bayesian model. Our findings therefore support the flatter-prior hypothesis and suggest that individual differences in prior expectations are more systematic than previously thought. In order to be revealed, however, individual differences in sensitivity must also be taken into account.",2016-12-01,2018-03-20T00:54:31Z,2018-03-20T00:54:41Z,2018-03-20T00:54:31Z,1562-1572,12,27,Psychol Sci,Bayesian Models of Individual Differences,NA,en,NA,SAGE Journals,NA,NA,C:\Users\Steve\Zotero\storage\7FBBGXZ2\Powell et al. - 2016 - Bayesian Models of Individual Differences Combini.pdf,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2016,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001069,C:\Users\Steve\Zotero\storage\7FBBGXZ2\Powell et al. - 2016 - Bayesian Models of Individual Differences Combini.pdf,TRUE
NLFDSDR8,journalArticle,2014,"Price, Joseph; Wolfers, Justin","Right-Oriented Bias: A Comment on Roskes, Sligte, Shalvi, and De Dreu (2011)",Psychological Science,0956-7976,10.1177/0956797614536738,https://doi.org/10.1177/0956797614536738,NA,2014-11-01,2018-03-21T00:14:23Z,2018-03-21T00:14:30Z,2018-03-21T00:14:23Z,2109-2111,11,25,Psychol Sci,Right-Oriented Bias,NA,en,NA,SAGE Journals,NA,NA,"C:\Users\Steve\Zotero\storage\P6T4ATCQ\Price and Wolfers - 2014 - Right-Oriented Bias A Comment on Roskes, Sligte, .pdf",NA,NA,NA,TRUE,FALSE,FALSE,FALSE,2014,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001070,"C:\Users\Steve\Zotero\storage\P6T4ATCQ\Price and Wolfers - 2014 - Right-Oriented Bias A Comment on Roskes, Sligte, .pdf",TRUE
NLLPDZKC,journalArticle,2015,"Coman, Alin; Berry, Jessica N.",Infectious Cognition: Risk Perception Affects Socially Shared Retrieval-Induced Forgetting of Medical Information,Psychological Science,0956-7976,10.1177/0956797615609438,https://doi.org/10.1177/0956797615609438,"When speakers selectively retrieve previously learned information, listeners often concurrently, and covertly, retrieve their memories of that information. This concurrent retrieval typically enhances memory for mentioned information (the rehearsal effect) and impairs memory for unmentioned but related information (socially shared retrieval-induced forgetting, SSRIF), relative to memory for unmentioned and unrelated information. Building on research showing that anxiety leads to increased attention to threat-relevant information, we explored whether concurrent retrieval is facilitated in high-anxiety real-world contexts. Participants first learned category-exemplar facts about meningococcal disease. Following a manipulation of perceived risk of infection (low vs. high risk), they listened to a mock radio show in which some of the facts were selectively practiced. Final recall tests showed that the rehearsal effect was equivalent between the two risk conditions, but SSRIF was significantly larger in the high-risk than in the low-risk condition. Thus, the tendency to exaggerate consequences of news events was found to have deleterious consequences.",2015-12-01,2018-03-20T01:56:59Z,2018-03-20T01:57:08Z,2018-03-20T01:56:59Z,1965-1971,12,26,Psychol Sci,Infectious Cognition,NA,en,NA,SAGE Journals,NA,NA,C:\Users\Steve\Zotero\storage\6IFUHU4I\Coman and Berry - 2015 - Infectious Cognition Risk Perception Affects Soci.pdf,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,2015,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001071,C:\Users\Steve\Zotero\storage\6IFUHU4I\Coman and Berry - 2015 - Infectious Cognition Risk Perception Affects Soci.pdf,TRUE
NLN4NUKU,journalArticle,2018,"Greenaway, Katharine H.; Kalokerinos, Elise K.; Murphy, Sean C.; McIlroy, Thomas",Winners are grinners: Expressing authentic positive emotion enhances status in performance contexts,Journal of Experimental Social Psychology,0022-1031,10.1016/j.jesp.2018.03.013,http://www.sciencedirect.com/science/article/pii/S0022103117304778,"Research has shown that people who express positive emotion following victory risk appearing unlikeable and inconsiderate. We investigated whether these relational costs might be offset by status benefits, and the processes underlying such benefits. Across eight experiments (N = 1456), we found that winners who expressed positive emotion were perceived as higher in social standing than winners who suppressed positive emotion. To understand the mechanisms underlying this effect, we manipulated factors to do with the situation in which emotion was expressed, the type of person expressing emotion, and the way emotion was expressed. We also conducted replications of these experiments. The only factor that consistently moderated the expressivity effect was perceived authenticity, such that expressive winners only gained status benefits when observers believed the emotion expression was authentic. The findings point to the power of context in shaping the nature of the social benefits reaped by expressing positive emotion.",2018-09-01,2019-03-30T16:42:47Z,2019-03-30T16:42:56Z,2019-03-30T16:42:47Z,168-180,NA,78,Journal of Experimental Social Psychology,Winners are grinners,NA,NA,NA,ScienceDirect,NA,NA,C:\Users\Steve\Zotero\storage\9YM2JNZE\Greenaway e.a. - 2018 - Winners are grinners Expressing authentic positiv.pdf, C:\Users\Steve\Zotero\storage\DG4VCVJF\S0022103117304778.html,NA,Authenticity; Emotion expression; Positive emotion; Status,TRUE,FALSE,FALSE,FALSE,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,a001072,C:\Users\Steve\Zotero\storage\9YM2JNZE\Greenaway e.a. - 2018 - Winners are grinners Expressing authentic positiv.pdf,TRUE
