article_id,coder_initials,date_coded,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,number_of_links,link_number,link_url,link_work,link_work_noother,resolved_url,is_repository,is_repository_other,repository_name,files_exist,files_exist_other,download_success,download_success_other,notes,
a000945,Michelle,2020-04-10,yes,,yes,,yes,,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GGDUND,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/GGDUND,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000979,Michelle,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/aj2fx/,yes,,https://osf.io/aj2fx/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001006,Michelle,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/yq5jw/,yes,,https://osf.io/yq5jw/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001033,Michelle,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/bpj7m/,yes,,https://osf.io/bpj7m/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001041,Michelle,2020-04-10,yes,,yes,,yes,,1,1,https://osf.io/z53m4,yes,,https://osf.io/bvjny/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001049,Michelle,2020-04-13,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/X88LYH,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/X88LYH,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001056,Michelle,2020-04-13,yes,,yes,,yes,,1,1,osf.io/9fdhb,yes,,https://osf.io/9fdhb/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001147,Michelle,2020-04-13,yes,,yes,,yes,,1,1,https://dataverse.harvard.edu/dataset.xhtml?id=3037337,no,Error 404 Page Not found,,yes,,,,,,,Error 404 - page not found,
a001178,Michelle,2020-04-13,yes,,yes,,yes,,1,1,https://osf.io/t2856/,yes,,https://osf.io/t2856/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001239,Michelle,2020-04-13,yes,,yes,,yes,,2,1,https://osf.io/dux3n/?view_only1⁄4452552239590486e8793e573f6e8911a,yes,,https://osf.io/dux3n/?view_only=452552239590486e8793e573f6e8911a,yes,,OSF,yes,,other,File size exceeds 100MB,Did not download the file as file size was too big,
,,,,,,,,,,2,https://osf.io/dux3n,yes,,https://osf.io/dux3n/,yes,,OSF,yes,,other,File size exceeds 100MB,"I believe this link is the exact same as the first link, but one of them is a 'view only' version. FIle size exceeded 100MB on this link as well (same files) - supplementary data link (was ignored as there was a link to open data): https://doi.org/10.1016/j.cortex.2019.09.012.",
a001252,Michelle,2020-04-13,yes,,yes,,yes,,1,1,https://osf.io/jfxtr,yes,,https://osf.io/jfxtr/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001263,Michelle,2020-04-13,yes,,yes,,yes,,1,1,https://osf.io/tfwum/?view_only1⁄40cc13036c196453d940a4dafc35b715c,yes,,https://osf.io/tfwum/?view_only1%E2%81%8440cc13036c196453d940a4dafc35b715c,yes,,OSF,yes,,other,File size exceeds 100MB,Did not download the file as file size was too big - supplementary data link (but ignored as open data link was provided): https://doi.org/10.1016/j.cortex.2019.06.004.,
a001280,Michelle,2020-04-13,yes,,yes,,yes,,3,1,www.osf.io/p7xcj,yes,,https://osf.io/p7xcj/,yes,,OSF,yes,,yes,,I didn't have any problems with this link,
,,,,,,,,,,2,https://osf.io/cxc6f/,no,Page not found,,,,,,,,,Next 2 links - page was not found,
,,,,,,,,,,3,https://osf.io/y3zcn/,no,Page not found,,,,,,,,,,
a001303,Michelle,2020-04-13,yes,,yes,,yes,,1,1,https://osf.io/4exy7,yes,,https://osf.io/4exy7/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001412,Michelle,2020-04-13,yes,,yes,,yes,,1,1,https://osf.io/u65by/,yes,,https://osf.io/u65by/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001449,Michelle,2020-04-13,yes,,yes,,yes,,1,1,https://osf.io/34cd8/,yes,,https://osf.io/34cd8,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001496,Michelle,2020-04-13,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/SRPTCV,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SRPTCV,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001538,Michelle,2020-04-13,yes,,yes,,yes,,1,1,osf.io/ygzx3,yes,,https://osf.io/ygzx3/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001539,Michelle,2020-04-13,yes,,yes,,yes,,1,1,https://github.com/BlackHershey/blink-TS,yes,,https://github.com/BlackHershey/blink-TS,yes,,GITHUB,yes,,yes,,I didn't have any problems with this article,
a001564,Michelle,2020-04-13,yes,,yes,,yes,,1,1,https://osf.io/n9sd6/,yes,,https://osf.io/n9sd6/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000029,Michelle,2020-04-15,yes,,yes,,yes,,1,1,https://osf.io/k67ba/,yes,,https://osf.io/k67ba/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000035,Michelle,2020-04-15,yes,,yes,,yes,,1,1,https://osf.io/9tu5r/,yes,,https://osf.io/9tu5r/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000036,Michelle,2020-04-15,yes,,yes,,yes,,1,1,https://osf.io/g9yrc,yes,,https://osf.io/g9yrc,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000082,Michelle,2020-04-15,yes,,yes,,yes,,1,1,https://osf.io/anc5m/,yes,,https://osf.io/anc5m/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000130,Michelle,2020-04-15,yes,,yes,,yes,,1,1,https://osf.io/pr39h/,yes,,https://osf.io/pr39h/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000194,Michelle,2020-04-15,yes,,yes,,yes,,1,1,https://osf.io/6wxgf/,yes,,https://osf.io/6wxgf/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000199,Michelle,2020-04-15,yes,,yes,,yes,,1,1,https://osf.io/p2z8a/,yes,,https://osf.io/p2z8a/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000229,Michelle,2020-04-15,yes,,yes,,yes,,1,1,https://osf.io/7c9bw/,yes,,https://osf.io/7c9bw/,yes,,OSF,yes,,other,"Downloaded most files, but there are a lot of different files that it took > 15 mins, a couple of files under 'Idan eng' and 'Idan foreign' left to download",Not all files downloaded due to lengthy time,
a000231,Michelle,2020-04-15,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/9SF3TI,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9SF3TI,yes,,HAVARD DATAVERSE,yes,,other,Files were not downloading even after > 15 minutes so did not continue,Did not download files,
a000232,Michelle,2020-04-16,yes,,yes,,yes,,2,1,https://osf.io/rfc6r,yes,,https://osf.io/rfc6r,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
,,,,,,,,,,2,https://osf.io/bfefu,yes,,https://osf.io/bfefu,yes,,OSF,yes,,yes,,,
a000328,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/usfa5/?view_only=1f2e1994fc6247548499f47de64a2650.,yes,,https://osf.io/usfa5/?view_only=1f2e1994fc6247548499f47de64a2650,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000329,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/gw9jh/,yes,,https://osf.io/gw9jh/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000372,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KSHOE,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KSHOE,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000441,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/HUZGPJ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HUZGPJ,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000464,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/c8gbj/,yes,,https://osf.io/c8gbj/,yes,,OSF,yes,,yes,,"Under 'Open Practices' segment, it says individual level imaging data is available upon request",
a000507,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/qcdgp/,yes,,https://osf.io/qcdgp,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000519,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/9tgy4/,yes,,https://osf.io/9tgy4/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000571,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/vcqmd/,yes,,https://osf.io/vcqmd/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000598,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/XYUWYJ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XYUWYJ,yes,,HAVARD DATAVERSE,yes,,other,File size > 100 MB,Did not download the file as file size was too big,
a000635,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/XU8ZWB,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XU8ZWB,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000636,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/7uvcp/,yes,,https://osf.io/7uvcp/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000645,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/egtrb,yes,,https://osf.io/egtrb,yes,,OSF,yes,,yes,,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: https://doi.org/10.1016/j.jesp.2019.103876",
a000768,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/maf3d,yes,,https://osf.io/maf3d/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000776,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/9IKGYY,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9IKGYY,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000783,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/gm95y/,yes,,https://osf.io/gm95y/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000872,Michelle,2020-04-16,yes,,yes,,yes,,3,1,https://osf.io/q8zx3/,yes,,https://osf.io/q8zx3/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
,,,,,,,,,,2,https://osf.io/965xu/,yes,,https://osf.io/965xu/,yes,,OSF,yes,,yes,,,
,,,,,,,,,,3,https://osf.io/mrq5g/,yes,,https://osf.io/mrq5g/,yes,,OSF,yes,,yes,,,
a000873,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/hjt65/,yes,,https://osf.io/hjt65/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000905,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/pfuyq,yes,,https://osf.io/pfuyq,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000906,Michelle,2020-04-16,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/NS3NMH,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/NS3NMH,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000939,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/gdyu4/,yes,,https://osf.io/gdyu4,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000970,Michelle,2020-04-16,yes,,yes,,yes,,1,1,osf.io/zgq7m,yes,,https://osf.io/zgq7m/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001026,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/wc3sj/,yes,,https://osf.io/wc3sj/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001116,Michelle,2020-04-16,yes,,yes,,yes,,2,1,https://cancercontrol.cancer.gov/brp/hbrb/flashe.html,yes,,https://cancercontrol.cancer.gov/brp/hbrb/flashe.html,yes,,FLASHE,other,"To access the flashe data resource page, need to enter in email (seems like set up is required)",,,Data not downloaded from first link as appears set up is required,
,,,,,,,,,,2,https://osf.io/x3jav/,yes,,https://osf.io/x3jav/,yes,,OSF,yes,,yes,,"Link to 'project page', says all relevant info is at this link, so assuming it also includes open data",
a001151,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/79sqe/,yes,,https://osf.io/79sqe/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001229,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/vqke2,yes,,https://osf.io/vqke2/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001343,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/xefc4/,yes,,https://osf.io/xefc4,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001386,Michelle,2020-04-16,yes,,yes,,yes,,1,1,osf.io/exp4n,yes,,https://osf.io/exp4n/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001490,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/,yes,,https://osf.io/,yes,,OSF,other,"Link is just to the OSF homepage, not to a specific link pertaining to the article",,,Link is not specified - directs to OSF homepage,
a001545,Michelle,2020-04-16,yes,,yes,,yes,,2,1,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/00233,yes,,https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/00233,yes,,ICPSR,other,"Text in the article mentions: Our data-use agreement prevented us from posting these data online, but the data set is available on request from the ICPSR website - so cannot seem to access open data",,,Cannot seem to access open data as need to request it from ICPSR,
,,,,,,,,,,2,https://nces.ed.gov/ecls/dataproducts.asp,no,Error 403: Forbidden - access is denied,,,,,,,,,Error 403 - Forbidden access to link 2 ,
a001567,Michelle,2020-04-16,yes,,yes,,yes,,1,1,https://osf.io/6csnh/,yes,,https://osf.io/6csnh/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000004,Michelle,2020-04-20,yes,,yes,,yes,,1,1,https://osf.io/4sqn3/,yes,,https://osf.io/4sqn3/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000007,Michelle,2020-04-20,yes,,yes,,yes,,1,1,https://osf.io/wds5y,yes,,https://osf.io/wds5y/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000015,Michelle,2020-04-20,yes,,yes,,yes,,1,1,https://osf.io/f3dh6,yes,,https://osf.io/f3dh6/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000038,Michelle,2020-04-20,yes,,yes,,yes,,1,1,https://osf.io/6ayhs,yes,,https://osf.io/6ayhs/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000063,Michelle,2020-04-20,yes,,yes,,yes,,1,1,https://osf.io/ucn6q,yes,,https://osf.io/ucn6q/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000147,Michelle,2020-04-20,yes,,yes,,yes,,1,1,osf.io/cwenz,yes,,https://osf.io/cwenz/,yes,,OSF,yes,,other,1 of the zip files (Github zip file) > 100MB,Did not download one of the zip files due to size,
a000160,Michelle,2020-04-20,yes,,yes,,yes,,1,1,http://childes.talkbank.org/,yes,,https://childes.talkbank.org/,yes,,TALKBANK,other,"Cannot seem to find specific data to the article, tried going on 'Browse Database' but no indication of which data was used",,,Cannot find appropriate data via website given in article,
a000205,Michelle,2020-04-20,yes,,yes,,yes,,1,1,https://osf.io/g6tnd/,yes,,https://osf.io/g6tnd,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000243,Michelle,2020-04-20,yes,,yes,,yes,,1,1,https://datadryad.org//resource/doi:10.5061/dryad.q88sm,yes,,https://datadryad.org/stash/dataset/doi:10.5061/dryad.q88sm,yes,,DRYAD,yes,,yes,,I didn't have any problems with this article,
a000253,Michelle,2020-04-20,yes,,yes,,yes,,1,1,https://osf.io/ewr45,yes,,https://osf.io/ewr45,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000457,Michelle,2020-04-20,yes,,yes,,yes,,1,1,https://osf.io/gjc5b/,yes,,https://osf.io/gjc5b/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000492,Michelle,2020-04-20,yes,,yes,,yes,,2,1,https://osf.io/2zbvs/?view_only=8b56bf1e32d147a5a673f0c3494d25ff,yes,,https://osf.io/2zbvs/?view_only=8b56bf1e32d147a5a673f0c3494d25ff,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
,,,,,,,,,,2,https://osf.io/2zbvs/,yes,,https://osf.io/2zbvs/,yes,,OSF,other,"Seems this is the non view only link of link 1, so same files as link 1 are available",,,,
a000535,Michelle,2020-04-21,yes,,yes,,yes,,2,1,https://osf.io/rkf9p/,yes,,https://osf.io/rkf9p/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
,,,,,,,,,,2,https://osf.io/ygwda/,yes,,https://osf.io/ygwda/,yes,,OSF,other,files are included in the first link so did not download the files from this link,,,,
a000649,Michelle,2020-04-21,yes,,yes,,yes,,1,1,https://osf.io/3qskj/,yes,,https://osf.io/3qskj/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000652,Michelle,2020-04-21,yes,,yes,,yes,,1,1,https://osf.io/x9kqz/,yes,,https://osf.io/x9kqz/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000658,Michelle,2020-04-21,yes,,yes,,yes,,1,1,https://osf.io/9cxwb/,yes,,https://osf.io/9cxwb/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000663,Michelle,2020-04-21,yes,,yes,,yes,,1,1,https://osf.io/z7kq2/,yes,,https://osf.io/z7kq2/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000668,Michelle,2020-04-21,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/TIXGF8,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TIXGF8,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000730,Michelle,2020-04-21,yes,,yes,,yes,,1,1,http://dx.doi.org/10.17605/osf.io/hzpgy,yes,,https://osf.io/hzpgy/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000807,Michelle,2020-04-21,yes,,yes,,yes,,1,1,https://osf.io/x9h8b/,yes,,https://osf.io/x9h8b/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000831,Michelle,2020-04-21,yes,,yes,,no,"Under open practices, it says: 'Materials and data for the experiment
are available at (will be available upon publication).' But there is a link to supplementary data: at http://dx.doi.org/10.1016/j.jesp.2017.09.002.",,,,,,,,,,,,,,Article says open data will be available upon publication. Supplementary data link is provided however,
a000853,Michelle,2020-04-21,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/3DMNPE,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/3DMNPE,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000974,Michelle,2020-04-21,yes,,yes,,yes,,1,1,https://osf.io/xscvw/,yes,,https://osf.io/xscvw/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000993,Michelle,2020-04-21,yes,,yes,,yes,,1,1,https://osf.io/72b89/,yes,,https://osf.io/72b89/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001076,Michelle,2020-04-21,yes,,yes,,yes,,1,1,https://osf.io/a63ez,yes,,https://osf.io/a63ez/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001086,Michelle,2020-04-21,yes,,yes,,yes,,1,1,https://figshare.com/articles/Fictional_First_Memories/6115676,yes,,https://figshare.com/articles/Fictional_First_Memories/6115676,yes,,FIGSHARE,yes,,yes,,I didn't have any problems with this article,
a001106,Michelle,2020-04-21,yes,,yes,,yes,,1,1,https://osf.io/pfjsd/,yes,,https://osf.io/pfjsd/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001107,Michelle,2020-04-21,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/FTFJTV,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FTFJTV,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a001129,Michelle,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/7pw8r/,yes,,https://osf.io/7pw8r/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001152,Michelle,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/sbntf/?view_only1⁄412aeec9cda114f6eb138064f6c45aefe,yes,,https://osf.io/sbntf?view_only=12aeec9cda114f6eb138064f6c45aefe,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001217,Michelle,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/hd42c/,yes,,https://osf.io/hd42c/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001260,Michelle,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/3cmz4/,yes,,https://osf.io/3cmz4/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001289,Michelle,2020-04-22,yes,,yes,,yes,,1,1,https://doi.org/10.7910/DVN/JQEUBQ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JQEUBQ,yes,,HAVARD DATAVERSE,yes,,other,There were 6 files that were not downloaded as access was needed to be granted to download,Majority of files were downloaded but 6 were not,
a001336,Michelle,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/m6p82/,yes,,https://osf.io/m6p82/,yes,,OSF,yes,,other,File size exceeds 100 MB,Did not download the file as file size was too big,
a001395,Michelle,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/2pnu6/,yes,,https://osf.io/2pnu6/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001397,Michelle,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/236zg/,yes,,https://osf.io/236zg/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001411,Michelle,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/bqyhd/,yes,,https://osf.io/bqyhd/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001469,Michelle,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/fhegd/,yes,,https://osf.io/fhegd,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a001493,Michelle,2020-04-22,yes,,yes,,yes,,3,1,http://hrsonline.isr.umich.edu/index.php?p=avail&_ga=2.193912365.1038497410.1542961645-2121603621.1539110961,yes,,http://hrsonline.isr.umich.edu/index.php?p=avail&_ga=2.193912365.1038497410.1542961645-2121603621.1539110961,yes,,HRS,yes,,other,Need to be registered user to access data,Registered user required for data,
,,,,,,,,,,2,https://hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,yes,,https://hrs.isr.umich.edu/documentation?_ga=2.27770172.1038497410.1542961645-2121603621.1539110961,yes,,HRS,other,Redirects to the 'Documentation' page - no specific data seems available pertaining to the article,,,Link doesn't seem to direct to where specific data can be found,
,,,,,,,,,,3,https://osf.io/pn3vt/,yes,,https://osf.io/pn3vt/,yes,,OSF,yes,,yes,,"Link 1 & 2 unsuccessful for data, link 3 works",
a001596,Michelle,2020-04-22,yes,,yes,,yes,,1,1,https://osf.io/tsyrj,yes,,https://osf.io/tsyrj/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000134,Michelle,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/b8zft/,yes,,https://osf.io/b8zft/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000156,Michelle,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/3csng/,yes,,https://osf.io/3csng/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000202,Michelle,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/dv7ab/,yes,,https://osf.io/dv7ab/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000203,Michelle,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/c5kme/,yes,,https://osf.io/c5kme/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000299,Michelle,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/zbu3x/,yes,,https://osf.io/zbu3x/,yes,,OSF,yes,,yes,,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: doi.org/10.1016/j.jesp.2019.04.008",
a000463,Michelle,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/t2wby/,yes,,https://osf.io/t2wby/,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000496,Michelle,2020-04-23,yes,,yes,,yes,,1,1,osf.io/9ua8f,yes,,https://osf.io/9ua8f,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000544,Michelle,2020-04-23,yes,,yes,,yes,,1,1,https://data.mendeley.com/datasets/48jhxswdrv/draft?a=037ef882-2002-45e8-88ad-f8ee8e7bea37,yes,,https://data.mendeley.com/datasets/48jhxswdrv/draft?a=037ef882-2002-45e8-88ad-f8ee8e7bea37,yes,,MENDELEY DATA,yes,,yes,,"There was a supplementary data link (but ignored because there was an open data link), supplementary data link: https://doi.org/10.1016/j.jesp.2019.103887",
a000588,Michelle,2020-04-23,yes,,yes,,yes,,1,1,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HMCRD7,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HMCRD7,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000655,Michelle,2020-04-23,yes,,yes,,yes,,1,1,https://db.humanconnectome.org,yes,,https://db.humanconnectome.org/app/template/Login.vm,yes,,CONNECT TO ME DB,other,Link directs to log in screen - seems as if login is required to access data,,,"Login seems to be required to access data, but there was a supplementary data link: https://doi.org/10.1016/j.cortex.2019.04.015.",
a000670,Michelle,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/9ej2c/,yes,,https://osf.io/9ej2c,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
a000685,Michelle,2020-04-23,yes,,yes,,no,Only contains links for the code and materials required to replicate the analyses in the article. Access to data can be made available upon request via contacting the corresponding author,,,,,,,,,,,,,,Must contact author for access to data,
a000692,Michelle,2020-04-23,yes,,yes,,other,Says data is available via 'online supplements' - there is a link to supplementary data which I will use,1,1,https://doi.org/10.1016/j.jesp.2018.03.018,yes,,https://www.sciencedirect.com/science/article/abs/pii/S0022103117303244?via%3Dihub,other,Makes reference to Mendeley (which is the repository),MENDELEY,yes,,yes,,,
a000702,Michelle,2020-04-23,yes,,yes,,yes,,1,1,http://dx.doi.org/10.7910/DVN/DJ2DPZ,yes,,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DJ2DPZ,yes,,HAVARD DATAVERSE,yes,,yes,,I didn't have any problems with this article,
a000734,Michelle,2020-04-23,yes,,yes,,yes,,1,1,https://osf.io/gjt37/,yes,,https://osf.io/gjt37,yes,,OSF,yes,,yes,,I didn't have any problems with this article,
