"study_id","has_data_badge","has_data_badge_other","data_availability_statement","data_availability_statement_other","article_has_links","article_has_links_other","link_url_cleaned","link_work","link_work_noother","resolved_url_cleaned","files_exist","files_exist_other","download_success","download_success_other"
"a000227","yes",,"yes",,"yes",,"doi.org/10.23684/odi-2017-00959","yes",,"open.canada.ca/data/en/dataset/c1a63ce9-6b76-414b-937e-135fae08cea2","yes",,"yes",
"a000228","yes",,"yes",,"yes",,"osf.io/7wfxj","yes",,"osf.io/7wfxj","yes",,"yes",
"a000228","yes",,"yes",,"yes",,"osf.io/8juyc","yes",,"osf.io/8juyc","yes",,"yes",
"a000229","yes",,"yes",,"yes",,"osf.io/7c9bw","yes",,"osf.io/7c9bw","yes",,"yes",
"a000230","yes",,"yes",,"yes",,"osf.io/gq7z2","yes",,"osf.io/gq7z2","yes",,"yes",
"a000231","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/9SF3TI","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9SF3TI","yes",,"yes",
"a000232","yes",,"yes",,"yes",,"osf.io/bfefu","yes",,"osf.io/bfefu","yes",,"yes",
"a000232","yes",,"yes",,"yes",,"osf.io/rfc6r","yes",,"osf.io/rfc6r","yes",,"yes",
"a000233","yes",,"no",,"no",,,,,,,,,
"a000235","yes",,"yes",,"yes",,"osf.io/8rbvz","yes",,"osf.io/8rbvz","yes",,"yes",
"a000236","yes",,"yes",,"yes",,"osf.io/q9kd3","yes",,"osf.io/q9kd3","yes",,"yes",
"a000238","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/7190MT","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/7190MT","yes",,"yes",
"a000239","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/I4KVD1","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/I4KVD1","yes",,"yes",
"a000240","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/YJUIBI","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/YJUIBI","yes",,"yes",
"a000242","yes",,"yes",,"yes",,"osf.io/adrwv","yes",,"osf.io/adrwv","yes",,"partial","Multiple projects totalling 12GB - downloaded some components to check"
"a000243","yes",,"yes",,"yes",,"datadryad.org//resource/doi:10.5061/dryad.q88sm","yes",,"datadryad.org/stash/dataset/doi:10.5061/dryad.q88sm","yes",,"yes",
"a000244","yes",,"yes",,"yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Z5RSKK","yes",,"yes",
"a000245","yes",,"yes",,"yes",,"osf.io/29ytr/files/?view_only=d544d23261024c1099d7348de61ee990","yes",,"osf.io/29ytr/files/?view_only=d544d23261024c1099d7348de61ee990","yes",,"yes",
"a000247","yes",,"yes",,"yes",,"osf.io/47tnc","yes",,"osf.io/47tnc","yes",,"yes",
"a000247","yes",,"yes",,"yes",,"osf.io/gvm2z","yes",,"osf.io/gvm2z","yes",,"yes",
"a000250","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/TZRNKD","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/TZRNKD","yes",,"yes",
"a000251","yes",,"yes",,"yes",,"osf.io/k5b7a","yes",,"osf.io/k5b7a","yes",,"yes",
"a000253","yes",,"yes",,"yes",,"osf.io/ev3w5","yes",,"osf.io/ev3w5","yes",,"yes",
"a000253","yes",,"yes",,"yes",,"osf.io/ewr45","yes",,"osf.io/ewr45","yes",,"yes",
"a000256","yes",,"yes",,"yes",,"osf.io/39vsg","yes",,"osf.io/39vsg","yes",,"yes",
"a000257","yes",,"yes",,"yes",,"osf.io/f23tn/?view_only=eb1aad8f01004d02934d872717bf9db1","yes",,"osf.io/f23tn/?view_only=eb1aad8f01004d02934d872717bf9db1","yes",,"partial","Large MRI data repo - downloaded scripts & metadata & data for one subject to check"
"a000258","yes",,"yes",,"yes",,"osf.io/9q23j","yes",,"osf.io/9q23j","yes",,"yes",
"a000259","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/SZ9YXZ","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SZ9YXZ","yes",,"yes",
"a000260","yes",,"yes",,"yes",,"fcon_1000.projects.nitrc.org/indi/enhanced/access.html","other","The link is to a page with instructions on how to arrange access to the data, not a link to the data per se","fcon_1000.projects.nitrc.org/indi/enhanced/access.html","other","The full phenotypic release of the data is required, and the site requires a data usage agreement to be approved before allowing access","no",
"a000264","yes",,"yes",,"yes",,"osf.io/kszge","yes",,"osf.io/kszge","yes",,"yes",
"a000266","yes",,"yes",,"yes",,"osf.io/ycren","yes",,"osf.io/ycren","yes",,"yes",
"a000267","yes",,"yes",,"yes",,"doi:10.7910/DVN/W2HZSO","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W2HZSO","yes",,"yes",
"a000269","yes",,"yes",,"yes",,"doi.org/10.24414/j0dx-9n36","yes",,"www.astro.oma.be/doi/Seis_Grav/Gravity_DB.html","yes",,"yes",
"a000270","yes",,"yes",,"yes",,"dx.doi.org/10.5284/1031492","yes",,"archaeologydataservice.ac.uk/archives/view/romurbital_mc_2015","yes",,"yes",
"a000272","yes",,"yes",,"yes",,"osf.io/p6jfq","yes",,"osf.io/p6jfq","yes",,"yes",
"a000272","yes",,"yes",,"yes",,"osf.io/vhme2","yes",,"osf.io/vhme2","yes",,"yes",
"a000273","yes",,"yes",,"yes",,"osf.io/37u8s","yes",,"osf.io/37u8s","yes",,"yes",
"a000273","yes",,"yes",,"yes",,"osf.io/tqmeh","yes",,"osf.io/tqmeh","yes",,"yes",
"a000275","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/Q8CSU8","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Q8CSU8","yes",,"yes",
"a000276","yes",,"yes",,"yes",,"osf.io/x25ea","yes",,"osf.io/x25ea","yes",,"yes",
"a000279","yes",,"yes",,"yes",,"osf.io/kszj7","yes",,"osf.io/kszj7","yes",,"yes",
"a000280","yes",,"yes",,"yes",,"www.icpsr.umich.edu/icpsrweb/ICPSR/series/203","other","the link is to the overall project page, which in turn links to many datasets","www.icpsr.umich.edu/web/ICPSR/studies/4652, https://www.icpsr.umich.edu/web/ICPSR/studies/36346","other","Account required, may need to be from an approved institution","no",
"a000281","yes",,"yes",,"yes",,"osf.io/rf28u","yes",,"osf.io/rf28u","yes",,"yes",
"a000282","yes",,"yes",,"yes",,"osf.io/szvxd","yes",,"osf.io/szvxd","yes",,"yes",
"a000284","yes",,"yes",,"yes",,"doi.org/10.5281/zenodo.2593735","yes",,"zenodo.org/record/2593735","yes",,"yes",
"a000285","yes",,"yes",,"yes",,"osf.io/tnjqs","yes",,"osf.io/tnjqs","yes",,"yes",
"a000287","yes",,"yes",,"yes",,"osf.io/fctr8","yes",,"osf.io/fctr8","yes",,"yes",
"a000288","yes",,"yes",,"yes",,"osf.io/3hu8m","yes",,"osf.io/3hu8m","yes",,"yes",
"a000292","yes",,"yes",,"yes",,"iris-database.org/iris/app/home/detail?id=york:934328","yes",,"www.iris-database.org/iris/app/home/detail?id=york:934328","yes",,"other","Registration form required before data can be downloaded"
"a000293","yes",,"yes",,"yes",,"osf.io/rt6w2","yes",,"osf.io/rt6w2","yes",,"yes",
"a000294","yes",,"yes",,"yes",,"osf.io/fpsu8","yes",,"osf.io/fpsu8","yes",,"yes",
"a000295","yes",,"yes",,"yes",,"iris-database.org","other","link works, but is to the generic homepage. Searching required to find actual data","www.iris-database.org/iris/app/home/detail?id=york:935345","other","Registration form required before data can be downloaded","yes",
"a000295","yes",,"yes",,"yes",,"osf.io/57zkv","yes",,"osf.io/57zkv","yes",,"yes",
"a000296","yes",,"yes",,"yes",,"doi.org/10.6084/m9.figshare.7271480.v1","yes",,"figshare.com/articles/The_Co-occurrence_of_Pitch_and_Rhythm_Disorders_in_Congenital_Amusia/7271480/1","yes",,"yes",
"a000297","yes",,"yes",,"yes",,"osf.io/gzyth","yes",,"osf.io/gzyth","yes",,"yes",
"a000298","yes",,"yes",,"yes",,"osf.io/8zeqp","yes",,"osf.io/8zeqp","yes",,"yes",
"a000299","yes",,"other","Appendix A is explicitly called ""Supplemental data"" but is just a document, not data. Actual shared data is buried in body of article text.","yes",,"osf.io/zbu3x","yes",,"osf.io/zbu3x","yes",,"yes",
"a000300","yes",,"yes",,"yes",,"osf.io/4rs5x","yes",,"osf.io/4rs5x","yes",,"yes",
"a000300","yes",,"yes",,"yes",,"osf.io/9tm36","yes",,"osf.io/9tm36","no",,,
"a000301","yes",,"yes",,"yes",,"osf.io/6n894","yes",,"osf.io/6n894","yes",,"yes",
"a000302","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/9AWUYJ","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9AWUYJ","yes",,"yes",
"a000303","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/WZV20D","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WZV20D","yes",,"yes",
"a000305","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/LVHIYG","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LVHIYG","yes",,"yes",
"a000306","yes",,"yes",,"yes",,"osf.io/k8t4b","yes",,"osf.io/k8t4b","yes",,"yes",
"a000309","yes",,"yes",,"yes",,"doi.org/10.14264/uql.2019.12","yes",,"espace.library.uq.edu.au/view/UQ:21a02ec","yes",,"partial","Large MRI data repo - downloaded scripts & metadata & one MRI data component to check"
"a000311","yes",,"yes",,"yes",,"osf.io/du5jc","yes",,"osf.io/du5jc","yes",,"yes",
"a000313","yes",,"yes",,"yes",,"osf.io/rhju9","yes",,"osf.io/rhju9","yes",,"yes",
"a000314","yes",,"yes",,"yes",,"osf.io/xvmr7","yes",,"osf.io/xvmr7","yes",,"yes",
"a000315","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/JTV6W6","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JTV6W6","yes",,"yes",
"a000316","yes",,"yes",,"yes",,"osf.io/nft78","yes",,"osf.io/nft78","yes",,"yes",
"a000317","yes",,"yes",,"yes",,"osf.io/fsadm","yes",,"osf.io/fsadm","yes",,"yes",
"a000318","yes",,"yes",,"yes",,"github.com/langcog/KTE","yes",,"github.com/langcog/KTE","yes",,"yes",
"a000319","yes",,"yes",,"yes",,"doi.org/10.17605/OSF.IO/P49YA","yes",,"osf.io/p49ya","yes",,"yes",
"a000320","yes",,"yes",,"yes",,"osf.io/pr3hf","yes",,"osf.io/pr3hf","yes",,"yes",
"a000321","yes",,"yes",,"yes",,"osf.io/qtsx2","yes",,"osf.io/qtsx2","yes",,"yes",
"a000322","yes",,"yes",,"yes",,"osf.io/au4x3","yes",,"osf.io/au4x3","yes",,"yes",
"a000323","yes",,"yes",,"yes",,"osf.io/we7aj","yes",,"osf.io/we7aj","yes",,"yes",
"a000324","yes",,"yes",,"yes",,"osf.io/bmaf2","yes",,"osf.io/bmaf2","yes",,"yes",
"a000325","yes",,"yes",,"yes",,"osf.io/kzmr5","yes",,"osf.io/kzmr5","yes",,"yes",
"a000325","yes",,"yes",,"yes",,"osf.io/rt6un","yes",,"osf.io/rt6un","yes",,"yes",
"a000327","yes",,"yes",,"yes",,"osf.io/5whvu","yes",,"osf.io/5whvu","yes",,"yes",
"a000328","yes",,"yes",,"yes",,"osf.io/usfa5/?view_only=1f2e1994fc6247548499f47de64a2650","yes",,"osf.io/usfa5/?view_only=1f2e1994fc6247548499f47de64a2650","yes",,"yes",
"a000329","yes",,"yes",,"yes",,"osf.io/gw9jh","yes",,"osf.io/gw9jh","yes",,"yes",
"a000330","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/WD3IUA","other","The link in the PDF is for a different study - correct link can be found on JBPA dataverse page","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XSRNRB","yes",,"yes",
"a000331","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/ZFLG25","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZFLG25","yes",,"yes",
"a000332","yes",,"yes",,"yes",,"osf.io/5xmb2","yes",,"osf.io/5xmb2","yes",,"yes",
"a000333","yes",,"yes",,"yes",,"osf.io/x3prf","yes",,"osf.io/x3prf","yes",,"yes",
"a000334","yes",,"yes",,"yes",,"dx.doi.org/10.7910","other","The url (DOI) as printed is incomplete - but other clues indicated there was likely a repo on Harvard Dataverse, and a search of that site for the title found the repo","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KUWA5X","yes",,"yes",
"a000335","yes",,"yes",,"yes",,"osf.io/6fgnq","yes",,"osf.io/6fgnq","yes",,"yes",
"a000336","yes",,"yes",,"yes",,"osf.io/nydsz","yes",,"osf.io/nydsz","yes",,"yes",
"a000337","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/RW10GZ","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RW10GZ","yes",,"yes",
"a000338","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/KPJUFL","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KPJUFL","yes",,"yes",
"a000339","yes",,"yes",,"yes",,"osf.io/b7qpu","yes",,"osf.io/b7qpu","yes",,"yes",
"a000340","yes",,"yes",,"yes",,"osf.io/7a9tt","yes",,"osf.io/7a9tt","yes",,"yes",
"a000341","yes",,"yes",,"yes",,"osf.io/d6hms","yes",,"osf.io/d6hms","yes",,"yes",
"a000342","yes",,"yes",,"yes",,"osf.io/xyh24","yes",,"osf.io/xyh24","yes",,"yes",
"a000343","yes",,"yes",,"yes",,"osf.io/8z2an","yes",,"osf.io/8z2an","yes",,"yes",
"a000344","yes",,"yes",,"yes",,"osf.io/8dv5z","yes",,"osf.io/8dv5z","yes",,"yes",
"a000345","yes",,"yes",,"yes",,"osf.io/rf3ys","yes",,"osf.io/rf3ys","yes",,"yes",
"a000347","yes",,"yes",,"yes",,"osf.io/ha28n","yes",,"osf.io/ha28n","yes",,"yes",
"a000348","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/ZRZGTT","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZRZGTT","yes",,"yes",
"a000350","yes",,"yes",,"yes",,"osf.io/5gtyv","yes",,"osf.io/5gtyv","yes",,"yes",
"a000352","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/RLLL1V","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RLLL1V","yes",,"yes",
"a000353","yes",,"yes",,"yes",,"osf.io/bdvxs","yes",,"osf.io/bdvxs","yes",,"yes",
"a000354","yes",,"yes",,"yes",,"osf.io/i5knh","yes",,"osf.io/i5knh","yes",,"yes",
"a000355","yes",,"yes",,"yes",,"osf.io/7d5b5","other","Embedded link had a problem so clicking directly resulted in an error but url as written in text was OK","osf.io/7d5b5","yes",,"yes",
"a000356","yes",,"yes",,"yes",,"doi.org/10.5283/epub.38033","yes",,"epub.uni-regensburg.de/38033","yes",,"yes",
"a000357","yes",,"yes",,"yes",,"osf.io/2jme8","yes",,"osf.io/2jme8","yes",,"yes",
"a000358","yes",,"yes",,"yes",,"osf.io/dpsyz/?view_only=a256f1d6e5fb4d97adac2147f58811ae","yes",,"osf.io/dpsyz/?view_only=a256f1d6e5fb4d97adac2147f58811ae","yes",,"yes",
"a000359","yes",,"yes",,"yes",,"doi.org/10.5284/1011888","yes",,"archaeologydataservice.ac.uk/archives/view/t5_framework_2011","yes",,"partial","Repository contained hundreds of files organised into seven sections (folder). Downloaded at least one file from each section to check"
"a000361","yes",,"yes",,"yes",,"osf.io/ft462","yes",,"osf.io/ft462","yes",,"yes",
"a000362","yes",,"yes",,"yes",,"osf.io/rh9x6/?view_only=65ae8ed424e84dfda8594efa5b3aa714","yes",,"osf.io/rh9x6/?view_only=65ae8ed424e84dfda8594efa5b3aa714","yes",,"yes",
"a000363","yes",,"yes",,"yes",,"osf.io/6akvt/files","yes",,"osf.io/6akvt/files","yes",,"yes",
"a000364","yes",,"yes",,"yes",,"osf.io/pa8jw","yes",,"osf.io/pa8jw","yes",,"yes",
"a000365","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/IXWZZO","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IXWZZO","yes",,"yes",
"a000366","yes",,"yes",,"yes",,"osf.io/9x6wm","yes",,"osf.io/9x6wm","yes",,"yes",
"a000367","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/YM4LDG","other","Link provided does not work but searching on Harvard Dataverse located the data repository","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BRRZSK","yes",,"yes",
"a000368","yes",,"yes",,"yes",,"osf.io/akp9n","yes",,"osf.io/akp9n","yes",,"yes",
"a000369","yes",,"yes",,"yes",,"osf.io/5fbac","yes",,"osf.io/5fbac","yes",,"yes",
"a000371","yes",,"yes",,"no",,,,,,,,,
"a000372","yes",,"yes",,"yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KSHOE","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KSHOE","yes",,"yes",
"a000373","yes",,"yes",,"yes",,"osf.io/4q3dc","yes",,"osf.io/4q3dc","yes",,"yes",
"a000376","yes",,"yes",,"yes",,"osf.io/r96hg","yes",,"osf.io/r96hg","yes",,"yes",
"a000377","yes",,"yes",,"yes",,"osf.io/da56v","yes",,"osf.io/da56v","yes",,"yes",
"a000377","yes",,"yes",,"yes",,"osf.io/fwt65","yes",,"osf.io/fwt65","yes",,"yes",
"a000378","yes",,"yes",,"yes",,"osf.io/b9mnr","yes",,"osf.io/b9mnr","yes",,"yes",
"a000379","yes",,"yes",,"yes",,"osf.io/d7w8a","yes",,"osf.io/d7w8a","yes",,"yes",
"a000380","yes",,"yes",,"yes",,"osf.io/w2434","yes",,"osf.io/w2434","yes",,"yes",
"a000381","yes",,"yes",,"yes",,"osf.io/9dm3u","yes",,"osf.io/9dm3u","yes",,"yes",
"a000381","yes",,"yes",,"yes",,"osf.io/dkrmw","yes",,"osf.io/dkrmw","yes",,"yes",
"a000382","yes",,"yes",,"yes",,"osf.io/t3csz","yes",,"osf.io/t3csz","yes",,"yes",
"a000383","yes",,"yes",,"yes",,"osf.io/uh3in","yes",,"osf.io/uh3in","yes",,"yes",
"a000386","yes",,"yes",,"yes",,"osf.io/r483u","yes",,"osf.io/r483u","yes",,"yes",
"a000387","yes",,"yes",,"yes",,"osf.io/wgfnm","yes",,"osf.io/wgfnm","yes",,"yes",
"a000388","yes",,"yes",,"yes",,"doi.org/10.6084/m9.figshare.4743547.v1","yes",,"figshare.com/articles/Stats_-_In_an_Absolute_State_xlsx/4743547/1","yes",,"yes",
"a000389","yes",,"yes",,"yes",,"osf.io/f78gs","yes",,"osf.io/f78gs","yes",,"yes",
"a000389","yes",,"yes",,"yes",,"osf.io/kq897","yes",,"osf.io/kq897","yes",,"yes",
"a000389","yes",,"yes",,"yes",,"www.psych.nyu.edu/westlab/lab-resources.html","yes",,"www.psych.nyu.edu/westlab/lab-resources.html","yes",,"yes",
"a000390","yes",,"yes",,"yes",,"DOI 10.7910/DVN/SURSEO","other","DOI provided without link, but searching via DOI resolves the url","dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SURSEO","yes",,"yes",
"a000391","yes",,"yes",,"other","Article contains both links and provides accession numbers to data resources without hyperlinks","European Bioinformations Institute Accession No. PRJEB11414","other","Needed to navigate to European Bioinformatics Institute website and search by accession number","www.ebi.ac.uk/ena/browser/view/PRJEB11414","yes",,"partial","Files exceed 100MB - single file plus metadata downloaded"
"a000391","yes",,"yes",,"other","Article contains both links and provides accession numbers to data resources without hyperlinks","European Bioinformations Institute Accession No. PRJEB30873","other","Needed to navigate to European Bioinformatics Institute website and search by accession number","www.ebi.ac.uk/ena/browser/view/PRJEB30873","yes",,"yes",
"a000391","yes",,"yes",,"other","Article contains both links and provides accession numbers to data resources without hyperlinks","github.com/knights-lab/douc_gut_sites","yes",,"github.com/knights-lab/douc_gut_sites","yes",,"yes",
"a000391","yes",,"yes",,"other","Article contains both links and provides accession numbers to data resources without hyperlinks","iris-database.org/iris/app/home/detail?id=york:934328","yes",,"www.iris-database.org/iris/app/home/detail?id=york:934328","other","Registration form required before data can be downloaded","yes",
"a000392","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/RJAUNW","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RJAUNW","yes",,"yes",
"a000393","yes",,"yes",,"yes",,"osf.io/9ge7n","yes",,"osf.io/9ge7n","yes",,"yes",
"a000394","yes",,"yes",,"yes",,"osf.io/sr9f4","yes",,"osf.io/sr9f4","yes",,"yes",
"a000395","yes",,"yes",,"yes",,"doi.org/10.17863/CAM.31530","yes",,"www.repository.cam.ac.uk/handle/1810/284168","yes",,"yes",
"a000398","yes",,"yes",,"yes",,"doi.org/10.1594/PANGAEA.885879","yes",,"doi.pangaea.de/10.1594/PANGAEA.885879","yes",,"yes",
"a000399","yes",,"yes",,"yes",,"dx.doi.org/10.5061/dryad.5t0b8","yes",,"datadryad.org/stash/dataset/doi:10.5061/dryad.5t0b8","yes",,"yes",
"a000400","yes",,"yes",,"other","Article mentions that data is available as supporting materials","doi.org/10.1002/jnr.24441","yes",,"onlinelibrary.wiley.com/doi/full/10.1002/jnr.24441","other","Some files exist, but in the body of the text, it is noted that raw data is available upon request","yes",
"a000401","yes",,"yes",,"yes",,"osf.io/c5ju9","yes",,"osf.io/c5ju9","yes",,"yes",
"a000402","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/I0VEMG","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/I0VEMG","yes",,"yes",
"a000403","yes",,"yes",,"yes",,"osf.io/92xqk","yes",,"osf.io/92xqk","yes",,"yes",
"a000404","yes",,"yes",,"yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910%2FDVN%2FVWZZLO&version=DRAFT","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910%2FDVN%2FVWZZLO&version=DRAFT","yes",,"yes",
"a000406","yes",,"yes",,"yes",,"osf.io/b9tse","yes",,"osf.io/b9tse","yes",,"yes",
"a000407","yes",,"yes",,"yes",,"hdl.handle.net/10871/24754","yes",,"ore.exeter.ac.uk/repository/handle/10871/24754","yes",,"yes",
"a000408","yes",,"no",,"yes",,"osf.io/nrf72","yes",,"osf.io/nrf72","yes",,"yes",
"a000409","yes",,"yes",,"yes",,"doi.org/10.6084/m9.figshare.4742935.v2","yes",,"figshare.com/articles/Materials_for_Pupillary_Responses_to_Words_That_Convey_a_Sense_of_Brightness_or_Darkness/4742935/2","yes",,"yes",
"a000410","yes",,"yes",,"yes",,"osf.io/xf7rn","yes",,"osf.io/xf7rn","yes",,"yes",
"a000411","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/8R3LTP","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8R3LTP","yes",,"yes",
"a000412","yes",,"yes",,"yes",,"osf.io/fzmsa","yes",,"osf.io/fzmsa","yes",,"yes",
"a000413","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/LD6NL8","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LD6NL8","yes",,"yes",
"a000414","yes",,"yes",,"yes",,"osf.io/eujyn","yes",,"osf.io/eujyn","yes",,"yes",
"a000416","yes",,"yes",,"yes",,"osf.io/g3sca/wiki/home","yes",,"osf.io/g3sca/wiki/home","yes",,"yes",
"a000417","yes",,"yes",,"yes",,"doi.org/10.1016/j.jrp.2018.02.003","yes",,"www.sciencedirect.com/science/article/pii/S0092656618300151","no",,,
"a000418","yes",,"yes",,"yes",,"dx.doi.org/10.5284/1019856","yes",,"archaeologydataservice.ac.uk/archives/view/scarr_eh_2013","yes",,"yes",
"a000419","yes",,"yes",,"yes",,"dx.doi.org/10.5281/zenodo.18545","yes",,"zenodo.org/record/18545","yes",,"yes",
"a000420","yes",,"yes",,"yes",,"catalogue.ceda.ac.uk/uuid/1d29816cee7e4fb586b80a3f7debcb8e","yes",,"catalogue.ceda.ac.uk/uuid/1d29816cee7e4fb586b80a3f7debcb8e","yes",,"yes",
"a000421","yes",,"yes",,"yes",,"osf.io/b8c7z","yes",,"osf.io/b8c7z","yes",,"partial","Large EEG data repo - did not download all raw/processed EEG data files for each participant, just for one participant"
"a000422","yes",,"yes",,"yes",,"osf.io/sgwv6","yes",,"osf.io/sgwv6","yes",,"yes",
"a000423","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/D5DEHM","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/D5DEHM","yes",,"yes",
"a000425","yes",,"yes",,"yes",,"www.dx.doi.org/10.7910/DVN/DIDBMQ","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DIDBMQ","yes",,"yes",
"a000426","yes",,"yes",,"yes",,"catalogue.ceda.ac.uk/uuid/4dc8450d889a491ebb20e724debe2dfb","yes",,"catalogue.ceda.ac.uk/uuid/4dc8450d889a491ebb20e724debe2dfb","yes",,"other","Account required to access data"
"a000427","yes",,"yes",,"yes",,"osf.io/wcrd2","yes",,"osf.io/wcrd2","yes",,"yes",
"a000429","yes",,"yes",,"yes",,"osf.io/4d3b9","yes",,"osf.io/4d3b9","yes",,"yes",
"a000429","yes",,"yes",,"yes",,"reshare.ukdataservice.ac.uk/852716","yes",,"reshare.ukdataservice.ac.uk/852716","yes",,"no",
"a000430","yes",,"yes",,"yes",,"osf.io/nmabe","yes",,"osf.io/nmabe","yes",,"yes",
"a000433","yes",,"yes",,"yes",,"osf.io/pnvjf","yes",,"osf.io/pnvjf","yes",,"yes",
"a000437","yes",,"yes",,"yes",,"osf.io/5tejq","yes",,"osf.io/5tejq","yes",,"yes",
"a000438","yes",,"yes",,"yes",,"osf.io/snfjx","yes",,"osf.io/snfjx","yes",,"yes",
"a000439","yes",,"yes",,"yes",,"dx.doi.org/10.7910/DVN/HDMGLY","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HDMGLY","yes",,"yes",
"a000440","yes",,"no",,"yes",,"dx.doi.org/10.17605/OSF.IO/ZFPMD","yes",,"osf.io/zfpmd","yes",,"yes",
"a000441","yes",,"yes",,"yes",,"doi.org/10.7910/DVN/HUZGPJ","yes",,"dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HUZGPJ","yes",,"yes",
"a000442","yes",,"yes",,"yes",,"osf.io/hkzsm","yes",,"osf.io/hkzsm","yes",,"yes",
"a000443","yes",,"yes",,"yes",,"dx.doi.org/10.7289/V5QJ7F8R","yes",,"data.nodc.noaa.gov/cgi-bin/iso?id=gov.noaa.nodc:COAPS-SAMOS","yes",,"partial","Ongoing project, hundreds of files across dozens of folders. A sample downloaded to check only"
"a000444","yes",,"yes",,"yes",,"data.mendeley.com/datasets/f2wvbpsmyv/draft?a=e8c3968c-8b4a-47b5-a7d1-5aa120f1bc76","yes",,"data.mendeley.com/datasets/f2wvbpsmyv/1","yes",,"yes",
