study_id,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other
a000846,yes,NA,yes,NA,yes,NA
a000848,yes,NA,no,NA,yes,NA
a000849,yes,NA,yes,NA,yes,NA
a000850,yes,NA,yes,NA,yes,NA
a000851,yes,NA,yes,NA,yes,NA
a000853,yes,NA,yes,NA,yes,NA
a000856,yes,NA,yes,NA,yes,NA
a000857,yes,NA,yes,NA,yes,NA
a000858,yes,NA,yes,NA,yes,NA
a000860,yes,NA,yes,NA,yes,NA
a000861,yes,NA,yes,NA,yes,NA
a000862,yes,NA,yes,NA,yes,NA
a000863,yes,NA,yes,NA,yes,NA
a000864,yes,NA,yes,NA,yes,NA
a000865,yes,NA,yes,NA,yes,NA
a000867,yes,NA,yes,NA,yes,NA
a000872,yes,NA,yes,NA,yes,NA
a000873,yes,NA,yes,NA,yes,NA
a000875,yes,NA,yes,NA,yes,NA
a000876,yes,NA,yes,NA,yes,NA
a000878,yes,NA,yes,NA,yes,NA
a000879,yes,NA,yes,NA,yes,NA
a000880,yes,NA,yes,NA,yes,NA
a000882,yes,NA,yes,NA,yes,NA
a000883,yes,NA,yes,NA,yes,NA
a000885,yes,NA,yes,NA,yes,NA
a000886,yes,NA,yes,NA,yes,NA
a000887,yes,NA,yes,NA,yes,NA
a000891,yes,NA,yes,NA,yes,NA
a000892,yes,NA,yes,NA,yes,NA
a000893,yes,NA,yes,NA,yes,NA
a000897,yes,NA,yes,NA,yes,NA
a000898,yes,NA,yes,NA,yes,NA
a000899,yes,NA,yes,NA,yes,NA
a000900,yes,NA,yes,NA,yes,NA
a000901,yes,NA,yes,NA,yes,NA
a000902,yes,NA,yes,NA,yes,NA
a000904,yes,NA,yes,NA,yes,NA
a000905,yes,NA,yes,NA,yes,NA
a000906,yes,NA,yes,NA,yes,NA
a000909,yes,NA,yes,NA,yes,NA
a000910,yes,NA,yes,NA,yes,NA
a000911,yes,NA,yes,NA,yes,NA
a000912,yes,NA,yes,NA,yes,NA
a000914,yes,NA,yes,NA,yes,NA
a000915,yes,NA,yes,NA,yes,NA
a000916,yes,NA,yes,NA,yes,NA
a000918,yes,NA,yes,NA,yes,NA
a000919,yes,NA,yes,NA,yes,NA
a000920,yes,NA,yes,NA,yes,NA
a000923,yes,NA,yes,NA,yes,NA
a000924,yes,NA,yes,NA,yes,NA
a000925,yes,NA,yes,NA,yes,NA
a000926,yes,NA,yes,NA,yes,NA
a000929,yes,NA,yes,NA,yes,NA
a000930,yes,NA,yes,NA,yes,NA
a000931,yes,NA,yes,NA,yes,NA
a000932,yes,NA,yes,NA,yes,NA
a000933,yes,NA,yes,NA,yes,NA
a000934,yes,NA,yes,NA,yes,NA
a000935,yes,NA,yes,NA,yes,NA
a000936,yes,NA,yes,NA,yes,NA
a000937,yes,NA,yes,NA,yes,NA
a000938,yes,NA,yes,NA,yes,NA
a000939,yes,NA,yes,NA,yes,NA
a000940,yes,NA,yes,NA,yes,NA
a000941,yes,NA,yes,NA,yes,NA
a000942,yes,NA,yes,NA,yes,NA
a000943,yes,NA,yes,NA,yes,NA
a000944,yes,NA,yes,NA,yes,NA
a000945,yes,NA,yes,NA,yes,NA
a000946,yes,NA,yes,NA,yes,NA
a000947,yes,NA,yes,NA,yes,NA
a000948,yes,NA,yes,NA,yes,NA
a000949,yes,NA,yes,NA,yes,NA
a000950,yes,NA,yes,NA,yes,NA
a000951,yes,NA,yes,NA,yes,NA
a000952,yes,NA,no,NA,yes,NA
a000954,yes,NA,yes,NA,yes,NA
a000955,yes,NA,yes,NA,yes,NA
a000957,yes,NA,yes,NA,yes,NA
a000958,yes,NA,yes,NA,yes,NA
a000959,yes,NA,yes,NA,yes,NA
a000960,yes,NA,yes,NA,yes,NA
a000961,yes,NA,other,"The link to data is part of the ""Acknowledgments"" section, at the very end - but the link is directly above where the badges have been placed, so the link is adjacent to the badges without being an explicit, separate data availability statement.",yes,NA
a000962,yes,NA,yes,NA,yes,NA
a000963,yes,NA,yes,NA,yes,NA
a000964,yes,NA,yes,NA,yes,NA
a000965,yes,NA,yes,NA,yes,NA
a000966,yes,NA,yes,NA,yes,NA
a000967,yes,NA,yes,NA,yes,NA
a000968,yes,NA,yes,NA,yes,NA
a000969,yes,NA,yes,NA,yes,NA
a000970,yes,NA,yes,NA,yes,NA
a000971,yes,NA,yes,NA,yes,NA
a000973,yes,NA,yes,NA,yes,NA
a000974,yes,NA,yes,NA,yes,NA
a000976,yes,NA,yes,NA,yes,NA
a000977,yes,NA,yes,NA,yes,NA
a000979,yes,NA,yes,NA,yes,NA
a000980,yes,NA,no,NA,no,NA
a000981,yes,NA,yes,NA,yes,NA
a000982,yes,NA,yes,NA,yes,NA
a000983,yes,NA,no,NA,yes,NA
a000984,yes,NA,yes,NA,yes,NA
a000986,yes,NA,yes,NA,yes,NA
a000988,yes,NA,yes,NA,yes,NA
a000989,yes,NA,yes,NA,yes,NA
a000990,yes,NA,yes,NA,yes,NA
a000991,yes,NA,yes,NA,yes,NA
a000992,yes,NA,yes,NA,yes,NA
a000993,yes,NA,yes,NA,yes,NA
a000996,yes,NA,no,NA,yes,NA
a000997,yes,NA,yes,NA,yes,NA
a000998,yes,NA,yes,NA,yes,NA
a001000,yes,NA,yes,NA,yes,NA
a001001,yes,NA,yes,NA,yes,NA
a001003,yes,NA,yes,NA,yes,NA
a001004,yes,NA,yes,NA,yes,NA
a001005,yes,NA,yes,NA,yes,NA
a001006,yes,NA,yes,NA,yes,NA
a001007,yes,NA,yes,NA,yes,NA
a001008,yes,NA,yes,NA,yes,NA
a001009,yes,NA,yes,NA,yes,NA
a001010,yes,NA,yes,NA,yes,NA
a001011,yes,NA,yes,NA,yes,NA
a001013,yes,NA,yes,NA,yes,NA
a001014,yes,NA,yes,NA,yes,NA
a001015,yes,NA,yes,NA,yes,NA
a001016,yes,NA,no,NA,other,Links are on journal web page for article not in PDF
a001017,yes,NA,yes,NA,yes,NA
a001018,yes,NA,yes,NA,yes,NA
a001020,yes,NA,yes,NA,yes,NA
a001023,yes,NA,yes,NA,yes,NA
a001024,yes,NA,yes,NA,yes,NA
a001025,yes,NA,yes,NA,yes,NA
a001026,yes,NA,yes,NA,yes,NA
a001027,yes,NA,yes,NA,yes,NA
a001028,yes,NA,yes,NA,yes,NA
a001029,yes,NA,yes,NA,yes,NA
a001030,yes,NA,yes,NA,yes,NA
a001031,yes,NA,yes,NA,yes,NA
a001033,yes,NA,yes,NA,yes,NA
a001034,yes,NA,yes,NA,yes,NA
a001035,yes,NA,yes,NA,yes,NA
a001036,yes,NA,yes,NA,yes,NA
a001037,yes,NA,yes,NA,yes,NA
a001039,yes,NA,yes,NA,yes,NA
a001040,yes,NA,yes,NA,yes,NA
a001041,yes,NA,yes,NA,yes,NA
a001043,yes,NA,yes,NA,yes,NA
a001044,yes,NA,yes,NA,yes,NA
a001045,yes,NA,yes,NA,yes,NA
a001047,yes,NA,yes,NA,yes,NA
a001048,yes,NA,yes,NA,yes,NA
a001049,yes,NA,yes,NA,yes,NA
a001050,yes,NA,yes,NA,yes,NA
a001051,yes,NA,no,NA,no,NA
a001052,yes,NA,yes,NA,yes,NA
a001053,yes,NA,yes,NA,yes,NA
a001055,yes,NA,yes,NA,yes,NA
a001056,yes,NA,yes,NA,yes,NA
a001057,yes,NA,yes,NA,yes,NA
a001058,yes,NA,yes,NA,yes,NA
a001059,yes,NA,yes,NA,yes,NA
a001060,yes,NA,yes,NA,yes,NA
a001062,yes,NA,yes,NA,yes,NA
a001063,yes,NA,yes,NA,yes,NA
a001066,yes,NA,yes,NA,yes,NA
a001067,yes,NA,other,"Each study has a section within the body of the text called ""Open Science"" which includes the links, but they are easy to miss - no special statement at start or end",yes,NA
a001068,yes,NA,yes,NA,yes,NA
a001069,yes,NA,yes,NA,yes,NA
a001070,yes,NA,yes,NA,yes,NA
a001071,yes,NA,yes,NA,yes,NA
a001072,yes,NA,yes,NA,yes,NA
a001073,yes,NA,yes,NA,yes,NA
a001076,yes,NA,yes,NA,yes,NA
a001081,yes,NA,yes,NA,yes,NA
a001082,yes,NA,yes,NA,yes,NA
a001083,yes,NA,yes,NA,yes,NA
a001084,yes,NA,yes,NA,yes,NA
a001085,yes,NA,yes,NA,yes,NA
a001086,yes,NA,yes,NA,yes,NA
a001087,yes,NA,yes,NA,yes,NA
a001088,yes,NA,yes,NA,yes,NA
a001091,yes,NA,yes,NA,yes,NA
a001092,yes,NA,yes,NA,yes,NA
a001093,yes,NA,no,NA,yes,NA
a001094,yes,NA,yes,NA,yes,NA
a001100,yes,NA,yes,NA,yes,NA
a001102,yes,NA,yes,NA,yes,NA
a001103,yes,NA,yes,NA,yes,NA
a001104,yes,NA,yes,NA,yes,NA
a001106,yes,NA,yes,NA,yes,NA
a001107,yes,NA,yes,NA,yes,NA
a001109,yes,NA,yes,NA,yes,NA
a001110,yes,NA,yes,NA,yes,NA
a001111,yes,NA,yes,NA,yes,NA
a001112,yes,NA,yes,NA,yes,NA
a001113,yes,NA,yes,NA,yes,NA
a001114,yes,NA,yes,NA,yes,NA
a001115,yes,NA,yes,NA,yes,NA
a001116,yes,NA,yes,NA,yes,NA
a001118,yes,NA,yes,NA,yes,NA
a001119,yes,NA,yes,NA,yes,NA
a001121,yes,NA,yes,NA,yes,NA
a001122,yes,NA,yes,NA,yes,NA
a001124,yes,NA,yes,NA,yes,NA
a001125,yes,NA,yes,NA,other,Links are on journal web page for article not in PDF
a001127,yes,NA,yes,NA,yes,NA
a001129,yes,NA,yes,NA,yes,NA
a001131,yes,NA,yes,NA,yes,NA
a001132,yes,NA,yes,NA,yes,NA
a001134,yes,NA,yes,NA,yes,NA
a001135,yes,NA,yes,NA,yes,NA
a001138,yes,NA,yes,NA,yes,NA
a001139,yes,NA,yes,NA,yes,NA
a001140,yes,NA,yes,NA,yes,NA
a001142,yes,NA,yes,NA,yes,NA
a001144,yes,NA,yes,NA,yes,NA
a001146,yes,NA,yes,NA,yes,NA
a001147,yes,NA,yes,NA,yes,NA
a001148,yes,NA,yes,NA,yes,NA
a001149,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks
a001150,yes,NA,yes,NA,yes,NA
a001151,yes,NA,yes,NA,yes,NA
a001152,yes,NA,yes,NA,yes,NA
a001154,yes,NA,yes,NA,no,NA
a001155,yes,NA,yes,NA,yes,NA
a001157,yes,NA,yes,NA,yes,NA
a001158,yes,NA,yes,NA,yes,NA
a001160,yes,NA,yes,NA,yes,NA
a001161,yes,NA,yes,NA,yes,NA
a001163,yes,NA,yes,NA,yes,NA
a001166,yes,NA,yes,NA,yes,NA
a001168,yes,NA,yes,NA,yes,NA
a001170,yes,NA,yes,NA,yes,NA
a001171,yes,NA,yes,NA,yes,NA
a001173,yes,NA,yes,NA,yes,NA
a001176,yes,NA,yes,NA,yes,NA
a001178,yes,NA,yes,NA,yes,NA
a001179,yes,NA,yes,NA,yes,NA
a001180,yes,NA,yes,NA,yes,NA
a001181,yes,NA,yes,NA,yes,NA
a001183,yes,NA,yes,NA,yes,NA
a001184,yes,NA,yes,NA,yes,NA
a001185,yes,NA,yes,NA,yes,NA
a001186,yes,NA,yes,NA,yes,NA
a001187,yes,NA,yes,NA,yes,NA
a001188,yes,NA,yes,NA,yes,NA
a001190,yes,NA,yes,NA,yes,NA
a001191,yes,NA,yes,NA,yes,NA
a001194,yes,NA,yes,NA,yes,NA
a001195,yes,NA,yes,NA,yes,NA
a001196,yes,NA,yes,NA,yes,NA
a001197,yes,NA,yes,NA,yes,NA
a001198,yes,NA,yes,NA,yes,NA
a001200,yes,NA,yes,NA,yes,NA
a001201,yes,NA,yes,NA,yes,NA
a001202,yes,NA,yes,NA,yes,NA
a001206,yes,NA,yes,NA,yes,NA
a001211,yes,NA,yes,NA,yes,NA
a001214,yes,NA,yes,NA,yes,NA
a001215,yes,NA,yes,NA,yes,NA
a001216,yes,NA,yes,NA,yes,NA
a001217,yes,NA,yes,NA,yes,NA
a001219,yes,NA,yes,NA,yes,NA
a001220,yes,NA,yes,NA,yes,NA
a001221,yes,NA,yes,NA,yes,NA
a001223,yes,NA,yes,NA,yes,NA
a001224,yes,NA,yes,NA,yes,NA
a001225,yes,NA,yes,NA,yes,NA
a001226,yes,NA,yes,NA,yes,NA
a001227,yes,NA,yes,NA,yes,NA
a001228,yes,NA,yes,NA,yes,NA
a001229,yes,NA,yes,NA,yes,NA
a001231,yes,NA,yes,NA,yes,NA
a001232,yes,NA,yes,NA,yes,NA
a001233,yes,NA,yes,NA,yes,NA
a001234,yes,NA,yes,NA,yes,NA
a001235,yes,NA,yes,NA,yes,NA
a001238,yes,NA,yes,NA,yes,NA
a001239,yes,NA,yes,NA,yes,NA
a001240,yes,NA,yes,NA,yes,NA
a001243,yes,NA,yes,NA,yes,NA
a001244,yes,NA,yes,NA,yes,NA
a001245,yes,NA,yes,NA,yes,NA
a001246,yes,NA,yes,NA,yes,NA
a001247,yes,NA,yes,NA,yes,NA
a001248,yes,NA,yes,NA,yes,NA
a001249,yes,NA,yes,NA,yes,NA
a001250,yes,NA,yes,NA,yes,NA
a001252,yes,NA,yes,NA,yes,NA
a001253,yes,NA,yes,NA,yes,NA
a001257,yes,NA,yes,NA,yes,NA
a001258,yes,NA,yes,NA,yes,NA
a001259,yes,NA,yes,NA,yes,NA
a001260,yes,NA,yes,NA,yes,NA
a001261,yes,NA,yes,NA,yes,NA
a001263,yes,NA,yes,NA,yes,NA
a001264,yes,NA,yes,NA,yes,NA
a001265,yes,NA,no,NA,other,Online article has direct links to files
a001266,yes,NA,yes,NA,yes,NA
a001268,yes,NA,no,NA,yes,NA
a001270,yes,NA,yes,NA,yes,NA
a001273,yes,NA,yes,NA,yes,NA
a001274,yes,NA,yes,NA,yes,NA
a001275,yes,NA,yes,NA,yes,NA
a001277,yes,NA,yes,NA,yes,NA
a001278,yes,NA,yes,NA,yes,NA
a001279,yes,NA,yes,NA,yes,NA
a001280,yes,NA,yes,NA,yes,NA
a001281,yes,NA,yes,NA,yes,NA
a001283,yes,NA,yes,NA,yes,NA
a001284,yes,NA,yes,NA,yes,NA
a001285,yes,NA,yes,NA,yes,NA
a001286,yes,NA,yes,NA,yes,NA
a001287,yes,NA,yes,NA,yes,NA
a001288,yes,NA,yes,NA,yes,NA
a001289,yes,NA,yes,NA,yes,NA
a001290,yes,NA,yes,NA,yes,NA
a001291,yes,NA,yes,NA,yes,NA
a001293,yes,NA,yes,NA,yes,NA
a001294,yes,NA,yes,NA,yes,NA
a001295,yes,NA,yes,NA,yes,NA
a001296,yes,NA,yes,NA,yes,NA
a001297,yes,NA,yes,NA,yes,NA
a001298,yes,NA,yes,NA,yes,NA
a001301,yes,NA,yes,NA,yes,NA
a001302,yes,NA,yes,NA,yes,NA
a001303,yes,NA,yes,NA,yes,NA
a001305,yes,NA,yes,NA,yes,NA
a001306,yes,NA,yes,NA,yes,NA
a001308,yes,NA,yes,NA,yes,NA
a001309,yes,NA,yes,NA,yes,NA
a001310,yes,NA,yes,NA,yes,NA
a001311,yes,NA,yes,NA,yes,NA
a001313,yes,NA,yes,NA,yes,NA
a001314,yes,NA,yes,NA,yes,NA
a001316,yes,NA,yes,NA,yes,NA
a001317,yes,NA,yes,NA,yes,NA
a001318,yes,NA,yes,NA,yes,NA
a001319,yes,NA,yes,NA,yes,NA
a001320,yes,NA,yes,NA,yes,NA
a001321,yes,NA,yes,NA,yes,NA
a001326,yes,NA,yes,NA,yes,NA
a001327,yes,NA,yes,NA,yes,NA
a001328,yes,NA,yes,NA,yes,NA
a001329,yes,NA,other,Appendix A states that supplementary data is available on journal website but the actual link to the shared data is in the body of the article.,yes,NA
a001330,yes,NA,yes,NA,yes,NA
a001331,yes,NA,yes,NA,yes,NA
a001332,yes,NA,yes,NA,yes,NA
a001333,yes,NA,yes,NA,yes,NA
a001334,yes,NA,yes,NA,yes,NA
a001336,yes,NA,yes,NA,yes,NA
a001337,yes,NA,yes,NA,yes,NA
a001338,yes,NA,yes,NA,yes,NA
a001340,yes,NA,yes,NA,yes,NA
a001341,yes,NA,yes,NA,yes,NA
a001343,yes,NA,yes,NA,yes,NA
a001344,yes,NA,yes,NA,yes,NA
a001345,yes,NA,yes,NA,yes,NA
a001346,yes,NA,yes,NA,yes,NA
a001348,yes,NA,yes,NA,yes,NA
a001349,yes,NA,yes,NA,yes,NA
a001350,yes,NA,yes,NA,yes,NA
a001351,yes,NA,yes,NA,yes,NA
a001352,yes,NA,yes,NA,yes,NA
a001353,yes,NA,yes,NA,yes,NA
a001354,yes,NA,yes,NA,yes,NA
a001355,yes,NA,yes,NA,yes,NA
a001356,yes,NA,no,NA,other,Online article has direct link to files
a001358,yes,NA,yes,NA,yes,NA
a001359,yes,NA,yes,NA,no,NA
a001360,yes,NA,yes,NA,yes,NA
a001361,yes,NA,yes,NA,yes,NA
a001362,yes,NA,yes,NA,yes,NA
a001368,yes,NA,yes,NA,yes,NA
a001369,yes,NA,yes,NA,yes,NA
a001370,yes,NA,yes,NA,yes,NA
a001372,yes,NA,yes,NA,yes,NA
a001374,yes,NA,yes,NA,yes,NA
a001376,yes,NA,yes,NA,yes,NA
a001377,yes,NA,yes,NA,yes,NA
a001378,yes,NA,yes,NA,yes,NA
a001379,yes,NA,yes,NA,yes,NA
a001380,yes,NA,yes,NA,yes,NA
a001381,yes,NA,yes,NA,yes,NA
a001382,yes,NA,yes,NA,yes,NA
a001385,yes,NA,yes,NA,yes,NA
a001386,yes,NA,yes,NA,yes,NA
a001387,yes,NA,yes,NA,yes,NA
a001388,yes,NA,yes,NA,yes,NA
a001389,yes,NA,yes,NA,yes,NA
a001390,yes,NA,yes,NA,yes,NA
a001391,yes,NA,yes,NA,yes,NA
a001392,yes,NA,yes,NA,yes,NA
a001393,yes,NA,yes,NA,yes,NA
a001394,yes,NA,yes,NA,other,Article mentions that data is available as supporting materials and has link to web page for article
a001395,yes,NA,yes,NA,yes,NA
a001397,yes,NA,yes,NA,yes,NA
a001398,yes,NA,yes,NA,yes,NA
a001401,yes,NA,yes,NA,yes,NA
a001404,yes,NA,yes,NA,yes,NA
a001405,yes,NA,yes,NA,yes,NA
a001406,yes,NA,yes,NA,yes,NA
a001408,yes,NA,yes,NA,yes,NA
a001411,yes,NA,yes,NA,yes,NA
a001412,yes,NA,yes,NA,yes,NA
a001414,yes,NA,yes,NA,yes,NA
a001415,yes,NA,yes,NA,yes,NA
a001416,yes,NA,yes,NA,yes,NA
a001417,yes,NA,no,NA,yes,NA
a001418,yes,NA,yes,NA,yes,NA
a001420,yes,NA,yes,NA,yes,NA
a001421,yes,NA,yes,NA,yes,NA
a001422,yes,NA,yes,NA,yes,NA
a001423,yes,NA,yes,NA,yes,NA
a001425,yes,NA,yes,NA,yes,NA
a001426,yes,NA,yes,NA,yes,NA
a001428,yes,NA,yes,NA,yes,NA
a001429,yes,NA,yes,NA,yes,NA
a001430,yes,NA,yes,NA,yes,NA
a001431,yes,NA,yes,NA,yes,NA
a001432,yes,NA,yes,NA,yes,NA
a001433,yes,NA,yes,NA,yes,NA
a001434,yes,NA,other,"Contained within ""notes"", not standalone statement",yes,NA
a001436,yes,NA,yes,NA,yes,NA
a001437,yes,NA,yes,NA,yes,NA
a001439,yes,NA,yes,NA,yes,NA
a001440,yes,NA,yes,NA,yes,NA
a001441,yes,NA,yes,NA,yes,NA
a001443,yes,NA,yes,NA,yes,NA
a001444,yes,NA,yes,NA,yes,NA
a001445,yes,NA,yes,NA,yes,NA
a001447,yes,NA,yes,NA,yes,NA
a001448,yes,NA,yes,NA,yes,NA
a001449,yes,NA,yes,NA,yes,NA
a001450,yes,NA,yes,NA,yes,NA
a001452,yes,NA,yes,NA,yes,NA
a001454,yes,NA,yes,NA,yes,NA
a001455,yes,NA,yes,NA,yes,NA
a001458,yes,NA,yes,NA,yes,NA
a001459,yes,NA,yes,NA,yes,NA
a001460,yes,NA,yes,NA,yes,NA
a001463,yes,NA,yes,NA,yes,NA
a001464,yes,NA,yes,NA,yes,NA
a001465,yes,NA,yes,NA,yes,NA
a001466,yes,NA,yes,NA,yes,NA
a001467,yes,NA,yes,NA,yes,NA
a001468,yes,NA,yes,NA,yes,NA
a001469,yes,NA,yes,NA,yes,NA
a001470,yes,NA,yes,NA,yes,NA
a001471,yes,NA,yes,NA,yes,NA
a001472,yes,NA,yes,NA,yes,NA
a001475,yes,NA,yes,NA,yes,NA
a001476,yes,NA,yes,NA,yes,NA
a001477,yes,NA,yes,NA,yes,NA
a001480,yes,NA,yes,NA,yes,NA
a001481,yes,NA,yes,NA,yes,NA
a001482,yes,NA,yes,NA,yes,NA
a001485,yes,NA,no,NA,yes,NA
a001486,yes,NA,yes,NA,yes,NA
a001487,yes,NA,yes,NA,yes,NA
a001488,yes,NA,yes,NA,yes,NA
a001489,yes,NA,yes,NA,yes,NA
a001490,yes,NA,yes,NA,yes,NA
a001493,yes,NA,yes,NA,yes,NA
a001495,yes,NA,yes,NA,yes,NA
a001496,yes,NA,yes,NA,yes,NA
a001497,yes,NA,yes,NA,yes,NA
a001499,yes,NA,yes,NA,yes,NA
a001500,yes,NA,yes,NA,yes,NA
a001501,yes,NA,yes,NA,yes,NA
a001502,yes,NA,yes,NA,yes,NA
a001504,yes,NA,yes,NA,yes,NA
a001505,yes,NA,yes,NA,yes,NA
a001506,yes,NA,yes,NA,yes,NA
a001507,yes,NA,yes,NA,yes,NA
a001509,yes,NA,yes,NA,yes,NA
a001511,yes,NA,yes,NA,yes,NA
a001512,yes,NA,yes,NA,yes,NA
a001514,yes,NA,yes,NA,yes,NA
a001515,yes,NA,yes,NA,yes,NA
a001516,yes,NA,yes,NA,yes,NA
a001517,yes,NA,yes,NA,yes,NA
a001518,yes,NA,yes,NA,yes,NA
a001519,yes,NA,yes,NA,yes,NA
a001520,yes,NA,yes,NA,yes,NA
a001522,yes,NA,yes,NA,yes,NA
a001523,yes,NA,yes,NA,yes,NA
a001524,yes,NA,yes,NA,yes,NA
a001525,yes,NA,yes,NA,yes,NA
a001527,yes,NA,yes,NA,yes,NA
a001528,yes,NA,yes,NA,yes,NA
a001529,yes,NA,yes,NA,yes,NA
a001531,yes,NA,yes,NA,yes,NA
a001534,yes,NA,yes,NA,yes,NA
a001536,yes,NA,yes,NA,yes,NA
a001538,yes,NA,yes,NA,yes,NA
a001539,yes,NA,yes,NA,yes,NA
a001544,yes,NA,yes,NA,yes,NA
a001545,yes,NA,yes,NA,yes,NA
a001547,yes,NA,yes,NA,yes,NA
a001548,yes,NA,yes,NA,yes,NA
a001551,yes,NA,yes,NA,yes,NA
a001554,yes,NA,yes,NA,yes,NA
a001556,yes,NA,yes,NA,yes,NA
a001558,yes,NA,yes,NA,yes,NA
a001559,yes,NA,yes,NA,yes,NA
a001560,yes,NA,other,"No explit statement mentioning data, but contains the following (and link does contain data files): All stud-
ies were preregistered at the Open Science Framework and materials, power calculations, and hypotheses can be found at https://osf.io/nrbjz/",yes,NA
a001561,yes,NA,yes,NA,yes,NA
a001563,yes,NA,yes,NA,yes,NA
a001564,yes,NA,yes,NA,yes,NA
a001565,yes,NA,yes,NA,yes,NA
a001567,yes,NA,yes,NA,yes,NA
a001568,yes,NA,yes,NA,yes,NA
a001571,yes,NA,yes,NA,yes,NA
a001572,yes,NA,yes,NA,yes,NA
a001573,yes,NA,yes,NA,yes,NA
a001576,yes,NA,yes,NA,yes,NA
a001577,yes,NA,yes,NA,yes,NA
a001578,yes,NA,yes,NA,yes,NA
a001579,yes,NA,yes,NA,yes,NA
a001582,yes,NA,yes,NA,yes,NA
a001583,yes,NA,yes,NA,yes,NA
a001584,yes,NA,yes,NA,yes,NA
a001585,yes,NA,yes,NA,yes,NA
a001586,yes,NA,yes,NA,yes,NA
a001589,yes,NA,yes,NA,yes,NA
a001590,yes,NA,yes,NA,yes,NA
a001591,yes,NA,yes,NA,yes,NA
a001593,yes,NA,yes,NA,yes,NA
a001594,yes,NA,yes,NA,yes,NA
a001596,yes,NA,yes,NA,yes,NA
a001597,yes,NA,yes,NA,yes,NA
a001598,yes,NA,yes,NA,yes,NA
a001599,yes,NA,yes,NA,yes,NA
a001601,yes,NA,yes,NA,yes,NA
a001602,yes,NA,yes,NA,yes,NA
a001603,yes,NA,yes,NA,yes,NA
a001604,yes,NA,yes,NA,yes,NA
a001605,yes,NA,yes,NA,yes,NA
a001606,yes,NA,yes,NA,yes,NA
a001607,yes,NA,yes,NA,yes,NA
a001608,yes,NA,yes,NA,yes,NA
a001609,yes,NA,yes,NA,yes,NA
a001610,yes,NA,yes,NA,yes,NA
a001611,yes,NA,yes,NA,yes,NA
a001613,yes,NA,yes,NA,yes,NA
a001614,yes,NA,yes,NA,yes,NA
a001615,yes,NA,yes,NA,yes,NA
a001618,yes,NA,yes,NA,yes,NA
a001619,yes,NA,yes,NA,yes,NA
a001621,yes,NA,yes,NA,yes,NA
a001622,yes,NA,yes,NA,yes,NA
a001623,yes,NA,yes,NA,yes,NA
a001624,yes,NA,yes,NA,yes,NA
a001627,yes,NA,yes,NA,yes,NA
a001628,yes,NA,yes,NA,yes,NA
a001633,yes,NA,yes,NA,yes,NA
a001634,yes,NA,yes,NA,yes,NA
a001635,yes,NA,yes,NA,yes,NA
a001637,yes,NA,yes,NA,yes,NA
a001639,yes,NA,yes,NA,yes,NA
a001640,yes,NA,yes,NA,yes,NA
a001641,yes,NA,yes,NA,yes,NA
a001642,yes,NA,yes,NA,yes,NA
a001644,yes,NA,yes,NA,yes,NA
a001645,yes,NA,yes,NA,yes,NA
a001646,yes,NA,yes,NA,yes,NA
a001647,yes,NA,yes,NA,yes,NA
a001648,yes,NA,yes,NA,yes,NA
a001649,yes,NA,yes,NA,yes,NA
a001651,yes,NA,yes,NA,yes,NA
a001653,yes,NA,yes,NA,yes,NA
a001654,yes,NA,yes,NA,yes,NA
a001655,yes,NA,yes,NA,yes,NA
a001658,yes,NA,yes,NA,yes,NA
a001659,yes,NA,yes,NA,yes,NA
a001660,yes,NA,yes,NA,yes,NA
a001661,yes,NA,yes,NA,yes,NA
a001662,yes,NA,yes,NA,yes,NA
a001663,yes,NA,yes,NA,yes,NA
