study_id,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,link_url_cleaned
a000429,yes,NA,yes,NA,yes,NA,osf.io/4d3b9
a000429,yes,NA,yes,NA,yes,NA,reshare.ukdataservice.ac.uk/852716
a000430,yes,NA,yes,NA,yes,NA,osf.io/nmabe
a000433,yes,NA,yes,NA,yes,NA,osf.io/pnvjf
a000437,yes,NA,yes,NA,yes,NA,osf.io/5tejq
a000438,yes,NA,yes,NA,yes,NA,osf.io/snfjx
a000439,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/HDMGLY
a000440,yes,NA,no,NA,yes,NA,dx.doi.org/10.17605/OSF.IO/ZFPMD
a000441,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/HUZGPJ
a000442,yes,NA,yes,NA,yes,NA,osf.io/hkzsm
a000443,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7289/V5QJ7F8R
a000444,yes,NA,yes,NA,yes,NA,data.mendeley.com/datasets/f2wvbpsmyv/draft?a=e8c3968c-8b4a-47b5-a7d1-5aa120f1bc76
a000446,yes,NA,yes,NA,yes,NA,osf.io/k3fj6
a000447,yes,NA,yes,NA,yes,NA,osf.io/embpx
a000448,yes,NA,yes,NA,yes,NA,osf.io/m573q
a000449,yes,NA,yes,NA,yes,NA,osf.io/krshq
a000450,yes,NA,yes,NA,yes,NA,osf.io/ry75j
a000452,yes,NA,yes,NA,yes,NA,osf.io/arqp8
a000457,yes,NA,yes,NA,yes,NA,osf.io/gjc5b
a000458,yes,NA,yes,NA,yes,NA,osf.io/huc2k
a000460,yes,NA,yes,NA,yes,NA,osf.io/92vfw
a000463,yes,NA,yes,NA,yes,NA,osf.io/t2wby
a000464,yes,NA,yes,NA,yes,NA,neurovault.org/collections/YYMVWBOF
a000464,yes,NA,yes,NA,yes,NA,osf.io/c8gbj
a000465,yes,NA,yes,NA,yes,NA,nyu.databrary.org/volume/79
a000466,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/SEHMGR
a000470,yes,NA,yes,NA,yes,NA,osf.io/h5nbu
a000471,yes,NA,yes,NA,yes,NA,osf.io/5ka94/?view_only=15c365b391ed4e4d9d38c811ea359392
a000473,yes,NA,yes,NA,yes,NA,dx.doi.org/10.5061/dryad.d2441
a000474,yes,NA,yes,NA,yes,NA,osf.io/8yufm
a000475,yes,NA,yes,NA,yes,NA,osf.io/qknug
a000476,yes,NA,yes,NA,yes,NA,osf.io/avz8g
a000477,yes,NA,yes,NA,yes,NA,osf.io/yf3da
a000479,yes,NA,yes,NA,yes,NA,osf.io/kce5n
a000480,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/FS90RJ
a000483,yes,NA,yes,NA,yes,NA,osf.io/tewvk
a000484,yes,NA,yes,NA,yes,NA,www.oa.uni-hamburg.de/hattke-kalucza
a000485,yes,NA,yes,NA,yes,NA,osf.io/wjxpf
a000489,yes,NA,yes,NA,yes,NA,osf.io/x8q4j
a000490,yes,NA,yes,NA,yes,NA,osf.io/24mej
a000490,yes,NA,yes,NA,yes,NA,osf.io/gsv84
a000491,yes,NA,yes,NA,yes,NA,osf.io/pzvue
a000492,yes,NA,yes,NA,yes,NA,osf.io/2zbvs/?view_only=8b56bf1e32d147a5a673f0c3494d25ff
a000493,yes,NA,yes,NA,other,Article has a link (which is almost certainly incorrect) but also a separate accession number for the raw data with no hyperlink,BioProject Accession No. PRJNA574440
a000493,yes,NA,yes,NA,other,Article has a link (which is almost certainly incorrect) but also a separate accession number for the raw data with no hyperlink,iris-database.org/iris/app/home/detail?id=york:934328
a000494,yes,NA,yes,NA,no,NA,NA
a000495,yes,NA,yes,NA,yes,NA,github.com/iancballard/magnitude
a000495,yes,NA,yes,NA,yes,NA,openfmri.org/dataset/ds000223
a000496,yes,NA,yes,NA,yes,NA,osf.io/9ua8f
a000497,yes,NA,yes,NA,yes,NA,doi.org/10.5281/zenodo.2555766
a000500,yes,NA,no,NA,yes,NA,osf.io/grh8s
a000501,yes,NA,yes,NA,yes,NA,iris-database.org/iris/app/home/search?query=Jung+in+press
a000502,yes,NA,no,NA,yes,NA,osf.io/5itqa
a000502,yes,NA,no,NA,yes,NA,osf.io/8q769
a000503,yes,NA,yes,NA,yes,NA,osf.io/cw6y8/?view_only=24a186cebd52441ea0170ed63caf70ab
a000504,yes,NA,yes,NA,yes,NA,osf.io/8qzkc/?view_only=4f0b14f72e3940f38bfff87bfa2499c0
a000505,yes,NA,yes,NA,yes,NA,osf.io/mvz3r
a000507,yes,NA,yes,NA,yes,NA,osf.io/qcdgp
a000508,yes,NA,yes,NA,yes,NA,osf.io/wmg6t
a000509,yes,NA,yes,NA,yes,NA,osf.io/rwvc4
a000510,yes,NA,yes,NA,yes,NA,osf.io/n6d9f
a000511,yes,NA,yes,NA,yes,NA,https:osf.io/mnz8j
a000512,yes,NA,yes,NA,other,"Article PDF just links to mendeley.com in general without specific details, but the actual directly links are on journal web page for article (and not in the PDF)",data.mendeley.com/datasets/n23pgm86rr/1
a000514,yes,NA,yes,NA,yes,NA,osf.io/dwza4
a000515,yes,NA,yes,NA,yes,NA,osf.io/7bujx
a000516,yes,NA,yes,NA,yes,NA,osf.io/p778t
a000518,yes,NA,yes,NA,yes,NA,iris-database.org
a000519,yes,NA,yes,NA,yes,NA,osf.io/9tgy4
a000522,yes,NA,yes,NA,yes,NA,osf.io/ajvgt
a000523,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/FPYKTP
a000524,yes,NA,yes,NA,yes,NA,osf.io/mcvt7/wiki/home
a000525,yes,NA,no,NA,yes,NA,osf.io/x8jzb
a000527,yes,NA,yes,NA,yes,NA,doi.org/10.5285/7925ded722d743fa8259a93acc7073f2
a000529,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/SSEN5A
a000530,yes,NA,yes,NA,yes,NA,osf.io/zf4tj
a000531,yes,NA,yes,NA,yes,NA,osf.io/u9bsv
a000532,yes,NA,yes,NA,other,Article mentions that data is available as supporting materials,doi.org/10.1002/jnr.24485
a000533,yes,NA,yes,NA,yes,NA,github.com/alexlwhite/WhiteBoyntonYeatman2019_Repository
a000534,yes,NA,yes,NA,yes,NA,osf.io/t46nw
a000535,yes,NA,yes,NA,yes,NA,osf.io/rkf9p
a000538,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/OGVWDE
a000539,yes,NA,yes,NA,yes,NA,osf.io/px8h3
a000540,yes,NA,no,NA,no,NA,NA
a000541,yes,NA,yes,NA,yes,NA,osf.io/zqg9y
a000543,yes,NA,yes,NA,yes,NA,osf.io/daj2p
a000544,yes,NA,yes,NA,yes,NA,data.mendeley.com/datasets/48jhxswdrv/draft?a=037ef882-2002-45e8-88ad-f8ee8e7bea37
a000545,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/XZ0IZE
a000547,yes,NA,yes,NA,yes,NA,hdl.handle.net/1902.29/11793
a000548,yes,NA,yes,NA,yes,NA,osf.io/cuz8g
a000550,yes,NA,yes,NA,yes,NA,dx.doi.org/10.23668/psycharchives.2367
a000552,yes,NA,yes,NA,yes,NA,osf.io/78ukq
a000553,yes,NA,yes,NA,yes,NA,osf.io/d5s2t
a000553,yes,NA,yes,NA,yes,NA,osf.io/nz3su
a000553,yes,NA,yes,NA,yes,NA,osf.io/vwytd
a000554,yes,NA,yes,NA,yes,NA,osf.io/u9ac3
a000556,yes,NA,yes,NA,yes,NA,osf.io/hjfw9
a000557,yes,NA,yes,NA,yes,NA,osf.io/8cd4r
a000558,yes,NA,yes,NA,yes,NA,osf.io/zuwxt
a000559,yes,NA,yes,NA,yes,NA,iris-database.org/iris/app/home/detail?id=york:932233
a000560,yes,NA,yes,NA,yes,NA,osf.io/ck22q
a000561,yes,NA,yes,NA,yes,NA,osf.io/ik356
a000561,yes,NA,yes,NA,yes,NA,osf.io/kj3r7
a000562,yes,NA,yes,NA,yes,NA,10.6084/m9.figshare.9225476
a000562,yes,NA,yes,NA,yes,NA,10.6084/m9.figshare.9227495
a000562,yes,NA,yes,NA,yes,NA,10.6084/m9.figshare.9249530
a000563,yes,NA,yes,NA,yes,NA,osf.io/4x8mu/?view_only=753fda4b39dd449e99942875079bd400
a000563,yes,NA,yes,NA,yes,NA,osf.io/b8y6h/?view_only=b2e1f32ca3cb4bdd8e643428970e213a
a000564,yes,NA,yes,NA,yes,NA,github.com/piazzai/smj-18-19552
a000565,yes,NA,yes,NA,yes,NA,github.com/richarddmorey/nullHistoryAMPPS
a000566,yes,NA,yes,NA,yes,NA,thedata.harvard.edu/dvn/dv/physics
a000567,yes,NA,yes,NA,yes,NA,osf.io/fnps3
a000568,yes,NA,yes,NA,yes,NA,hdl.handle.net/10871/19257
a000569,yes,NA,yes,NA,yes,NA,osf.io/vh5jt
a000570,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/WGWMAV
a000571,yes,NA,yes,NA,yes,NA,osf.io/vcqmd
a000572,yes,NA,yes,NA,yes,NA,osf.io/u7tkp
a000573,yes,NA,yes,NA,other,Links are on journal web page for article not in PDF,data.mendeley.com/datasets/3w48v2nbgc/2
a000575,yes,NA,yes,NA,yes,NA,hdl.handle.net/2374.MIA/6254
a000577,yes,NA,yes,NA,yes,NA,osf.io/nmt5f
a000578,yes,NA,yes,NA,yes,NA,osf.io/8bknh
a000579,yes,NA,yes,NA,yes,NA,osf.io/gytpn
a000579,yes,NA,yes,NA,yes,NA,osf.io/x6ehp
a000580,yes,NA,yes,NA,yes,NA,osf.io/5zuq7
a000580,yes,NA,yes,NA,yes,NA,osf.io/6n3yq
a000580,yes,NA,yes,NA,yes,NA,osf.io/g5cxj
a000580,yes,NA,yes,NA,yes,NA,osf.io/jckvq
a000580,yes,NA,yes,NA,yes,NA,osf.io/siqyz
a000581,yes,NA,yes,NA,yes,NA,osf.io/n8v3c
a000581,yes,NA,yes,NA,yes,NA,reshare.ukdataservice.ac.uk/852882
a000582,yes,NA,yes,NA,no,NA,NA
a000583,yes,NA,yes,NA,yes,NA,osf.io/u8sdh
a000585,yes,NA,yes,NA,yes,NA,osf.io/j9aa7
a000586,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/PLLBQJ
a000588,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HMCRD7
a000589,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/QBHGRC
a000591,yes,NA,yes,NA,yes,NA,osf.io/4pdvg
a000591,yes,NA,yes,NA,yes,NA,osf.io/xytch
a000592,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/24885
a000594,yes,NA,yes,NA,yes,NA,osf.io/xzp9s
a000595,other,"No graphical badge, but awarded badges are listed, as text",yes,NA,yes,NA,doi.org/10.17632/42djnzsw8f.2
a000596,yes,NA,yes,NA,yes,NA,osf.io/ge2d5
a000597,yes,NA,no,NA,other,"Link on article website, not in PDF",aisel.aisnet.org/trr/vol2/iss1/4
a000598,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/XYUWYJ
a000601,yes,NA,yes,NA,yes,NA,osf.io/4bwq3
a000604,yes,NA,yes,NA,yes,NA,osf.io/jazfy
a000605,yes,NA,yes,NA,yes,NA,www.openicpsr.org/openicpsr/project/101920/version/V3/view
a000606,yes,NA,yes,NA,yes,NA,osf.io/9yt23
a000608,yes,NA,yes,NA,yes,NA,osf.io/9ungb
a000609,yes,NA,yes,NA,yes,NA,osf.io/96s4v
a000614,yes,NA,yes,NA,yes,NA,osf.io/bktjs
a000615,yes,NA,yes,NA,yes,NA,osf.io/vy62h
a000616,yes,NA,yes,NA,yes,NA,osf.io/am5nh
a000617,yes,NA,yes,NA,yes,NA,figshare.com/s/cccac39f891998509c85
a000618,yes,NA,yes,NA,yes,NA,dx.doi.org/10.6084/m9.figshare.1275172
a000620,yes,NA,yes,NA,yes,NA,osf.io/cwbgv
a000621,yes,NA,yes,NA,yes,NA,osf.io/6xgfn
a000622,yes,NA,yes,NA,yes,NA,osf.io/myfg7
a000624,yes,NA,yes,NA,yes,NA,dx.doi.org/10.17632/fdmshk2d5x.1
a000625,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WYA1S2
a000627,yes,NA,yes,NA,yes,NA,osf.io/x37d5
a000628,yes,NA,yes,NA,yes,NA,osf.io/4qbxv
a000629,yes,NA,yes,NA,yes,NA,osf.io/473gq
a000629,yes,NA,yes,NA,yes,NA,osf.io/d2ncs
a000631,yes,NA,yes,NA,yes,NA,osf.io/k8nur
a000634,yes,NA,yes,NA,yes,NA,osf.io/7gdxt
a000634,yes,NA,yes,NA,yes,NA,osf.io/k8pqw
a000635,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/XU8ZWB
a000636,yes,NA,yes,NA,yes,NA,osf.io/7uvcp
a000637,yes,NA,yes,NA,yes,NA,osf.io/35pf6
a000638,yes,NA,yes,NA,yes,NA,osf.io/59wda
a000638,yes,NA,yes,NA,yes,NA,osf.io/ez3ku
a000639,yes,NA,yes,NA,yes,NA,osf.io/3r2q9
a000641,yes,NA,yes,NA,yes,NA,osf.io/tgmf6
a000642,yes,NA,yes,NA,yes,NA,osf.io/5yau4
a000643,yes,NA,yes,NA,yes,NA,osf.io/jxad3
a000645,yes,NA,yes,NA,yes,NA,osf.io/egtrb
a000646,yes,NA,yes,NA,yes,NA,osf.io/zcbp7
a000649,yes,NA,yes,NA,yes,NA,osf.io/3qskj
a000650,yes,NA,yes,NA,yes,NA,osf.io/tcuap
a000651,yes,NA,yes,NA,yes,NA,osf.io/sqp6z
a000652,yes,NA,yes,NA,yes,NA,osf.io/x9kqz
a000653,yes,NA,yes,NA,yes,NA,osf.io/8jy6r
a000655,yes,NA,yes,NA,yes,NA,db.humanconnectome.org
a000657,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/GDFJ4N
a000658,yes,NA,yes,NA,yes,NA,osf.io/9cxwb
a000660,yes,NA,yes,NA,yes,NA,osf.io/t86zx
a000663,yes,NA,yes,NA,yes,NA,osf.io/z7kq2
a000664,yes,NA,no,NA,yes,NA,osf.io/487v9/?view_only=dd53baba3ed945649cda7314fb10a957
a000665,yes,NA,yes,NA,yes,NA,osf.io/8sxgu
a000665,yes,NA,yes,NA,yes,NA,osf.io/heun6
a000665,yes,NA,yes,NA,yes,NA,osf.io/p5fta
a000667,yes,NA,yes,NA,yes,NA,osf.io/fhjyb
a000668,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/TIXGF8
a000670,yes,NA,yes,NA,yes,NA,osf.io/9ej2c
a000671,yes,NA,yes,NA,yes,NA,osf.io/ftbhj
a000672,yes,NA,yes,NA,yes,NA,osf.io/73puw
a000673,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/HI1X4O
a000674,yes,NA,yes,NA,yes,NA,bit.ly/2JI8RlP
a000675,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/W1TDGZ
a000676,yes,NA,yes,NA,yes,NA,osf.io/fd6ue
a000678,yes,NA,other,"Standard JBPA link to ""Open data"" is there on the first page, but no URL attached. There is a link in a footnote later on.",yes,NA,dataverse.harvard.edu/dataverse/JBPA
a000681,yes,NA,yes,NA,yes,NA,doi.org/10.5281/zenodo.3371710
a000682,yes,NA,yes,NA,yes,NA,osf.io/7gvkt
a000683,yes,NA,yes,NA,yes,NA,archaeologydataservice.ac.uk/archives/view/urubici_na_2015
a000684,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/DZ1NFG
a000686,yes,NA,yes,NA,yes,NA,doi.org/10.5281/zenodo.3548752
a000686,yes,NA,yes,NA,yes,NA,doi.org/10.5281/zenodo.3548883
a000686,yes,NA,yes,NA,yes,NA,doi.org/10.5281/zenodo.3548898
a000686,yes,NA,yes,NA,yes,NA,doi.org/10.5281/zenodo.3548902
a000687,yes,NA,yes,NA,yes,NA,doi.org/10.17605/OSF.IO/WCJSF
a000688,yes,NA,yes,NA,yes,NA,iris-database.org
a000689,yes,NA,yes,NA,yes,NA,osf.io/6myfj
a000689,yes,NA,yes,NA,yes,NA,osf.io/tk67x
a000692,yes,NA,yes,NA,other,Links are on journal web page for article not in PDF,data.mendeley.com/datasets/7j6bn6tx8f/1
a000694,yes,NA,yes,NA,yes,NA,osf.io/7nwa6
a000696,yes,NA,yes,NA,yes,NA,citsci.geog.mcgill.ca
a000698,yes,NA,yes,NA,yes,NA,catalogue.ceda.ac.uk/uuid/8e6cbb111cfd41a19c92aadcb2d040fd
a000700,yes,NA,yes,NA,yes,NA,osf.io/8y2ga
a000702,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/DJ2DPZ
a000703,yes,NA,yes,NA,yes,NA,doi.org/10.25592/uhhfdm.139
a000703,yes,NA,yes,NA,yes,NA,osf.io/79gn4
a000704,yes,NA,yes,NA,yes,NA,osf.io/54jd9
a000705,yes,NA,yes,NA,yes,NA,osf.io/7apwg/?view_only=4f6d2e286518484e921b926332444e90
a000706,yes,NA,yes,NA,yes,NA,osf.io/bmpj9
a000708,yes,NA,yes,NA,yes,NA,osf.io/vkmep
a000709,yes,NA,yes,NA,yes,NA,osf.io/n8spz
a000710,yes,NA,yes,NA,yes,NA,osf.io/btkjw
a000712,yes,NA,yes,NA,yes,NA,osf.io/2cvm5/?view_only=fac6abc8a7fd4f7ebe20df1912a0da2b
a000713,yes,NA,yes,NA,yes,NA,doi.org/10.17605/OSF.IO/EMF9H
a000714,yes,NA,yes,NA,yes,NA,osf.io/7wazk
a000716,yes,NA,yes,NA,yes,NA,osf.io/r5kcn
a000717,yes,NA,yes,NA,yes,NA,doi.org/10.18113/D3W375
a000718,yes,NA,yes,NA,yes,NA,osf.io/cdyf9
a000718,yes,NA,yes,NA,yes,NA,osf.io/df74g
a000718,yes,NA,yes,NA,yes,NA,osf.io/djxyg
a000718,yes,NA,yes,NA,yes,NA,osf.io/v9b7j
a000719,yes,NA,no,NA,yes,NA,osf.io/ah54c
a000720,yes,NA,yes,NA,yes,NA,10.6084/m9.figshare.7854731
a000721,yes,NA,yes,NA,yes,NA,osf.io/4ufvz
a000722,yes,NA,yes,NA,yes,NA,n2t.net/ark:/13030/m5bc629d
a000723,yes,NA,yes,NA,yes,NA,osf.io/9p6t5
a000724,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/OKZMIY
a000726,yes,NA,yes,NA,yes,NA,osf.io/zkfhs
a000727,yes,NA,yes,NA,yes,NA,osf.io/8n7ev
a000728,yes,NA,yes,NA,yes,NA,osf.io/r8a24
a000729,yes,NA,yes,NA,yes,NA,osf.io/yvtp2
a000730,yes,NA,yes,NA,yes,NA,dx.doi.org/10.17605/osf.io/hzpgy
a000731,yes,NA,yes,NA,yes,NA,osf.io/m7sdz
a000732,yes,NA,yes,NA,yes,NA,osf.io/xp6r7
a000734,yes,NA,yes,NA,yes,NA,osf.io/gjt37
a000736,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/K7OCDX
a000737,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/2XP8YF
a000739,yes,NA,yes,NA,yes,NA,osf.io/jd4d2
a000740,yes,NA,yes,NA,yes,NA,osf.io/vyibm/files
a000742,yes,NA,yes,NA,yes,NA,osf.io/tn3y5
a000743,yes,NA,yes,NA,yes,NA,osf.io/7ugsk
a000745,yes,NA,yes,NA,yes,NA,hppt://www.osf.io/uqg5m/#))
a000746,yes,NA,yes,NA,yes,NA,osf.io/ys8ct/wiki/home
a000747,yes,NA,yes,NA,yes,NA,osf.io/5bdwk
a000748,yes,NA,yes,NA,yes,NA,osf.io/aegr4
a000749,yes,NA,yes,NA,yes,NA,osf.io/pdsmw
a000750,yes,NA,no,NA,yes,NA,osf.io.yiupc
a000750,yes,NA,no,NA,yes,NA,osf.io/4fb7d
a000753,yes,NA,yes,NA,yes,NA,osf.io/8w4vq
a000754,yes,NA,yes,NA,yes,NA,osf.io/8bqaj
a000755,yes,NA,no,NA,yes,NA,osf.io/hguz4
a000757,yes,NA,yes,NA,yes,NA,osf.io/rwuya/?view_only=6e25d904b89c463992ceb267477cb5a0
a000759,yes,NA,yes,NA,yes,NA,bit.ly/music_entropy_MMN
a000760,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/PGXO5O
a000761,yes,NA,yes,NA,yes,NA,osf.io/qe5nw
a000764,yes,NA,yes,NA,yes,NA,doi.org/10.6084/m9.figshare.6818228.v1
a000765,yes,NA,yes,NA,yes,NA,osf.io/yck8s
a000766,yes,NA,yes,NA,yes,NA,osf.io/zny2m
a000767,yes,NA,yes,NA,yes,NA,osf.io/ftsrd
a000768,yes,NA,yes,NA,yes,NA,osf.io/maf3d
a000769,yes,NA,yes,NA,other,Links are on journal web page for article not in PDF,data.mendeley.com/datasets/snkgkt9t4c/1
a000770,yes,NA,yes,NA,yes,NA,doi:10.7910/DVN/TJKIWN
a000771,yes,NA,yes,NA,yes,NA,osf.io/ycx49
a000772,yes,NA,yes,NA,yes,NA,osf.io/43fmu
a000773,yes,NA,no,NA,no,NA,NA
a000775,yes,NA,yes,NA,yes,NA,osf.io/ef78n
a000776,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/9IKGYY
a000777,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/LWED0F
a000778,yes,NA,yes,NA,yes,NA,osf.io/fc8yt
a000779,yes,NA,yes,NA,yes,NA,osf.io/g5fvw
a000780,yes,NA,yes,NA,yes,NA,osf.io/zc47d
a000783,yes,NA,yes,NA,yes,NA,osf.io/gm95y
a000784,yes,NA,yes,NA,yes,NA,sro.sussex.ac.uk/id/eprint/74811
a000785,yes,NA,yes,NA,yes,NA,iris-database.org
a000787,yes,NA,yes,NA,yes,NA,osf.io/gm5j6
a000788,yes,NA,yes,NA,yes,NA,osf.io/z4dxa
a000789,yes,NA,yes,NA,yes,NA,osf.io/fq7mb
a000792,yes,NA,yes,NA,yes,NA,10.5285/0ceb4f85-0bbf-49f0-ab70-cfc137ab7d4d
a000792,yes,NA,yes,NA,yes,NA,10.5285/3b90962e-6fc8-4251-853e-b9683e37f790
a000792,yes,NA,yes,NA,yes,NA,10.5285/5f3c1a02-d5c4-4faa-9353-e8b68ce2ace2
a000792,yes,NA,yes,NA,yes,NA,10.5285/e911196a-b371-47b1-968c-661eb600d83b
a000792,yes,NA,yes,NA,yes,NA,10.5285/f52f012d‐9f2e‐42cc‐b628‐9cdea4fa3ba0
a000792,yes,NA,yes,NA,yes,NA,10.5285/f6cac471-7d92-4e6d-be8a-9f7887143058
a000793,yes,NA,yes,NA,yes,NA,doi.org/10.1016/j.evolhumbehav.2018.03.007
a000793,yes,NA,yes,NA,yes,NA,osf.io/egjwv
a000793,yes,NA,yes,NA,yes,NA,osf.io/n4hj6
a000794,yes,NA,yes,NA,yes,NA,osf.io/sy6ue
a000796,yes,NA,yes,NA,yes,NA,osf.io/pszjz
a000797,yes,NA,yes,NA,yes,NA,osf.io/hymkc
a000799,yes,NA,yes,NA,yes,NA,osf.io/6s8tc
a000801,yes,NA,yes,NA,yes,NA,osf.io/28ejf
a000803,yes,NA,yes,NA,yes,NA,osf.io/n9xep
a000804,yes,NA,yes,NA,yes,NA,osf.io/9k3sw
a000806,yes,NA,yes,NA,yes,NA,osf.io/48kyp
a000807,yes,NA,yes,NA,yes,NA,osf.io/x9h8b
a000808,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/A99NUB
a000810,yes,NA,yes,NA,yes,NA,osf.io/bqzpt
a000811,yes,NA,yes,NA,yes,NA,osf.io/u3byh
a000812,yes,NA,yes,NA,yes,NA,osf.io/7vef5
a000814,yes,NA,yes,NA,yes,NA,discover.ukdataservice.ac.uk/series/?sn=200001
a000814,yes,NA,yes,NA,yes,NA,discover.ukdataservice.ac.uk/series/?sn=2000032
a000816,yes,NA,yes,NA,yes,NA,osf.io/yg82m
a000817,yes,NA,yes,NA,yes,NA,osf.io/z9ikh
a000818,yes,NA,yes,NA,yes,NA,osf.io/pnr8s/?view_only=75ef6bf7b5244202a504b9150061157f
a000822,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/MTQEE1
a000823,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ETM4LW
a000824,yes,NA,yes,NA,yes,NA,osf.io/pz4he
a000826,yes,NA,yes,NA,yes,NA,osf.io/dc5t8
a000827,yes,NA,yes,NA,yes,NA,osf.io/w24dm
a000828,yes,NA,yes,NA,yes,NA,osf.io/sgqsx
a000829,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/SNLKUE
a000831,yes,NA,yes,NA,no,NA,NA
a000832,yes,NA,yes,NA,yes,NA,osf.io/md9fk
a000833,yes,NA,yes,NA,yes,NA,osf.io/rmnk2
a000834,yes,NA,yes,NA,yes,NA,osf.io/anpbm
a000837,yes,NA,yes,NA,yes,NA,osf.io/xm8dh
a000840,yes,NA,yes,NA,yes,NA,osf.io/jqkg7/#
a000842,yes,NA,yes,NA,yes,NA,osf.io/crsiz
a000844,yes,NA,yes,NA,yes,NA,osf.io/3r96f
a000845,yes,NA,yes,NA,yes,NA,iris-database.org
a000846,yes,NA,yes,NA,yes,NA,osf.io/nfqb9
a000848,yes,NA,no,NA,yes,NA,doi.org/10.3886/E109001V5
a000849,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/NQOWDE
a000850,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/RYNSDG
a000851,yes,NA,yes,NA,yes,NA,iris-database.org/iris/app/home/detail?id=york:936220&amp;ref=search
a000853,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/3DMNPE
a000856,yes,NA,yes,NA,yes,NA,osf.io/fdhru
a000857,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/CPVIOF
a000858,yes,NA,yes,NA,yes,NA,osf.io/g8xyt
a000860,yes,NA,yes,NA,yes,NA,osf.io/trwb4
a000861,yes,NA,yes,NA,yes,NA,osf.io/qh896
a000862,yes,NA,yes,NA,yes,NA,osf.io/x5stj
a000863,yes,NA,yes,NA,yes,NA,osf.io/v4qys
a000864,yes,NA,yes,NA,yes,NA,osf.io/m6vkg
a000865,yes,NA,yes,NA,yes,NA,osf.io/h7k9p/?view_only=2b0f6b3dbce2430fb41b2b85b27daf75
a000867,yes,NA,yes,NA,yes,NA,osf.io/dw5fm
a000872,yes,NA,yes,NA,yes,NA,osf.io/965xu
a000872,yes,NA,yes,NA,yes,NA,osf.io/mrq5g
a000872,yes,NA,yes,NA,yes,NA,osf.io/q8zx3
a000873,yes,NA,yes,NA,yes,NA,osf.io/hjt65
a000875,yes,NA,yes,NA,yes,NA,osf.io/yub2m
a000876,yes,NA,yes,NA,yes,NA,osf.io/uane6
a000878,yes,NA,yes,NA,yes,NA,osf.io/uqmh4
a000879,yes,NA,yes,NA,yes,NA,osf.io/chpfn
a000880,yes,NA,yes,NA,yes,NA,pisa2006.acer.edu.au/downloads.php
a000882,yes,NA,yes,NA,yes,NA,osf.io/nyq9j
a000883,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/MPQQC0
a000885,yes,NA,yes,NA,yes,NA,osf.io/w59au
a000886,yes,NA,yes,NA,yes,NA,doi.org/10.5281/zenodo.2591593
a000887,yes,NA,yes,NA,yes,NA,osf.io/3xgtk
a000891,yes,NA,yes,NA,yes,NA,osf.io/e2a6h
a000892,yes,NA,yes,NA,yes,NA,dx.doi.org/10.17605/OSF.IO/JTZU8
a000893,yes,NA,yes,NA,yes,NA,osf.io/9djq5
