study_id,has_data_badge,has_data_badge_other,data_availability_statement,data_availability_statement_other,article_has_links,article_has_links_other,link_url_cleaned,link_work,link_work_noother,resolved_url_cleaned
a000257,yes,NA,yes,NA,yes,NA,osf.io/f23tn/?view_only=eb1aad8f01004d02934d872717bf9db1,yes,NA,osf.io/f23tn/?view_only=eb1aad8f01004d02934d872717bf9db1
a000258,yes,NA,yes,NA,yes,NA,osf.io/9q23j,yes,NA,osf.io/9q23j
a000259,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/SZ9YXZ,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SZ9YXZ
a000260,yes,NA,yes,NA,yes,NA,fcon_1000.projects.nitrc.org/indi/enhanced/access.html,other,"The link is to a page with instructions on how to arrange access to the data, not a link to the data per se",fcon_1000.projects.nitrc.org/indi/enhanced/access.html
a000264,yes,NA,yes,NA,yes,NA,osf.io/kszge,yes,NA,osf.io/kszge
a000266,yes,NA,yes,NA,yes,NA,osf.io/ycren,yes,NA,osf.io/ycren
a000267,yes,NA,yes,NA,yes,NA,doi:10.7910/DVN/W2HZSO,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/W2HZSO
a000269,yes,NA,yes,NA,yes,NA,doi.org/10.24414/j0dx-9n36,yes,NA,www.astro.oma.be/doi/Seis_Grav/Gravity_DB.html
a000270,yes,NA,yes,NA,yes,NA,dx.doi.org/10.5284/1031492,yes,NA,archaeologydataservice.ac.uk/archives/view/romurbital_mc_2015
a000272,yes,NA,yes,NA,yes,NA,osf.io/p6jfq,yes,NA,osf.io/p6jfq
a000272,yes,NA,yes,NA,yes,NA,osf.io/vhme2,yes,NA,osf.io/vhme2
a000273,yes,NA,yes,NA,yes,NA,osf.io/37u8s,yes,NA,osf.io/37u8s
a000273,yes,NA,yes,NA,yes,NA,osf.io/tqmeh,yes,NA,osf.io/tqmeh
a000275,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/Q8CSU8,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/Q8CSU8
a000276,yes,NA,yes,NA,yes,NA,osf.io/x25ea,yes,NA,osf.io/x25ea
a000279,yes,NA,yes,NA,yes,NA,osf.io/kszj7,yes,NA,osf.io/kszj7
a000280,yes,NA,yes,NA,yes,NA,www.icpsr.umich.edu/icpsrweb/ICPSR/series/203,other,"the link is to the overall project page, which in turn links to many datasets","www.icpsr.umich.edu/web/ICPSR/studies/4652, https://www.icpsr.umich.edu/web/ICPSR/studies/36346"
a000281,yes,NA,yes,NA,yes,NA,osf.io/rf28u,yes,NA,osf.io/rf28u
a000282,yes,NA,yes,NA,yes,NA,osf.io/szvxd,yes,NA,osf.io/szvxd
a000284,yes,NA,yes,NA,yes,NA,doi.org/10.5281/zenodo.2593735,yes,NA,zenodo.org/record/2593735
a000285,yes,NA,yes,NA,yes,NA,osf.io/tnjqs,yes,NA,osf.io/tnjqs
a000287,yes,NA,yes,NA,yes,NA,osf.io/fctr8,yes,NA,osf.io/fctr8
a000288,yes,NA,yes,NA,yes,NA,osf.io/3hu8m,yes,NA,osf.io/3hu8m
a000292,yes,NA,yes,NA,yes,NA,iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,www.iris-database.org/iris/app/home/detail?id=york:934328
a000293,yes,NA,yes,NA,yes,NA,osf.io/rt6w2,yes,NA,osf.io/rt6w2
a000294,yes,NA,yes,NA,yes,NA,osf.io/fpsu8,yes,NA,osf.io/fpsu8
a000295,yes,NA,yes,NA,yes,NA,iris-database.org,other,"link works, but is to the generic homepage. Searching required to find actual data",www.iris-database.org/iris/app/home/detail?id=york:935345
a000295,yes,NA,yes,NA,yes,NA,osf.io/57zkv,yes,NA,osf.io/57zkv
a000296,yes,NA,yes,NA,yes,NA,doi.org/10.6084/m9.figshare.7271480.v1,yes,NA,figshare.com/articles/The_Co-occurrence_of_Pitch_and_Rhythm_Disorders_in_Congenital_Amusia/7271480/1
a000297,yes,NA,yes,NA,yes,NA,osf.io/gzyth,yes,NA,osf.io/gzyth
a000298,yes,NA,yes,NA,yes,NA,osf.io/8zeqp,yes,NA,osf.io/8zeqp
a000299,yes,NA,other,"Appendix A is explicitly called ""Supplemental data"" but is just a document, not data. Actual shared data is buried in body of article text.",yes,NA,osf.io/zbu3x,yes,NA,osf.io/zbu3x
a000300,yes,NA,yes,NA,yes,NA,osf.io/4rs5x,yes,NA,osf.io/4rs5x
a000300,yes,NA,yes,NA,yes,NA,osf.io/9tm36,yes,NA,osf.io/9tm36
a000301,yes,NA,yes,NA,yes,NA,osf.io/6n894,yes,NA,osf.io/6n894
a000302,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/9AWUYJ,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9AWUYJ
a000303,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/WZV20D,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/WZV20D
a000305,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/LVHIYG,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LVHIYG
a000306,yes,NA,yes,NA,yes,NA,osf.io/k8t4b,yes,NA,osf.io/k8t4b
a000309,yes,NA,yes,NA,yes,NA,doi.org/10.14264/uql.2019.12,yes,NA,espace.library.uq.edu.au/view/UQ:21a02ec
a000311,yes,NA,yes,NA,yes,NA,osf.io/du5jc,yes,NA,osf.io/du5jc
a000313,yes,NA,yes,NA,yes,NA,osf.io/rhju9,yes,NA,osf.io/rhju9
a000314,yes,NA,yes,NA,yes,NA,osf.io/xvmr7,yes,NA,osf.io/xvmr7
a000315,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/JTV6W6,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JTV6W6
a000316,yes,NA,yes,NA,yes,NA,osf.io/nft78,yes,NA,osf.io/nft78
a000317,yes,NA,yes,NA,yes,NA,osf.io/fsadm,yes,NA,osf.io/fsadm
a000318,yes,NA,yes,NA,yes,NA,github.com/langcog/KTE,yes,NA,github.com/langcog/KTE
a000319,yes,NA,yes,NA,yes,NA,doi.org/10.17605/OSF.IO/P49YA,yes,NA,osf.io/p49ya
a000320,yes,NA,yes,NA,yes,NA,osf.io/pr3hf,yes,NA,osf.io/pr3hf
a000321,yes,NA,yes,NA,yes,NA,osf.io/qtsx2,yes,NA,osf.io/qtsx2
a000322,yes,NA,yes,NA,yes,NA,osf.io/au4x3,yes,NA,osf.io/au4x3
a000323,yes,NA,yes,NA,yes,NA,osf.io/we7aj,yes,NA,osf.io/we7aj
a000324,yes,NA,yes,NA,yes,NA,osf.io/bmaf2,yes,NA,osf.io/bmaf2
a000325,yes,NA,yes,NA,yes,NA,osf.io/kzmr5,yes,NA,osf.io/kzmr5
a000325,yes,NA,yes,NA,yes,NA,osf.io/rt6un,yes,NA,osf.io/rt6un
a000327,yes,NA,yes,NA,yes,NA,osf.io/5whvu,yes,NA,osf.io/5whvu
a000328,yes,NA,yes,NA,yes,NA,osf.io/usfa5/?view_only=1f2e1994fc6247548499f47de64a2650,yes,NA,osf.io/usfa5/?view_only=1f2e1994fc6247548499f47de64a2650
a000329,yes,NA,yes,NA,yes,NA,osf.io/gw9jh,yes,NA,osf.io/gw9jh
a000330,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/WD3IUA,other,The link in the PDF is for a different study - correct link can be found on JBPA dataverse page,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XSRNRB
a000331,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/ZFLG25,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZFLG25
a000332,yes,NA,yes,NA,yes,NA,osf.io/5xmb2,yes,NA,osf.io/5xmb2
a000333,yes,NA,yes,NA,yes,NA,osf.io/x3prf,yes,NA,osf.io/x3prf
a000334,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910,other,"The url (DOI) as printed is incomplete - but other clues indicated there was likely a repo on Harvard Dataverse, and a search of that site for the title found the repo",dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KUWA5X
a000335,yes,NA,yes,NA,yes,NA,osf.io/6fgnq,yes,NA,osf.io/6fgnq
a000336,yes,NA,yes,NA,yes,NA,osf.io/nydsz,yes,NA,osf.io/nydsz
a000337,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/RW10GZ,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RW10GZ
a000338,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/KPJUFL,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/KPJUFL
a000339,yes,NA,yes,NA,yes,NA,osf.io/b7qpu,yes,NA,osf.io/b7qpu
a000340,yes,NA,yes,NA,yes,NA,osf.io/7a9tt,yes,NA,osf.io/7a9tt
a000341,yes,NA,yes,NA,yes,NA,osf.io/d6hms,yes,NA,osf.io/d6hms
a000342,yes,NA,yes,NA,yes,NA,osf.io/xyh24,yes,NA,osf.io/xyh24
a000343,yes,NA,yes,NA,yes,NA,osf.io/8z2an,yes,NA,osf.io/8z2an
a000344,yes,NA,yes,NA,yes,NA,osf.io/8dv5z,yes,NA,osf.io/8dv5z
a000345,yes,NA,yes,NA,yes,NA,osf.io/rf3ys,yes,NA,osf.io/rf3ys
a000347,yes,NA,yes,NA,yes,NA,osf.io/ha28n,yes,NA,osf.io/ha28n
a000348,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/ZRZGTT,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZRZGTT
a000350,yes,NA,yes,NA,yes,NA,osf.io/5gtyv,yes,NA,osf.io/5gtyv
a000352,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/RLLL1V,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RLLL1V
a000353,yes,NA,yes,NA,yes,NA,osf.io/bdvxs,yes,NA,osf.io/bdvxs
a000354,yes,NA,yes,NA,yes,NA,osf.io/i5knh,yes,NA,osf.io/i5knh
a000355,yes,NA,yes,NA,yes,NA,osf.io/7d5b5,other,Embedded link had a problem so clicking directly resulted in an error but url as written in text was OK,osf.io/7d5b5
a000356,yes,NA,yes,NA,yes,NA,doi.org/10.5283/epub.38033,yes,NA,epub.uni-regensburg.de/38033
a000357,yes,NA,yes,NA,yes,NA,osf.io/2jme8,yes,NA,osf.io/2jme8
a000358,yes,NA,yes,NA,yes,NA,osf.io/dpsyz/?view_only=a256f1d6e5fb4d97adac2147f58811ae,yes,NA,osf.io/dpsyz/?view_only=a256f1d6e5fb4d97adac2147f58811ae
a000359,yes,NA,yes,NA,yes,NA,doi.org/10.5284/1011888,yes,NA,archaeologydataservice.ac.uk/archives/view/t5_framework_2011
a000361,yes,NA,yes,NA,yes,NA,osf.io/ft462,yes,NA,osf.io/ft462
a000362,yes,NA,yes,NA,yes,NA,osf.io/rh9x6/?view_only=65ae8ed424e84dfda8594efa5b3aa714,yes,NA,osf.io/rh9x6/?view_only=65ae8ed424e84dfda8594efa5b3aa714
a000363,yes,NA,yes,NA,yes,NA,osf.io/6akvt/files,yes,NA,osf.io/6akvt/files
a000364,yes,NA,yes,NA,yes,NA,osf.io/pa8jw,yes,NA,osf.io/pa8jw
a000365,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/IXWZZO,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IXWZZO
a000366,yes,NA,yes,NA,yes,NA,osf.io/9x6wm,yes,NA,osf.io/9x6wm
a000367,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/YM4LDG,other,Link provided does not work but searching on Harvard Dataverse located the data repository,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/BRRZSK
a000368,yes,NA,yes,NA,yes,NA,osf.io/akp9n,yes,NA,osf.io/akp9n
a000369,yes,NA,yes,NA,yes,NA,osf.io/5fbac,yes,NA,osf.io/5fbac
a000371,yes,NA,yes,NA,no,NA,NA,NA,NA,NA
a000372,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KSHOE,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/9KSHOE
a000373,yes,NA,yes,NA,yes,NA,osf.io/4q3dc,yes,NA,osf.io/4q3dc
a000376,yes,NA,yes,NA,yes,NA,osf.io/r96hg,yes,NA,osf.io/r96hg
a000377,yes,NA,yes,NA,yes,NA,osf.io/da56v,yes,NA,osf.io/da56v
a000377,yes,NA,yes,NA,yes,NA,osf.io/fwt65,yes,NA,osf.io/fwt65
a000378,yes,NA,yes,NA,yes,NA,osf.io/b9mnr,yes,NA,osf.io/b9mnr
a000379,yes,NA,yes,NA,yes,NA,osf.io/d7w8a,yes,NA,osf.io/d7w8a
a000380,yes,NA,yes,NA,yes,NA,osf.io/w2434,yes,NA,osf.io/w2434
a000381,yes,NA,yes,NA,yes,NA,osf.io/9dm3u,yes,NA,osf.io/9dm3u
a000381,yes,NA,yes,NA,yes,NA,osf.io/dkrmw,yes,NA,osf.io/dkrmw
a000382,yes,NA,yes,NA,yes,NA,osf.io/t3csz,yes,NA,osf.io/t3csz
a000383,yes,NA,yes,NA,yes,NA,osf.io/uh3in,yes,NA,osf.io/uh3in
a000386,yes,NA,yes,NA,yes,NA,osf.io/r483u,yes,NA,osf.io/r483u
a000387,yes,NA,yes,NA,yes,NA,osf.io/wgfnm,yes,NA,osf.io/wgfnm
a000388,yes,NA,yes,NA,yes,NA,doi.org/10.6084/m9.figshare.4743547.v1,yes,NA,figshare.com/articles/Stats_-_In_an_Absolute_State_xlsx/4743547/1
a000389,yes,NA,yes,NA,yes,NA,osf.io/f78gs,yes,NA,osf.io/f78gs
a000389,yes,NA,yes,NA,yes,NA,osf.io/kq897,yes,NA,osf.io/kq897
a000389,yes,NA,yes,NA,yes,NA,www.psych.nyu.edu/westlab/lab-resources.html,yes,NA,www.psych.nyu.edu/westlab/lab-resources.html
a000390,yes,NA,yes,NA,yes,NA,DOI 10.7910/DVN/SURSEO,other,"DOI provided without link, but searching via DOI resolves the url",dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SURSEO
a000391,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,European Bioinformations Institute Accession No. PRJEB11414,other,Needed to navigate to European Bioinformatics Institute website and search by accession number,www.ebi.ac.uk/ena/browser/view/PRJEB11414
a000391,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,European Bioinformations Institute Accession No. PRJEB30873,other,Needed to navigate to European Bioinformatics Institute website and search by accession number,www.ebi.ac.uk/ena/browser/view/PRJEB30873
a000391,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,github.com/knights-lab/douc_gut_sites,yes,NA,github.com/knights-lab/douc_gut_sites
a000391,yes,NA,yes,NA,other,Article contains both links and provides accession numbers to data resources without hyperlinks,iris-database.org/iris/app/home/detail?id=york:934328,yes,NA,www.iris-database.org/iris/app/home/detail?id=york:934328
a000392,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/RJAUNW,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/RJAUNW
a000393,yes,NA,yes,NA,yes,NA,osf.io/9ge7n,yes,NA,osf.io/9ge7n
a000394,yes,NA,yes,NA,yes,NA,osf.io/sr9f4,yes,NA,osf.io/sr9f4
a000395,yes,NA,yes,NA,yes,NA,doi.org/10.17863/CAM.31530,yes,NA,www.repository.cam.ac.uk/handle/1810/284168
a000398,yes,NA,yes,NA,yes,NA,doi.org/10.1594/PANGAEA.885879,yes,NA,doi.pangaea.de/10.1594/PANGAEA.885879
a000399,yes,NA,yes,NA,yes,NA,dx.doi.org/10.5061/dryad.5t0b8,yes,NA,datadryad.org/stash/dataset/doi:10.5061/dryad.5t0b8
a000400,yes,NA,yes,NA,other,Article mentions that data is available as supporting materials,doi.org/10.1002/jnr.24441,yes,NA,onlinelibrary.wiley.com/doi/full/10.1002/jnr.24441
a000401,yes,NA,yes,NA,yes,NA,osf.io/c5ju9,yes,NA,osf.io/c5ju9
a000402,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/I0VEMG,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/I0VEMG
a000403,yes,NA,yes,NA,yes,NA,osf.io/92xqk,yes,NA,osf.io/92xqk
a000404,yes,NA,yes,NA,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910%2FDVN%2FVWZZLO&version=DRAFT,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi%3A10.7910%2FDVN%2FVWZZLO&version=DRAFT
a000406,yes,NA,yes,NA,yes,NA,osf.io/b9tse,yes,NA,osf.io/b9tse
a000407,yes,NA,yes,NA,yes,NA,hdl.handle.net/10871/24754,yes,NA,ore.exeter.ac.uk/repository/handle/10871/24754
a000408,yes,NA,no,NA,yes,NA,osf.io/nrf72,yes,NA,osf.io/nrf72
a000409,yes,NA,yes,NA,yes,NA,doi.org/10.6084/m9.figshare.4742935.v2,yes,NA,figshare.com/articles/Materials_for_Pupillary_Responses_to_Words_That_Convey_a_Sense_of_Brightness_or_Darkness/4742935/2
a000410,yes,NA,yes,NA,yes,NA,osf.io/xf7rn,yes,NA,osf.io/xf7rn
a000411,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/8R3LTP,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/8R3LTP
a000412,yes,NA,yes,NA,yes,NA,osf.io/fzmsa,yes,NA,osf.io/fzmsa
a000413,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/LD6NL8,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LD6NL8
a000414,yes,NA,yes,NA,yes,NA,osf.io/eujyn,yes,NA,osf.io/eujyn
a000416,yes,NA,yes,NA,yes,NA,osf.io/g3sca/wiki/home,yes,NA,osf.io/g3sca/wiki/home
a000417,yes,NA,yes,NA,yes,NA,doi.org/10.1016/j.jrp.2018.02.003,yes,NA,www.sciencedirect.com/science/article/pii/S0092656618300151
a000418,yes,NA,yes,NA,yes,NA,dx.doi.org/10.5284/1019856,yes,NA,archaeologydataservice.ac.uk/archives/view/scarr_eh_2013
a000419,yes,NA,yes,NA,yes,NA,dx.doi.org/10.5281/zenodo.18545,yes,NA,zenodo.org/record/18545
a000420,yes,NA,yes,NA,yes,NA,catalogue.ceda.ac.uk/uuid/1d29816cee7e4fb586b80a3f7debcb8e,yes,NA,catalogue.ceda.ac.uk/uuid/1d29816cee7e4fb586b80a3f7debcb8e
a000421,yes,NA,yes,NA,yes,NA,osf.io/b8c7z,yes,NA,osf.io/b8c7z
a000422,yes,NA,yes,NA,yes,NA,osf.io/sgwv6,yes,NA,osf.io/sgwv6
a000423,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/D5DEHM,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/D5DEHM
a000425,yes,NA,yes,NA,yes,NA,www.dx.doi.org/10.7910/DVN/DIDBMQ,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/DIDBMQ
a000426,yes,NA,yes,NA,yes,NA,catalogue.ceda.ac.uk/uuid/4dc8450d889a491ebb20e724debe2dfb,yes,NA,catalogue.ceda.ac.uk/uuid/4dc8450d889a491ebb20e724debe2dfb
a000427,yes,NA,yes,NA,yes,NA,osf.io/wcrd2,yes,NA,osf.io/wcrd2
a000429,yes,NA,yes,NA,yes,NA,osf.io/4d3b9,yes,NA,osf.io/4d3b9
a000429,yes,NA,yes,NA,yes,NA,reshare.ukdataservice.ac.uk/852716,yes,NA,reshare.ukdataservice.ac.uk/852716
a000430,yes,NA,yes,NA,yes,NA,osf.io/nmabe,yes,NA,osf.io/nmabe
a000433,yes,NA,yes,NA,yes,NA,osf.io/pnvjf,yes,NA,osf.io/pnvjf
a000437,yes,NA,yes,NA,yes,NA,osf.io/5tejq,yes,NA,osf.io/5tejq
a000438,yes,NA,yes,NA,yes,NA,osf.io/snfjx,yes,NA,osf.io/snfjx
a000439,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/HDMGLY,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HDMGLY
a000440,yes,NA,no,NA,yes,NA,dx.doi.org/10.17605/OSF.IO/ZFPMD,yes,NA,osf.io/zfpmd
a000441,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/HUZGPJ,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/HUZGPJ
a000442,yes,NA,yes,NA,yes,NA,osf.io/hkzsm,yes,NA,osf.io/hkzsm
a000443,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7289/V5QJ7F8R,yes,NA,data.nodc.noaa.gov/cgi-bin/iso?id=gov.noaa.nodc:COAPS-SAMOS
a000444,yes,NA,yes,NA,yes,NA,data.mendeley.com/datasets/f2wvbpsmyv/draft?a=e8c3968c-8b4a-47b5-a7d1-5aa120f1bc76,yes,NA,data.mendeley.com/datasets/f2wvbpsmyv/1
a000446,yes,NA,yes,NA,yes,NA,osf.io/k3fj6,yes,NA,osf.io/k3fj6
a000447,yes,NA,yes,NA,yes,NA,osf.io/embpx,yes,NA,osf.io/embpx
a000448,yes,NA,yes,NA,yes,NA,osf.io/m573q,yes,NA,osf.io/m573q
a000449,yes,NA,yes,NA,yes,NA,osf.io/krshq,yes,NA,osf.io/krshq
a000450,yes,NA,yes,NA,yes,NA,osf.io/ry75j,yes,NA,osf.io/ry75j
a000452,yes,NA,yes,NA,yes,NA,osf.io/arqp8,yes,NA,osf.io/arqp8
a000457,yes,NA,yes,NA,yes,NA,osf.io/gjc5b,yes,NA,osf.io/gjc5b
a000458,yes,NA,yes,NA,yes,NA,osf.io/huc2k,yes,NA,osf.io/huc2k
a000460,yes,NA,yes,NA,yes,NA,osf.io/92vfw,yes,NA,osf.io/92vfw
a000463,yes,NA,yes,NA,yes,NA,osf.io/t2wby,yes,NA,osf.io/t2wby
a000464,yes,NA,yes,NA,yes,NA,neurovault.org/collections/YYMVWBOF,yes,NA,neurovault.org/collections/YYMVWBOF
a000464,yes,NA,yes,NA,yes,NA,osf.io/c8gbj,yes,NA,osf.io/c8gbj
a000465,yes,NA,yes,NA,yes,NA,nyu.databrary.org/volume/79,yes,NA,nyu.databrary.org/volume/79
a000466,yes,NA,yes,NA,yes,NA,doi.org/10.7910/DVN/SEHMGR,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/SEHMGR
a000470,yes,NA,yes,NA,yes,NA,osf.io/h5nbu,yes,NA,osf.io/h5nbu
a000471,yes,NA,yes,NA,yes,NA,osf.io/5ka94/?view_only=15c365b391ed4e4d9d38c811ea359392,yes,NA,osf.io/5ka94/?view_only=15c365b391ed4e4d9d38c811ea359392
a000473,yes,NA,yes,NA,yes,NA,dx.doi.org/10.5061/dryad.d2441,yes,NA,datadryad.org/stash/dataset/doi:10.5061/dryad.d2441
a000474,yes,NA,yes,NA,yes,NA,osf.io/8yufm,yes,NA,osf.io/8yufm
a000475,yes,NA,yes,NA,yes,NA,osf.io/qknug,yes,NA,osf.io/qknug
a000476,yes,NA,yes,NA,yes,NA,osf.io/avz8g,yes,NA,osf.io/avz8g
a000477,yes,NA,yes,NA,yes,NA,osf.io/yf3da,yes,NA,osf.io/yf3da
a000479,yes,NA,yes,NA,yes,NA,osf.io/kce5n,yes,NA,osf.io/kce5n
a000480,yes,NA,yes,NA,yes,NA,dx.doi.org/10.7910/DVN/FS90RJ,yes,NA,dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FS90RJ
a000483,yes,NA,yes,NA,yes,NA,osf.io/tewvk,yes,NA,osf.io/tewvk
a000484,yes,NA,yes,NA,yes,NA,www.oa.uni-hamburg.de/hattke-kalucza,yes,NA,www.oa.uni-hamburg.de/hattke-kalucza
a000485,yes,NA,yes,NA,yes,NA,osf.io/wjxpf,yes,NA,osf.io/wjxpf
a000489,yes,NA,yes,NA,yes,NA,osf.io/x8q4j,yes,NA,osf.io/x8q4j
a000490,yes,NA,yes,NA,yes,NA,osf.io/24mej,yes,NA,osf.io/24mej
a000490,yes,NA,yes,NA,yes,NA,osf.io/gsv84,yes,NA,osf.io/gsv84
a000491,yes,NA,yes,NA,yes,NA,osf.io/pzvue,yes,NA,osf.io/pzvue
a000492,yes,NA,yes,NA,yes,NA,osf.io/2zbvs/?view_only=8b56bf1e32d147a5a673f0c3494d25ff,yes,NA,osf.io/2zbvs/?view_only=8b56bf1e32d147a5a673f0c3494d25ff
a000493,yes,NA,yes,NA,other,Article has a link (which is almost certainly incorrect) but also a separate accession number for the raw data with no hyperlink,BioProject Accession No. PRJNA574440,other,Needed to navigate to BioProject website and search by accession number,www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA574440
a000493,yes,NA,yes,NA,other,Article has a link (which is almost certainly incorrect) but also a separate accession number for the raw data with no hyperlink,iris-database.org/iris/app/home/detail?id=york:934328,other,Embedded link had a problem so clicking directly resulted in an error but url as written in text was OK - minor edit required to replace the hyphen in the url text,www.iris-database.org/iris/app/home/detail?id=york:934328
a000494,yes,NA,yes,NA,no,NA,NA,NA,NA,NA
a000495,yes,NA,yes,NA,yes,NA,github.com/iancballard/magnitude,yes,NA,github.com/iancballard/magnitude
a000495,yes,NA,yes,NA,yes,NA,openfmri.org/dataset/ds000223,yes,NA,openneuro.org/datasets/ds000223/versions/00001
a000496,yes,NA,yes,NA,yes,NA,osf.io/9ua8f,yes,NA,osf.io/9ua8f
a000497,yes,NA,yes,NA,yes,NA,doi.org/10.5281/zenodo.2555766,yes,NA,zenodo.org/record/2555766
a000500,yes,NA,no,NA,yes,NA,osf.io/grh8s,yes,NA,osf.io/grh8s
a000501,yes,NA,yes,NA,yes,NA,iris-database.org/iris/app/home/search?query=Jung+in+press,other,"Link works, but is a search of the IRIS archive which returns no results. Searching the IRIS archive more carefully finds the correct links.","www.iris-database.org/iris/app/home/detail?id=york:935306, https://www.iris-database.org/iris/app/home/detail?id=york:935307, https://www.iris-database.org/iris/app/home/detail?id=york:935308, https://www.iris-database.org/iris/app/home/detail?id=york:935309, https://www.iris-database.org/iris/app/home/detail?id=york:935310, https://www.iris-database.org/iris/app/home/detail?id=york:935311, https://www.iris-database.org/iris/app/home/detail?id=york:935313"
a000502,yes,NA,no,NA,yes,NA,osf.io/5itqa,yes,NA,osf.io/5itqa
a000502,yes,NA,no,NA,yes,NA,osf.io/8q769,yes,NA,osf.io/8q769
a000503,yes,NA,yes,NA,yes,NA,osf.io/cw6y8/?view_only=24a186cebd52441ea0170ed63caf70ab,yes,NA,osf.io/cw6y8/?view_only=24a186cebd52441ea0170ed63caf70ab
a000504,yes,NA,yes,NA,yes,NA,osf.io/8qzkc/?view_only=4f0b14f72e3940f38bfff87bfa2499c0,yes,NA,osf.io/8qzkc/?view_only=4f0b14f72e3940f38bfff87bfa2499c0
a000505,yes,NA,yes,NA,yes,NA,osf.io/mvz3r,yes,NA,osf.io/mvz3r
a000507,yes,NA,yes,NA,yes,NA,osf.io/qcdgp,yes,NA,osf.io/qcdgp
